voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
0,Karen Jane GRUNWELL (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
1,Karen Jane GRUNWELL (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
2,Karen Jane GRUNWELL (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
3,Karen Jane GRUNWELL (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
4,Karen Jane GRUNWELL (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
5,Karen Jane GRUNWELL (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
6,Karen Jane GRUNWELL (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
7,Karen Jane GRUNWELL (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
8,Karen Jane GRUNWELL (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
9,Karen Jane GRUNWELL (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
10,Karen Jane GRUNWELL (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
11,Karen Jane GRUNWELL (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
12,Karen Jane GRUNWELL (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
13,Karen Jane GRUNWELL (Grn),Willie ROBERTSON (LD),skipped,skipped,skipped,skipped,skipped,skipped,,8
14,Karen Jane GRUNWELL (Grn),Willie ROBERTSON (LD),skipped,skipped,skipped,skipped,skipped,skipped,,8
15,Karen Jane GRUNWELL (Grn),Willie ROBERTSON (LD),Mike BARNACLE (Ind),skipped,skipped,skipped,skipped,skipped,,8
16,Karen Jane GRUNWELL (Grn),Willie ROBERTSON (LD),Mike BARNACLE (Ind),skipped,skipped,skipped,skipped,skipped,,8
17,Karen Jane GRUNWELL (Grn),Willie ROBERTSON (LD),Mike BARNACLE (Ind),skipped,skipped,skipped,skipped,skipped,,8
18,Karen Jane GRUNWELL (Grn),Willie ROBERTSON (LD),Mike BARNACLE (Ind),Dave CUTHBERT (Ind),Richard WATTERS (SNP),skipped,skipped,skipped,,8
19,Karen Jane GRUNWELL (Grn),Willie ROBERTSON (LD),Mike BARNACLE (Ind),Dave CUTHBERT (Ind),Richard WATTERS (SNP),David MACKENZIE (Lab),skipped,skipped,,8
20,Karen Jane GRUNWELL (Grn),Willie ROBERTSON (LD),Mike BARNACLE (Ind),Dave CUTHBERT (Ind),David MACKENZIE (Lab),skipped,skipped,skipped,,8
21,Karen Jane GRUNWELL (Grn),Willie ROBERTSON (LD),Mike BARNACLE (Ind),Richard WATTERS (SNP),skipped,skipped,skipped,skipped,,8
22,Karen Jane GRUNWELL (Grn),Willie ROBERTSON (LD),Mike BARNACLE (Ind),Richard WATTERS (SNP),Dave CUTHBERT (Ind),skipped,skipped,skipped,,8
