voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
0,Robbie BOWMAN (Libtn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
1,Robbie BOWMAN (Libtn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
2,Robbie BOWMAN (Libtn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
3,Robbie BOWMAN (Libtn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
4,Robbie BOWMAN (Libtn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
5,Robbie BOWMAN (Libtn),M. Tauqeer MALIK (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
6,Robbie BOWMAN (Libtn),M. Tauqeer MALIK (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
7,Robbie BOWMAN (Libtn),M. Tauqeer MALIK (Lab),Marie BOULTON (Ind),skipped,skipped,skipped,skipped,skipped,,8
8,Robbie BOWMAN (Libtn),M. Tauqeer MALIK (Lab),Pamela Diane MCBAIN (SNP),Philip BELL (Con),Marie BOULTON (Ind),Ken MCLEOD (LD),Kenneth Raymond PRATT (Ind),Nir OREN (Grn),,8
9,Robbie BOWMAN (Libtn),M. Tauqeer MALIK (Lab),Ken MCLEOD (LD),Marie BOULTON (Ind),Pamela Diane MCBAIN (SNP),Nir OREN (Grn),Kenneth Raymond PRATT (Ind),Philip BELL (Con),,8
10,Robbie BOWMAN (Libtn),Marie BOULTON (Ind),M. Tauqeer MALIK (Lab),skipped,skipped,skipped,skipped,skipped,,8
11,Robbie BOWMAN (Libtn),Marie BOULTON (Ind),Philip BELL (Con),Ken MCLEOD (LD),Kenneth Raymond PRATT (Ind),skipped,skipped,skipped,,8
12,Robbie BOWMAN (Libtn),Nir OREN (Grn),skipped,skipped,skipped,skipped,skipped,skipped,,8
13,Robbie BOWMAN (Libtn),Nir OREN (Grn),Pamela Diane MCBAIN (SNP),skipped,skipped,skipped,skipped,skipped,,8
14,Robbie BOWMAN (Libtn),Pamela Diane MCBAIN (SNP),M. Tauqeer MALIK (Lab),Nir OREN (Grn),Ken MCLEOD (LD),Marie BOULTON (Ind),Kenneth Raymond PRATT (Ind),skipped,,8
15,Robbie BOWMAN (Libtn),Pamela Diane MCBAIN (SNP),M. Tauqeer MALIK (Lab),Ken MCLEOD (LD),skipped,skipped,skipped,skipped,,8
16,Robbie BOWMAN (Libtn),Pamela Diane MCBAIN (SNP),Marie BOULTON (Ind),skipped,skipped,skipped,skipped,skipped,,8
17,Robbie BOWMAN (Libtn),Pamela Diane MCBAIN (SNP),Nir OREN (Grn),Kenneth Raymond PRATT (Ind),skipped,skipped,skipped,skipped,,8
18,Robbie BOWMAN (Libtn),Pamela Diane MCBAIN (SNP),Kenneth Raymond PRATT (Ind),skipped,skipped,skipped,skipped,skipped,,8
19,Robbie BOWMAN (Libtn),Philip BELL (Con),skipped,skipped,skipped,skipped,skipped,skipped,,8
20,Robbie BOWMAN (Libtn),Philip BELL (Con),skipped,skipped,skipped,skipped,skipped,skipped,,8
21,Robbie BOWMAN (Libtn),Philip BELL (Con),skipped,skipped,skipped,skipped,skipped,skipped,,8
22,Robbie BOWMAN (Libtn),Philip BELL (Con),skipped,skipped,skipped,skipped,skipped,skipped,,8
23,Robbie BOWMAN (Libtn),Philip BELL (Con),M. Tauqeer MALIK (Lab),skipped,skipped,skipped,skipped,skipped,,8
24,Robbie BOWMAN (Libtn),Philip BELL (Con),M. Tauqeer MALIK (Lab),Ken MCLEOD (LD),Kenneth Raymond PRATT (Ind),skipped,skipped,skipped,,8
25,Robbie BOWMAN (Libtn),Philip BELL (Con),Nir OREN (Grn),skipped,skipped,skipped,skipped,skipped,,8
26,Robbie BOWMAN (Libtn),Philip BELL (Con),Kenneth Raymond PRATT (Ind),skipped,skipped,skipped,skipped,skipped,,8
27,Robbie BOWMAN (Libtn),Kenneth Raymond PRATT (Ind),Nir OREN (Grn),skipped,skipped,skipped,skipped,skipped,,8
28,Robbie BOWMAN (Libtn),Ken MCLEOD (LD),M. Tauqeer MALIK (Lab),skipped,skipped,skipped,skipped,skipped,,8
29,Robbie BOWMAN (Libtn),Ken MCLEOD (LD),M. Tauqeer MALIK (Lab),Marie BOULTON (Ind),skipped,skipped,skipped,skipped,,8
30,Robbie BOWMAN (Libtn),Ken MCLEOD (LD),Marie BOULTON (Ind),Kenneth Raymond PRATT (Ind),Nir OREN (Grn),M. Tauqeer MALIK (Lab),Philip BELL (Con),Pamela Diane MCBAIN (SNP),,8
31,M. Tauqeer MALIK (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
