voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
0,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,7
1,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,7
2,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,7
3,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,7
4,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,7
5,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,7
6,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,7
7,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,7
8,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,7
9,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,7
10,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,7
11,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,7
12,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,7
13,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,7
14,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,7
15,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,7
16,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,7
17,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,7
18,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,7
19,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,7
20,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,7
21,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,7
22,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,7
23,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,7
24,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,7
25,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,7
26,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,7
27,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,7
28,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,7
29,(Lab) George MATCHETT,skipped,skipped,skipped,skipped,skipped,skipped,,7
30,(Lab) George MATCHETT,skipped,skipped,skipped,skipped,skipped,skipped,,7
31,(Lab) George MATCHETT,skipped,skipped,skipped,skipped,skipped,skipped,,7
32,(Lab) George MATCHETT,skipped,skipped,skipped,skipped,skipped,skipped,,7
33,(Lab) George MATCHETT,(SNP) Tina MURPHY,skipped,skipped,skipped,skipped,skipped,,7
34,(Lab) George MATCHETT,(SNP) Tina MURPHY,(SNP) Janis PATERSON,skipped,skipped,skipped,skipped,,7
