voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
0,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
1,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
2,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
3,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
4,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
5,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
6,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
7,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
8,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
9,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
10,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
11,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
12,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
13,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
14,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
15,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
16,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
17,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
18,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
19,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
20,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
21,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
22,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
23,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
24,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
25,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
26,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
27,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
28,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
29,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
30,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
31,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
32,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
33,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
34,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
35,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
36,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
37,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
38,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
39,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
40,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
41,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
42,Fiona BAKER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
43,Fiona BAKER (Ind),George FREEMAN (Ind),skipped,skipped,skipped,skipped,skipped,3,7
44,Fiona BAKER (Ind),George FREEMAN (Ind),skipped,skipped,skipped,skipped,skipped,3,7
45,Fiona BAKER (Ind),George FREEMAN (Ind),skipped,skipped,skipped,skipped,skipped,3,7
46,Fiona BAKER (Ind),George FREEMAN (Ind),skipped,skipped,skipped,skipped,skipped,3,7
47,Fiona BAKER (Ind),George FREEMAN (Ind),skipped,skipped,skipped,skipped,skipped,3,7
48,Fiona BAKER (Ind),George FREEMAN (Ind),skipped,skipped,skipped,skipped,skipped,3,7
49,Fiona BAKER (Ind),George FREEMAN (Ind),skipped,skipped,skipped,skipped,skipped,3,7
50,Fiona BAKER (Ind),George FREEMAN (Ind),skipped,skipped,skipped,skipped,skipped,3,7
51,Fiona BAKER (Ind),George FREEMAN (Ind),skipped,skipped,skipped,skipped,skipped,3,7
