voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
0,Grn,Lab,SNP,SNP,Hugh VAN LIEROP (Ind),Alba,Con,4,7
1,Grn,Lab,SNP,SNP,Hugh VAN LIEROP (Ind),Alba,Con,4,7
2,Lab,SNP,Grn,SNP,skipped,skipped,skipped,4,7
3,Lab,Grn,SNP,SNP,Con,Alba,Hugh VAN LIEROP (Ind),4,7
4,Lab,Grn,SNP,SNP,Con,Alba,Hugh VAN LIEROP (Ind),4,7
5,Lab,Grn,SNP,SNP,Con,Alba,Hugh VAN LIEROP (Ind),4,7
6,SNP,Lab,Grn,skipped,skipped,skipped,skipped,4,7
7,SNP,Lab,Grn,skipped,skipped,skipped,skipped,4,7
8,SNP,Lab,Grn,skipped,skipped,skipped,skipped,4,7
9,SNP,Lab,Grn,skipped,skipped,skipped,skipped,4,7
10,SNP,Lab,Grn,skipped,skipped,skipped,skipped,4,7
11,SNP,Lab,Grn,skipped,skipped,skipped,skipped,4,7
12,SNP,Lab,Grn,skipped,skipped,skipped,skipped,4,7
13,SNP,Lab,Grn,skipped,skipped,skipped,skipped,4,7
14,Alba,SNP,SNP,Grn,skipped,skipped,skipped,4,7
15,Alba,SNP,SNP,Grn,skipped,skipped,skipped,4,7
16,SNP,Alba,SNP,Grn,Hugh VAN LIEROP (Ind),Lab,Con,4,7
17,SNP,SNP,Alba,Lab,skipped,skipped,skipped,4,7
18,Grn,Lab,Con,Hugh VAN LIEROP (Ind),skipped,skipped,skipped,4,7
19,Alba,Lab,Hugh VAN LIEROP (Ind),Con,SNP,SNP,Grn,4,7
20,Alba,SNP,SNP,skipped,skipped,skipped,skipped,4,7
21,Alba,SNP,Grn,skipped,skipped,skipped,skipped,4,7
22,Alba,SNP,Grn,skipped,skipped,skipped,skipped,4,7
23,Con,SNP,skipped,skipped,skipped,skipped,skipped,4,7
24,Con,SNP,skipped,skipped,skipped,skipped,skipped,4,7
25,Con,SNP,SNP,skipped,skipped,skipped,skipped,4,7
26,Con,SNP,SNP,skipped,skipped,skipped,skipped,4,7
27,SNP,Hugh VAN LIEROP (Ind),Grn,Alba,skipped,skipped,skipped,4,7
28,SNP,SNP,Grn,Lab,Hugh VAN LIEROP (Ind),Alba,Con,4,7
29,SNP,SNP,Grn,Lab,Hugh VAN LIEROP (Ind),Alba,Con,4,7
30,SNP,SNP,Grn,Lab,Hugh VAN LIEROP (Ind),Alba,Con,4,7
31,SNP,SNP,Grn,Lab,Hugh VAN LIEROP (Ind),Alba,Con,4,7
32,SNP,SNP,Grn,Lab,Hugh VAN LIEROP (Ind),Alba,Con,4,7
33,SNP,SNP,Grn,Lab,Hugh VAN LIEROP (Ind),Alba,Con,4,7
34,SNP,SNP,Grn,Lab,Hugh VAN LIEROP (Ind),Alba,Con,4,7
35,SNP,SNP,Grn,Lab,Hugh VAN LIEROP (Ind),Alba,Con,4,7
36,SNP,SNP,Grn,Lab,Hugh VAN LIEROP (Ind),Alba,Con,4,7
37,SNP,SNP,Grn,Lab,Hugh VAN LIEROP (Ind),Alba,Con,4,7
38,SNP,SNP,Grn,Lab,Hugh VAN LIEROP (Ind),Alba,Con,4,7
39,SNP,SNP,Grn,Lab,Hugh VAN LIEROP (Ind),Alba,Con,4,7
40,SNP,SNP,Grn,Con,Lab,skipped,skipped,4,7
41,Hugh VAN LIEROP (Ind),Alba,Grn,skipped,skipped,skipped,skipped,4,7
42,Hugh VAN LIEROP (Ind),Alba,Grn,skipped,skipped,skipped,skipped,4,7
43,SNP,Hugh VAN LIEROP (Ind),Lab,SNP,Alba,Grn,Con,4,7
44,SNP,SNP,Con,skipped,skipped,skipped,skipped,4,7
45,SNP,SNP,Con,skipped,skipped,skipped,skipped,4,7
46,SNP,SNP,Grn,Alba,Lab,Hugh VAN LIEROP (Ind),Con,4,7
47,SNP,SNP,Grn,Alba,Lab,Hugh VAN LIEROP (Ind),Con,4,7
48,SNP,SNP,Grn,Alba,Lab,Hugh VAN LIEROP (Ind),Con,4,7
49,SNP,SNP,Grn,Alba,Lab,Hugh VAN LIEROP (Ind),Con,4,7
50,SNP,SNP,Grn,Alba,Lab,Hugh VAN LIEROP (Ind),Con,4,7
51,SNP,SNP,Grn,Alba,Lab,Hugh VAN LIEROP (Ind),Con,4,7
52,SNP,SNP,Grn,Alba,Lab,Hugh VAN LIEROP (Ind),Con,4,7
53,SNP,SNP,Grn,Alba,Lab,Hugh VAN LIEROP (Ind),Con,4,7
54,SNP,SNP,Grn,Alba,Lab,Hugh VAN LIEROP (Ind),Con,4,7
55,SNP,SNP,Grn,Alba,Lab,Hugh VAN LIEROP (Ind),Con,4,7
56,SNP,SNP,Grn,Alba,Lab,Hugh VAN LIEROP (Ind),Con,4,7
57,SNP,SNP,Grn,Alba,Lab,Hugh VAN LIEROP (Ind),Con,4,7
58,SNP,SNP,Grn,Alba,Lab,Hugh VAN LIEROP (Ind),Con,4,7
59,SNP,SNP,Grn,Alba,Lab,Hugh VAN LIEROP (Ind),Con,4,7
60,SNP,SNP,Grn,Alba,Lab,Hugh VAN LIEROP (Ind),Con,4,7
61,SNP,SNP,Grn,Alba,Lab,Hugh VAN LIEROP (Ind),Con,4,7
62,SNP,SNP,Grn,Alba,Lab,Hugh VAN LIEROP (Ind),Con,4,7
63,Grn,Lab,Hugh VAN LIEROP (Ind),SNP,SNP,skipped,skipped,4,7
64,SNP,Lab,SNP,Con,Grn,Alba,Hugh VAN LIEROP (Ind),4,7
65,Lab,Grn,SNP,skipped,skipped,skipped,skipped,4,7
66,Lab,Grn,SNP,skipped,skipped,skipped,skipped,4,7
67,Lab,Grn,SNP,skipped,skipped,skipped,skipped,4,7
68,Lab,Grn,SNP,skipped,skipped,skipped,skipped,4,7
69,Lab,Grn,SNP,skipped,skipped,skipped,skipped,4,7
70,Lab,Grn,SNP,skipped,skipped,skipped,skipped,4,7
71,Lab,Grn,SNP,skipped,skipped,skipped,skipped,4,7
72,Lab,Grn,SNP,skipped,skipped,skipped,skipped,4,7
73,Lab,Grn,SNP,skipped,skipped,skipped,skipped,4,7
