voterId,rank1,rank2,rank3,rank4,numSeats,numCands
0,Con,skipped,skipped,skipped,3,4
1,Con,skipped,skipped,skipped,3,4
2,Con,skipped,skipped,skipped,3,4
3,Con,skipped,skipped,skipped,3,4
4,Con,skipped,skipped,skipped,3,4
5,Con,skipped,skipped,skipped,3,4
6,Con,skipped,skipped,skipped,3,4
7,Con,skipped,skipped,skipped,3,4
8,Con,skipped,skipped,skipped,3,4
9,Con,skipped,skipped,skipped,3,4
10,Con,skipped,skipped,skipped,3,4
11,Con,skipped,skipped,skipped,3,4
12,Con,skipped,skipped,skipped,3,4
13,Con,skipped,skipped,skipped,3,4
14,Con,skipped,skipped,skipped,3,4
15,Con,skipped,skipped,skipped,3,4
16,Con,skipped,skipped,skipped,3,4
17,Con,skipped,skipped,skipped,3,4
18,Con,skipped,skipped,skipped,3,4
19,Con,skipped,skipped,skipped,3,4
20,Con,skipped,skipped,skipped,3,4
21,Con,skipped,skipped,skipped,3,4
22,Con,skipped,skipped,skipped,3,4
23,Con,skipped,skipped,skipped,3,4
24,Con,skipped,skipped,skipped,3,4
25,Con,skipped,skipped,skipped,3,4
26,Con,skipped,skipped,skipped,3,4
27,Con,skipped,skipped,skipped,3,4
28,Con,skipped,skipped,skipped,3,4
29,Con,skipped,skipped,skipped,3,4
30,Con,skipped,skipped,skipped,3,4
31,Con,skipped,skipped,skipped,3,4
32,Con,skipped,skipped,skipped,3,4
33,Con,skipped,skipped,skipped,3,4
34,Con,skipped,skipped,skipped,3,4
35,Con,skipped,skipped,skipped,3,4
36,Con,skipped,skipped,skipped,3,4
37,Con,skipped,skipped,skipped,3,4
38,Con,skipped,skipped,skipped,3,4
39,Con,skipped,skipped,skipped,3,4
40,Con,skipped,skipped,skipped,3,4
41,Con,skipped,skipped,skipped,3,4
42,Con,skipped,skipped,skipped,3,4
43,Con,skipped,skipped,skipped,3,4
44,Con,skipped,skipped,skipped,3,4
45,Con,skipped,skipped,skipped,3,4
46,Con,skipped,skipped,skipped,3,4
47,Con,skipped,skipped,skipped,3,4
48,Con,skipped,skipped,skipped,3,4
49,Con,skipped,skipped,skipped,3,4
50,Con,skipped,skipped,skipped,3,4
51,Con,skipped,skipped,skipped,3,4
52,Con,skipped,skipped,skipped,3,4
53,Con,skipped,skipped,skipped,3,4
54,Con,skipped,skipped,skipped,3,4
55,Con,skipped,skipped,skipped,3,4
56,Con,skipped,skipped,skipped,3,4
57,Con,skipped,skipped,skipped,3,4
58,Con,skipped,skipped,skipped,3,4
59,Con,skipped,skipped,skipped,3,4
60,Con,skipped,skipped,skipped,3,4
61,Con,skipped,skipped,skipped,3,4
62,Con,skipped,skipped,skipped,3,4
63,Con,skipped,skipped,skipped,3,4
64,Con,skipped,skipped,skipped,3,4
65,Con,skipped,skipped,skipped,3,4
66,Con,skipped,skipped,skipped,3,4
67,Con,skipped,skipped,skipped,3,4
68,Con,skipped,skipped,skipped,3,4
69,Con,skipped,skipped,skipped,3,4
70,Con,skipped,skipped,skipped,3,4
71,Con,skipped,skipped,skipped,3,4
72,Con,skipped,skipped,skipped,3,4
73,Con,skipped,skipped,skipped,3,4
74,Con,skipped,skipped,skipped,3,4
75,Con,skipped,skipped,skipped,3,4
76,Con,skipped,skipped,skipped,3,4
77,Con,skipped,skipped,skipped,3,4
78,Con,skipped,skipped,skipped,3,4
79,Con,skipped,skipped,skipped,3,4
80,Con,skipped,skipped,skipped,3,4
81,Con,skipped,skipped,skipped,3,4
82,Con,skipped,skipped,skipped,3,4
83,Con,skipped,skipped,skipped,3,4
84,Con,skipped,skipped,skipped,3,4
85,Con,skipped,skipped,skipped,3,4
86,Con,skipped,skipped,skipped,3,4
87,Con,skipped,skipped,skipped,3,4
88,Con,skipped,skipped,skipped,3,4
89,Con,skipped,skipped,skipped,3,4
90,Con,skipped,skipped,skipped,3,4
91,Con,skipped,skipped,skipped,3,4
92,Con,skipped,skipped,skipped,3,4
93,Con,skipped,skipped,skipped,3,4
94,Con,skipped,skipped,skipped,3,4
95,Con,skipped,skipped,skipped,3,4
96,Con,skipped,skipped,skipped,3,4
97,Con,skipped,skipped,skipped,3,4
98,Con,skipped,skipped,skipped,3,4
99,Con,skipped,skipped,skipped,3,4
100,Con,skipped,skipped,skipped,3,4
101,Con,skipped,skipped,skipped,3,4
102,Con,skipped,skipped,skipped,3,4
103,Con,skipped,skipped,skipped,3,4
104,Con,skipped,skipped,skipped,3,4
105,Con,skipped,skipped,skipped,3,4
106,Con,skipped,skipped,skipped,3,4
107,Con,skipped,skipped,skipped,3,4
108,Con,skipped,skipped,skipped,3,4
109,Con,skipped,skipped,skipped,3,4
110,Con,skipped,skipped,skipped,3,4
111,Con,skipped,skipped,skipped,3,4
112,Con,skipped,skipped,skipped,3,4
113,Con,skipped,skipped,skipped,3,4
114,Con,skipped,skipped,skipped,3,4
115,Con,skipped,skipped,skipped,3,4
116,Con,skipped,skipped,skipped,3,4
117,Con,skipped,skipped,skipped,3,4
118,Con,skipped,skipped,skipped,3,4
119,Con,skipped,skipped,skipped,3,4
120,Con,skipped,skipped,skipped,3,4
121,Con,skipped,skipped,skipped,3,4
122,Con,skipped,skipped,skipped,3,4
123,Con,skipped,skipped,skipped,3,4
124,Con,skipped,skipped,skipped,3,4
125,Con,skipped,skipped,skipped,3,4
126,Con,skipped,skipped,skipped,3,4
127,Con,skipped,skipped,skipped,3,4
128,Con,skipped,skipped,skipped,3,4
129,Con,skipped,skipped,skipped,3,4
130,Con,skipped,skipped,skipped,3,4
131,Con,skipped,skipped,skipped,3,4
132,Con,skipped,skipped,skipped,3,4
133,Con,skipped,skipped,skipped,3,4
134,Con,skipped,skipped,skipped,3,4
135,Con,skipped,skipped,skipped,3,4
136,Con,skipped,skipped,skipped,3,4
137,Con,skipped,skipped,skipped,3,4
138,Con,skipped,skipped,skipped,3,4
139,Con,skipped,skipped,skipped,3,4
140,Con,skipped,skipped,skipped,3,4
141,Con,skipped,skipped,skipped,3,4
142,Con,skipped,skipped,skipped,3,4
143,Con,skipped,skipped,skipped,3,4
144,Con,skipped,skipped,skipped,3,4
145,Con,skipped,skipped,skipped,3,4
146,Con,skipped,skipped,skipped,3,4
147,Con,skipped,skipped,skipped,3,4
148,Con,skipped,skipped,skipped,3,4
149,Con,skipped,skipped,skipped,3,4
150,Con,skipped,skipped,skipped,3,4
151,Con,skipped,skipped,skipped,3,4
152,Con,skipped,skipped,skipped,3,4
153,Con,skipped,skipped,skipped,3,4
154,Con,skipped,skipped,skipped,3,4
155,Con,skipped,skipped,skipped,3,4
156,Con,skipped,skipped,skipped,3,4
157,Con,skipped,skipped,skipped,3,4
158,Con,skipped,skipped,skipped,3,4
159,Con,skipped,skipped,skipped,3,4
160,Con,skipped,skipped,skipped,3,4
161,Con,skipped,skipped,skipped,3,4
162,Con,skipped,skipped,skipped,3,4
163,Con,skipped,skipped,skipped,3,4
164,Con,skipped,skipped,skipped,3,4
165,Con,skipped,skipped,skipped,3,4
166,Con,skipped,skipped,skipped,3,4
167,Con,skipped,skipped,skipped,3,4
168,Con,skipped,skipped,skipped,3,4
169,Con,skipped,skipped,skipped,3,4
170,Con,skipped,skipped,skipped,3,4
171,Con,skipped,skipped,skipped,3,4
172,Con,skipped,skipped,skipped,3,4
173,Con,skipped,skipped,skipped,3,4
174,Con,skipped,skipped,skipped,3,4
