voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
0,SNP,LD,Lab,skipped,skipped,skipped,skipped,skipped,3,8
1,Grn,Lab,Lab,Sovereignty,LD,SNP,SNP,Con,3,8
2,SNP,Lab,Lab,LD,skipped,skipped,skipped,skipped,3,8
3,SNP,Lab,Lab,LD,skipped,skipped,skipped,skipped,3,8
4,Con,Lab,Lab,SNP,LD,Sovereignty,Grn,SNP,3,8
5,SNP,SNP,Grn,Sovereignty,LD,Lab,Lab,skipped,3,8
6,SNP,SNP,Lab,Grn,Con,LD,Lab,Sovereignty,3,8
7,SNP,SNP,Grn,Lab,Lab,LD,Sovereignty,skipped,3,8
8,SNP,SNP,Lab,Lab,LD,Grn,Sovereignty,Con,3,8
9,SNP,SNP,Grn,Sovereignty,Lab,Lab,LD,Con,3,8
10,SNP,SNP,Grn,Sovereignty,Lab,Lab,LD,Con,3,8
11,Lab,Lab,Grn,SNP,SNP,skipped,skipped,skipped,3,8
12,Grn,SNP,SNP,Lab,skipped,skipped,skipped,skipped,3,8
13,Lab,Lab,Con,Grn,skipped,skipped,skipped,skipped,3,8
14,SNP,SNP,Grn,Lab,Lab,LD,Sovereignty,skipped,3,8
15,Lab,Grn,skipped,skipped,skipped,skipped,skipped,skipped,3,8
16,Lab,Grn,skipped,skipped,skipped,skipped,skipped,skipped,3,8
17,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,8
18,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,8
19,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,8
20,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,8
21,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,8
22,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,8
23,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,8
24,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,8
25,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,8
26,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,8
27,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,8
28,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,8
29,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,8
30,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,8
31,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,8
32,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,8
33,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,8
34,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,8
35,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,8
36,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,8
37,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,8
38,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,8
39,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,8
40,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,8
41,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,8
42,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,8
43,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,8
44,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,8
45,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,8
46,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,8
47,SNP,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,8
