voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
0,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
1,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
2,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
3,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
4,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
5,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
6,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
7,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
8,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
9,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
10,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
11,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
12,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
13,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
14,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
15,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
16,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
17,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
18,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
19,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
20,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
21,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
22,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
23,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
24,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
25,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
26,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
27,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
28,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
29,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
30,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
31,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
32,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
33,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
34,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
35,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
36,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
37,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
38,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
39,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
40,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
41,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
42,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
43,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
44,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
45,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
46,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
47,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
48,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
49,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
50,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
51,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
52,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
53,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
54,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
55,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
56,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
57,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
58,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
59,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
60,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
61,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
62,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
63,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
64,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
65,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
66,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
67,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
68,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
69,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
70,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
71,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
72,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
73,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
74,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
75,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
76,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
77,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
78,Jaci DOUGLAS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
