voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
0,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
1,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
2,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
3,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
4,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
5,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
6,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
7,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
8,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
9,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
10,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
11,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
12,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
13,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
14,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
15,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
16,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
17,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
18,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
19,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
20,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
21,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
22,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
23,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
24,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
25,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
26,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
27,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
28,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
29,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
30,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
31,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
32,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
33,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
34,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
35,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
36,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
37,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
38,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,7
39,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,7
40,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,7
41,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,7
42,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,7
43,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,7
44,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,7
45,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,7
46,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,7
47,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,7
48,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,7
49,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,7
50,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,7
51,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,7
52,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,7
53,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,7
54,SNP,Grn,skipped,skipped,skipped,skipped,skipped,3,7
55,SNP,Grn,SNP,skipped,skipped,skipped,skipped,3,7
56,SNP,Grn,SNP,skipped,skipped,skipped,skipped,3,7
57,SNP,Grn,SNP,skipped,skipped,skipped,skipped,3,7
58,SNP,Grn,SNP,skipped,skipped,skipped,skipped,3,7
59,SNP,Grn,SNP,skipped,skipped,skipped,skipped,3,7
60,SNP,Grn,SNP,skipped,skipped,skipped,skipped,3,7
61,SNP,Grn,SNP,skipped,skipped,skipped,skipped,3,7
62,SNP,Grn,SNP,skipped,skipped,skipped,skipped,3,7
63,SNP,Grn,SNP,skipped,skipped,skipped,skipped,3,7
64,SNP,Grn,SNP,skipped,skipped,skipped,skipped,3,7
65,SNP,Grn,SNP,skipped,skipped,skipped,skipped,3,7
66,SNP,Grn,SNP,skipped,skipped,skipped,skipped,3,7
67,SNP,Grn,SNP,skipped,skipped,skipped,skipped,3,7
68,SNP,Grn,SNP,skipped,skipped,skipped,skipped,3,7
69,SNP,Grn,SNP,skipped,skipped,skipped,skipped,3,7
70,SNP,Grn,SNP,skipped,skipped,skipped,skipped,3,7
71,SNP,Grn,SNP,skipped,skipped,skipped,skipped,3,7
72,SNP,Grn,SNP,skipped,skipped,skipped,skipped,3,7
73,SNP,Grn,SNP,skipped,skipped,skipped,skipped,3,7
74,SNP,Grn,SNP,skipped,skipped,skipped,skipped,3,7
75,SNP,Grn,SNP,skipped,skipped,skipped,skipped,3,7
76,SNP,Grn,SNP,skipped,skipped,skipped,skipped,3,7
77,SNP,Grn,SNP,skipped,skipped,skipped,skipped,3,7
78,SNP,Grn,SNP,skipped,skipped,skipped,skipped,3,7
79,SNP,Grn,SNP,skipped,skipped,skipped,skipped,3,7
80,SNP,Grn,SNP,skipped,skipped,skipped,skipped,3,7
