voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
0,SNP,SNP,Gary MCGROW (Ind),Grn,LD,Lab,Con,SFP,3,8
1,Lab,SNP,SNP,Gary MCGROW (Ind),Grn,SFP,LD,skipped,3,8
2,SNP,Lab,Grn,SNP,LD,Gary MCGROW (Ind),skipped,skipped,3,8
3,Lab,Con,SNP,skipped,skipped,skipped,skipped,skipped,3,8
4,Lab,Con,SNP,skipped,skipped,skipped,skipped,skipped,3,8
5,Lab,Con,SNP,skipped,skipped,skipped,skipped,skipped,3,8
6,Lab,Con,SNP,skipped,skipped,skipped,skipped,skipped,3,8
7,Gary MCGROW (Ind),Grn,SNP,SNP,skipped,skipped,skipped,skipped,3,8
8,Gary MCGROW (Ind),Grn,SNP,SNP,skipped,skipped,skipped,skipped,3,8
9,Grn,SNP,SNP,skipped,skipped,skipped,skipped,skipped,3,8
10,Grn,SNP,SNP,skipped,skipped,skipped,skipped,skipped,3,8
11,Grn,SNP,SNP,skipped,skipped,skipped,skipped,skipped,3,8
12,Grn,SNP,SNP,skipped,skipped,skipped,skipped,skipped,3,8
13,Grn,SNP,SNP,skipped,skipped,skipped,skipped,skipped,3,8
14,Grn,SNP,SNP,Lab,LD,Con,Gary MCGROW (Ind),SFP,3,8
15,Grn,Gary MCGROW (Ind),SNP,SNP,Lab,LD,SFP,Con,3,8
16,LD,Lab,Gary MCGROW (Ind),SNP,Grn,SNP,SFP,Con,3,8
17,SNP,Grn,SNP,LD,Gary MCGROW (Ind),Lab,SFP,Con,3,8
18,SNP,SNP,Grn,SFP,skipped,skipped,skipped,skipped,3,8
19,SNP,SNP,Grn,SFP,skipped,skipped,skipped,skipped,3,8
20,SNP,SNP,Grn,SFP,skipped,skipped,skipped,skipped,3,8
21,Grn,Gary MCGROW (Ind),SNP,skipped,skipped,skipped,skipped,skipped,3,8
22,SNP,SNP,Grn,Lab,Gary MCGROW (Ind),skipped,skipped,skipped,3,8
23,SNP,SNP,Grn,Lab,Gary MCGROW (Ind),skipped,skipped,skipped,3,8
24,Con,Gary MCGROW (Ind),SFP,Lab,skipped,skipped,skipped,skipped,3,8
25,Gary MCGROW (Ind),SFP,Lab,SNP,Con,SNP,Grn,LD,3,8
26,Gary MCGROW (Ind),Lab,skipped,skipped,skipped,skipped,skipped,skipped,3,8
27,Gary MCGROW (Ind),Lab,skipped,skipped,skipped,skipped,skipped,skipped,3,8
28,Gary MCGROW (Ind),Lab,skipped,skipped,skipped,skipped,skipped,skipped,3,8
29,Gary MCGROW (Ind),Lab,skipped,skipped,skipped,skipped,skipped,skipped,3,8
30,Gary MCGROW (Ind),Lab,skipped,skipped,skipped,skipped,skipped,skipped,3,8
31,Gary MCGROW (Ind),Lab,skipped,skipped,skipped,skipped,skipped,skipped,3,8
32,Gary MCGROW (Ind),Lab,skipped,skipped,skipped,skipped,skipped,skipped,3,8
33,Gary MCGROW (Ind),Lab,skipped,skipped,skipped,skipped,skipped,skipped,3,8
34,Gary MCGROW (Ind),Lab,skipped,skipped,skipped,skipped,skipped,skipped,3,8
35,Gary MCGROW (Ind),Lab,skipped,skipped,skipped,skipped,skipped,skipped,3,8
