voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
0,SNP,Lab,SNP,SFP,skipped,skipped,skipped,skipped,skipped,4,9
1,Lab,Lab,Con,SFP,Libtn,Sovereignty,Soc,SNP,SNP,4,9
2,SNP,Lab,SFP,Lab,skipped,skipped,skipped,skipped,skipped,4,9
3,Lab,Lab,SFP,SNP,SNP,Soc,Libtn,Con,Sovereignty,4,9
4,Lab,Lab,SFP,Soc,SNP,SNP,skipped,skipped,skipped,4,9
5,SNP,SNP,Lab,Lab,SFP,Soc,Libtn,Con,Sovereignty,4,9
6,Lab,SNP,SFP,skipped,skipped,skipped,skipped,skipped,skipped,4,9
7,Lab,SNP,SFP,skipped,skipped,skipped,skipped,skipped,skipped,4,9
8,Lab,SNP,SFP,skipped,skipped,skipped,skipped,skipped,skipped,4,9
9,Lab,Lab,Sovereignty,SFP,Soc,Libtn,Con,SNP,SNP,4,9
10,Con,Lab,SNP,Lab,SNP,Soc,Libtn,SFP,Sovereignty,4,9
11,SNP,SNP,Libtn,Sovereignty,SFP,Soc,Lab,Lab,Con,4,9
12,SNP,SNP,Libtn,Sovereignty,SFP,Soc,Lab,Lab,Con,4,9
13,SNP,SNP,Libtn,Sovereignty,SFP,Soc,Lab,Lab,Con,4,9
14,Lab,Lab,Con,Sovereignty,Soc,Libtn,SFP,SNP,SNP,4,9
15,SNP,SNP,Libtn,Sovereignty,Soc,Lab,Lab,SFP,Con,4,9
16,SNP,SNP,Lab,Lab,Soc,Sovereignty,Libtn,SFP,Con,4,9
17,SNP,SNP,Lab,Lab,Soc,Sovereignty,Libtn,SFP,Con,4,9
18,SNP,SNP,Lab,Lab,Soc,Sovereignty,Libtn,SFP,Con,4,9
19,Con,Lab,SFP,Lab,skipped,skipped,skipped,skipped,skipped,4,9
20,Con,Lab,SFP,Lab,skipped,skipped,skipped,skipped,skipped,4,9
21,Lab,Lab,SNP,SNP,skipped,skipped,skipped,skipped,skipped,4,9
22,Lab,Lab,SNP,SNP,skipped,skipped,skipped,skipped,skipped,4,9
23,Lab,Lab,SNP,SNP,skipped,skipped,skipped,skipped,skipped,4,9
24,Lab,Lab,SNP,SNP,skipped,skipped,skipped,skipped,skipped,4,9
25,Lab,Lab,SNP,SNP,skipped,skipped,skipped,skipped,skipped,4,9
26,Lab,Lab,SNP,SNP,skipped,skipped,skipped,skipped,skipped,4,9
27,Lab,Lab,SNP,SNP,skipped,skipped,skipped,skipped,skipped,4,9
28,Lab,Lab,SNP,SNP,skipped,skipped,skipped,skipped,skipped,4,9
29,Lab,Lab,SNP,SNP,skipped,skipped,skipped,skipped,skipped,4,9
30,Lab,Lab,SNP,SNP,skipped,skipped,skipped,skipped,skipped,4,9
31,Lab,Lab,SNP,SNP,skipped,skipped,skipped,skipped,skipped,4,9
32,Lab,Lab,SNP,SNP,skipped,skipped,skipped,skipped,skipped,4,9
33,Lab,Lab,SNP,SNP,skipped,skipped,skipped,skipped,skipped,4,9
34,Lab,Lab,SNP,SNP,skipped,skipped,skipped,skipped,skipped,4,9
35,SNP,SNP,Soc,Sovereignty,Lab,Lab,skipped,skipped,skipped,4,9
36,Lab,SNP,Lab,SNP,Soc,Sovereignty,SFP,Libtn,Con,4,9
37,Soc,Lab,Lab,skipped,skipped,skipped,skipped,skipped,skipped,4,9
38,Soc,Lab,Lab,skipped,skipped,skipped,skipped,skipped,skipped,4,9
39,Soc,Lab,Lab,skipped,skipped,skipped,skipped,skipped,skipped,4,9
40,Soc,Lab,Lab,skipped,skipped,skipped,skipped,skipped,skipped,4,9
41,Soc,Lab,Lab,skipped,skipped,skipped,skipped,skipped,skipped,4,9
