voterId,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
0,Neil Macdonald BEATON (Ind),skipped,skipped,skipped,skipped,skipped,3,6
1,Neil Macdonald BEATON (Ind),skipped,skipped,skipped,skipped,skipped,3,6
2,Neil Macdonald BEATON (Ind),skipped,skipped,skipped,skipped,skipped,3,6
3,Neil Macdonald BEATON (Ind),skipped,skipped,skipped,skipped,skipped,3,6
4,Neil Macdonald BEATON (Ind),skipped,skipped,skipped,skipped,skipped,3,6
5,Neil Macdonald BEATON (Ind),skipped,skipped,skipped,skipped,skipped,3,6
6,Neil Macdonald BEATON (Ind),skipped,skipped,skipped,skipped,skipped,3,6
7,Neil Macdonald BEATON (Ind),skipped,skipped,skipped,skipped,skipped,3,6
8,Neil Macdonald BEATON (Ind),skipped,skipped,skipped,skipped,skipped,3,6
9,Neil Macdonald BEATON (Ind),skipped,skipped,skipped,skipped,skipped,3,6
10,Neil Macdonald BEATON (Ind),skipped,skipped,skipped,skipped,skipped,3,6
11,Neil Macdonald BEATON (Ind),skipped,skipped,skipped,skipped,skipped,3,6
12,Neil Macdonald BEATON (Ind),skipped,skipped,skipped,skipped,skipped,3,6
13,Neil Macdonald BEATON (Ind),skipped,skipped,skipped,skipped,skipped,3,6
14,Neil Macdonald BEATON (Ind),skipped,skipped,skipped,skipped,skipped,3,6
15,Neil Macdonald BEATON (Ind),skipped,skipped,skipped,skipped,skipped,3,6
16,Neil Macdonald BEATON (Ind),skipped,skipped,skipped,skipped,skipped,3,6
17,Neil Macdonald BEATON (Ind),skipped,skipped,skipped,skipped,skipped,3,6
18,Neil Macdonald BEATON (Ind),skipped,skipped,skipped,skipped,skipped,3,6
19,Neil Macdonald BEATON (Ind),skipped,skipped,skipped,skipped,skipped,3,6
20,Neil Macdonald BEATON (Ind),skipped,skipped,skipped,skipped,skipped,3,6
21,Neil Macdonald BEATON (Ind),skipped,skipped,skipped,skipped,skipped,3,6
22,Neil Macdonald BEATON (Ind),skipped,skipped,skipped,skipped,skipped,3,6
23,Neil Macdonald BEATON (Ind),skipped,skipped,skipped,skipped,skipped,3,6
24,Neil Macdonald BEATON (Ind),skipped,skipped,skipped,skipped,skipped,3,6
25,Neil Macdonald BEATON (Ind),skipped,skipped,skipped,skipped,skipped,3,6
26,Neil Macdonald BEATON (Ind),skipped,skipped,skipped,skipped,skipped,3,6
