voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,numSeats,numCands
0,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
1,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
2,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
3,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
4,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
5,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
6,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
7,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
8,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
9,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
10,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
11,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
12,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
13,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
14,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
15,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
16,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
17,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
18,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
19,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
20,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
21,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
22,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
23,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
24,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
25,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
26,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
27,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
28,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
29,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
30,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
31,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
32,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
33,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
34,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
35,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
36,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
37,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
38,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,10
