voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
0,James ANDERSON (Ind),SFP,Grn,Lab,SNP,Raquel LLOYD-JONES (Ind),Con,Con,3,8
1,Raquel LLOYD-JONES (Ind),James ANDERSON (Ind),Con,Lab,Grn,skipped,skipped,skipped,3,8
2,Con,James ANDERSON (Ind),Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
3,Con,James ANDERSON (Ind),Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
4,Con,James ANDERSON (Ind),Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
5,Con,James ANDERSON (Ind),Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
6,Con,James ANDERSON (Ind),Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
7,Con,Con,James ANDERSON (Ind),Raquel LLOYD-JONES (Ind),Grn,Lab,SFP,skipped,3,8
8,Raquel LLOYD-JONES (Ind),Con,Con,Lab,SFP,Grn,SNP,James ANDERSON (Ind),3,8
9,SNP,Lab,Grn,James ANDERSON (Ind),skipped,skipped,skipped,skipped,3,8
10,Con,Con,Lab,Raquel LLOYD-JONES (Ind),SFP,James ANDERSON (Ind),Grn,SNP,3,8
11,Raquel LLOYD-JONES (Ind),Con,Con,Grn,James ANDERSON (Ind),SNP,Lab,SFP,3,8
12,SNP,Raquel LLOYD-JONES (Ind),James ANDERSON (Ind),Grn,Lab,Con,Con,SFP,3,8
13,Con,Con,Grn,James ANDERSON (Ind),Raquel LLOYD-JONES (Ind),Lab,SNP,SFP,3,8
14,Raquel LLOYD-JONES (Ind),SNP,Grn,Con,Con,skipped,skipped,skipped,3,8
15,Lab,Raquel LLOYD-JONES (Ind),Grn,Con,skipped,skipped,skipped,skipped,3,8
16,Raquel LLOYD-JONES (Ind),James ANDERSON (Ind),Lab,SNP,Grn,Con,Con,SFP,3,8
17,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
18,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
19,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
20,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
21,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
22,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
23,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
24,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
25,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
26,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
27,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
28,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
29,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
30,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
31,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
32,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
33,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
34,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
35,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
36,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
37,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
38,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
39,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
40,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
41,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
42,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
43,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
44,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
45,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
46,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
47,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
48,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
49,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
50,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
51,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
52,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
53,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
54,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
55,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
56,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
57,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
58,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
59,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
60,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
61,SNP,Grn,Raquel LLOYD-JONES (Ind),skipped,skipped,skipped,skipped,skipped,3,8
62,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
63,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
64,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
65,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
66,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
67,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
68,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
69,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
70,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
71,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
72,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
73,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
74,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
75,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
76,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
77,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
78,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
79,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
80,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
81,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
82,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
83,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
84,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
85,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
86,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
87,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
88,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
89,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
90,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
91,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
92,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
93,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
94,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
95,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
96,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
97,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
98,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
99,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
100,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
101,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
102,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
103,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
104,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
105,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
106,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
107,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
108,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
109,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
110,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
111,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
112,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
113,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
114,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
115,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
116,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
117,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
118,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
119,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
120,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
121,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
122,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
123,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
124,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
125,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
126,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
127,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
128,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
129,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
130,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
131,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
132,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
133,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
134,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
135,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
136,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
137,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
138,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
139,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
140,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
141,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
142,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
143,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
144,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
145,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
146,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
147,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
148,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
149,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
150,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
151,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
152,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
153,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
154,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
155,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
156,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
157,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
158,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
159,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
160,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
161,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
162,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
163,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
164,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
165,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
166,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
167,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
168,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
169,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
170,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
171,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
172,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
173,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
174,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
175,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
176,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
177,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
178,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
179,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
180,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
181,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
182,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
183,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
184,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
185,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
186,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
187,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
188,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
189,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
190,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
191,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
192,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
193,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
194,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
195,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
196,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
197,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
198,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
199,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
200,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
201,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
202,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
203,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
204,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
205,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
206,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
207,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
208,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
209,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
210,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
211,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
212,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
213,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
214,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
215,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
216,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
217,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
218,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
219,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
220,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
221,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
222,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
223,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
224,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
225,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
226,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
227,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
228,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
229,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
230,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
231,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
232,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
233,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
234,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
235,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
236,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
237,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
238,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
239,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
240,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
241,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
242,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
243,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
244,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
245,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
246,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
247,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
248,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
249,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
250,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
251,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
252,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
253,Con,Con,skipped,skipped,skipped,skipped,skipped,skipped,3,8
254,SNP,Grn,Con,skipped,skipped,skipped,skipped,skipped,3,8
255,SNP,Grn,Con,skipped,skipped,skipped,skipped,skipped,3,8
