voterId,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
0,Con,Stephen MCNAMARA  (UNKNOWN),Lab,LD,skipped,1,5
1,SNP,Con,LD,Lab,Stephen MCNAMARA  (UNKNOWN),1,5
2,SNP,Con,LD,Lab,Stephen MCNAMARA  (UNKNOWN),1,5
3,SNP,Con,LD,Lab,Stephen MCNAMARA  (UNKNOWN),1,5
4,Stephen MCNAMARA  (UNKNOWN),Con,Lab,skipped,skipped,1,5
5,Stephen MCNAMARA  (UNKNOWN),Con,Lab,skipped,skipped,1,5
6,SNP,LD,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,1,5
7,SNP,LD,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,1,5
8,SNP,LD,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,1,5
9,SNP,LD,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,1,5
10,SNP,LD,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,1,5
11,SNP,LD,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,1,5
12,SNP,LD,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,1,5
13,SNP,LD,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,1,5
14,SNP,LD,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,1,5
15,SNP,LD,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,1,5
16,SNP,LD,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,1,5
17,SNP,LD,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,1,5
18,SNP,LD,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,1,5
19,SNP,LD,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,1,5
20,SNP,LD,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,1,5
21,SNP,LD,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,1,5
22,SNP,LD,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,1,5
23,SNP,LD,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,1,5
24,SNP,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,skipped,1,5
25,SNP,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,skipped,1,5
26,SNP,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,skipped,1,5
27,SNP,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,skipped,1,5
28,SNP,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,skipped,1,5
29,SNP,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,skipped,1,5
30,SNP,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,skipped,1,5
31,SNP,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,skipped,1,5
32,SNP,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,skipped,1,5
33,SNP,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,skipped,1,5
34,SNP,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,skipped,1,5
35,SNP,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,skipped,1,5
36,SNP,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,skipped,1,5
37,SNP,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,skipped,1,5
38,SNP,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,skipped,1,5
39,SNP,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,skipped,1,5
40,SNP,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,skipped,1,5
41,SNP,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,skipped,1,5
42,SNP,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,skipped,1,5
43,SNP,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,skipped,1,5
44,SNP,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,skipped,1,5
45,SNP,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,skipped,1,5
46,SNP,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,skipped,1,5
47,SNP,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,skipped,1,5
48,SNP,Stephen MCNAMARA  (UNKNOWN),skipped,skipped,skipped,1,5
49,SNP,LD,Con,Lab,Stephen MCNAMARA  (UNKNOWN),1,5
50,Con,LD,Stephen MCNAMARA  (UNKNOWN),Lab,SNP,1,5
51,Con,LD,Stephen MCNAMARA  (UNKNOWN),Lab,SNP,1,5
52,Con,LD,Stephen MCNAMARA  (UNKNOWN),Lab,SNP,1,5
53,Con,LD,Stephen MCNAMARA  (UNKNOWN),Lab,SNP,1,5
54,Con,LD,Stephen MCNAMARA  (UNKNOWN),Lab,SNP,1,5
55,Con,LD,Stephen MCNAMARA  (UNKNOWN),Lab,SNP,1,5
56,Con,LD,Stephen MCNAMARA  (UNKNOWN),Lab,SNP,1,5
57,Con,LD,Stephen MCNAMARA  (UNKNOWN),Lab,SNP,1,5
58,LD,Stephen MCNAMARA  (UNKNOWN),Lab,SNP,Con,1,5
59,LD,Stephen MCNAMARA  (UNKNOWN),Lab,SNP,Con,1,5
60,LD,Stephen MCNAMARA  (UNKNOWN),Lab,SNP,Con,1,5
61,LD,Stephen MCNAMARA  (UNKNOWN),Lab,SNP,Con,1,5
62,LD,Stephen MCNAMARA  (UNKNOWN),Lab,SNP,Con,1,5
63,SNP,Con,Stephen MCNAMARA  (UNKNOWN),LD,Lab,1,5
64,SNP,Con,Stephen MCNAMARA  (UNKNOWN),LD,Lab,1,5
65,Con,Lab,LD,skipped,skipped,1,5
66,Con,Lab,LD,skipped,skipped,1,5
67,Con,Lab,LD,skipped,skipped,1,5
68,Con,Lab,LD,skipped,skipped,1,5
69,Con,Lab,LD,skipped,skipped,1,5
70,Con,Lab,LD,skipped,skipped,1,5
71,Con,Lab,LD,skipped,skipped,1,5
72,Con,Lab,LD,skipped,skipped,1,5
73,Con,Lab,LD,skipped,skipped,1,5
74,Con,Lab,LD,skipped,skipped,1,5
75,Con,Lab,LD,skipped,skipped,1,5
76,Con,Lab,LD,skipped,skipped,1,5
77,Con,Lab,LD,skipped,skipped,1,5
78,Con,Lab,LD,skipped,skipped,1,5
79,Con,Lab,LD,skipped,skipped,1,5
80,Con,Lab,LD,skipped,skipped,1,5
81,Con,Lab,LD,skipped,skipped,1,5
82,Con,Lab,LD,skipped,skipped,1,5
83,Con,Lab,LD,skipped,skipped,1,5
84,Con,Lab,LD,skipped,skipped,1,5
85,Con,Lab,LD,skipped,skipped,1,5
86,Con,Lab,LD,skipped,skipped,1,5
87,Con,Lab,LD,skipped,skipped,1,5
88,Con,Lab,LD,skipped,skipped,1,5
89,Lab,Stephen MCNAMARA  (UNKNOWN),LD,SNP,Con,1,5
90,Lab,Stephen MCNAMARA  (UNKNOWN),LD,SNP,Con,1,5
91,Lab,Stephen MCNAMARA  (UNKNOWN),LD,SNP,Con,1,5
92,Lab,Stephen MCNAMARA  (UNKNOWN),LD,SNP,Con,1,5
93,Con,Lab,Stephen MCNAMARA  (UNKNOWN),LD,SNP,1,5
