voterId,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
0,Kate MONAHAN (SNP),skipped,skipped,skipped,skipped,skipped,,6
1,Kate MONAHAN (SNP),skipped,skipped,skipped,skipped,skipped,,6
2,Kate MONAHAN (SNP),skipped,skipped,skipped,skipped,skipped,,6
3,Kate MONAHAN (SNP),skipped,skipped,skipped,skipped,skipped,,6
4,Kate MONAHAN (SNP),skipped,skipped,skipped,skipped,skipped,,6
5,Kate MONAHAN (SNP),skipped,skipped,skipped,skipped,skipped,,6
6,Kate MONAHAN (SNP),skipped,skipped,skipped,skipped,skipped,,6
7,Kate MONAHAN (SNP),skipped,skipped,skipped,skipped,skipped,,6
8,Kate MONAHAN (SNP),skipped,skipped,skipped,skipped,skipped,,6
9,Kate MONAHAN (SNP),skipped,skipped,skipped,skipped,skipped,,6
10,Kate MONAHAN (SNP),skipped,skipped,skipped,skipped,skipped,,6
11,Kate MONAHAN (SNP),skipped,skipped,skipped,skipped,skipped,,6
12,Kate MONAHAN (SNP),skipped,skipped,skipped,skipped,skipped,,6
13,Kate MONAHAN (SNP),skipped,skipped,skipped,skipped,skipped,,6
14,Kate MONAHAN (SNP),skipped,skipped,skipped,skipped,skipped,,6
15,Kate MONAHAN (SNP),skipped,skipped,skipped,skipped,skipped,,6
16,Kate MONAHAN (SNP),Moira INGLEBY (Con),skipped,skipped,skipped,skipped,,6
17,Kate MONAHAN (SNP),Moira INGLEBY (Con),skipped,skipped,skipped,skipped,,6
18,Kate MONAHAN (SNP),Moira INGLEBY (Con),skipped,skipped,skipped,skipped,,6
19,Moira INGLEBY (Con),Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,,6
20,Moira INGLEBY (Con),Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,,6
21,Moira INGLEBY (Con),Gwyneth Elaine PETRIE (SNP),John LATHAM (LD),skipped,skipped,skipped,,6
22,Moira INGLEBY (Con),Gwyneth Elaine PETRIE (SNP),John LATHAM (LD),Bryan Scott BEGG (Lab),skipped,skipped,,6
23,Kate MONAHAN (SNP),Moira INGLEBY (Con),Bryan Scott BEGG (Lab),skipped,skipped,skipped,,6
24,Kate MONAHAN (SNP),Moira INGLEBY (Con),Bryan Scott BEGG (Lab),skipped,skipped,skipped,,6
25,Moira INGLEBY (Con),Bryan Scott BEGG (Lab),John LATHAM (LD),Gwyneth Elaine PETRIE (SNP),skipped,skipped,,6
26,Kate MONAHAN (SNP),Moira INGLEBY (Con),John LATHAM (LD),skipped,skipped,skipped,,6
27,Kate MONAHAN (SNP),Moira INGLEBY (Con),skipped,skipped,skipped,skipped,,6
28,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
29,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
30,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
31,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
32,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
33,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
34,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
35,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
36,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
37,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
38,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
39,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
40,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
41,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
42,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
43,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
44,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
45,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
46,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
47,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
48,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
49,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
50,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
51,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
52,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
53,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
54,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
55,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
56,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
57,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
58,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
59,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
60,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
61,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
62,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
63,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
64,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
65,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
66,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
67,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
68,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
69,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
70,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
71,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
72,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
73,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
74,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
75,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
76,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
77,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
78,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
79,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
80,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
81,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
82,Gwyneth Elaine PETRIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
