VoteType,Venue/VoteSubType,BPNumber,Formality,Type,rank1,rank2,rank3,rank4,numSeats,numCands
Enrolment/NAMAV,Enrolment/NAMAV,8040,Formal,MP,GUAZZAROTTO David,MILES Zac,QUINN Richard,WILLIAMS Ross,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8041,Formal,MP,GUAZZAROTTO David,MILES Zac,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8042,Formal,MP,GUAZZAROTTO David,QUINN Richard,WILLIAMS Ross,MILES Zac,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8043,Formal,MP,MILES Zac,WILLIAMS Ross,QUINN Richard,GUAZZAROTTO David,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8044,Formal,MP,MILES Zac,skipped,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8045,Formal,MP,MILES Zac,skipped,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8046,Formal,MP,MILES Zac,GUAZZAROTTO David,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8047,Formal,MP,MILES Zac,skipped,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8048,Formal,MP,MILES Zac,QUINN Richard,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8049,Formal,MP,MILES Zac,skipped,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8050,Formal,MP,MILES Zac,skipped,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8051,Formal,MP,MILES Zac,GUAZZAROTTO David,QUINN Richard,WILLIAMS Ross,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8052,Formal,MP,MILES Zac,skipped,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8053,Formal,MP,MILES Zac,GUAZZAROTTO David,QUINN Richard,WILLIAMS Ross,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8054,Formal,MP,MILES Zac,GUAZZAROTTO David,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8055,Formal,MP,MILES Zac,GUAZZAROTTO David,QUINN Richard,WILLIAMS Ross,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8056,Formal,MP,MILES Zac,WILLIAMS Ross,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8057,Formal,MP,MILES Zac,skipped,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8058,Formal,MP,MILES Zac,skipped,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8059,Formal,MP,MILES Zac,skipped,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8060,Formal,MP,MILES Zac,GUAZZAROTTO David,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8061,Formal,MP,QUINN Richard,WILLIAMS Ross,GUAZZAROTTO David,MILES Zac,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8062,Formal,MP,QUINN Richard,WILLIAMS Ross,GUAZZAROTTO David,MILES Zac,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8063,Formal,MP,QUINN Richard,skipped,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8064,Formal,MP,QUINN Richard,skipped,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8065,Formal,MP,QUINN Richard,GUAZZAROTTO David,WILLIAMS Ross,MILES Zac,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8066,Formal,MP,QUINN Richard,skipped,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8067,Formal,MP,QUINN Richard,skipped,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8068,Formal,MP,QUINN Richard,skipped,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8069,Formal,MP,QUINN Richard,skipped,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8070,Formal,MP,WILLIAMS Ross,skipped,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8071,Formal,MP,WILLIAMS Ross,QUINN Richard,GUAZZAROTTO David,MILES Zac,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8072,Formal,MP,WILLIAMS Ross,QUINN Richard,GUAZZAROTTO David,MILES Zac,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8073,Formal,MP,WILLIAMS Ross,skipped,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8074,Formal,MP,WILLIAMS Ross,QUINN Richard,GUAZZAROTTO David,MILES Zac,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8075,Formal,MP,WILLIAMS Ross,MILES Zac,QUINN Richard,GUAZZAROTTO David,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8076,Formal,MP,WILLIAMS Ross,GUAZZAROTTO David,QUINN Richard,MILES Zac,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8077,Formal,MP,WILLIAMS Ross,skipped,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8078,Formal,MP,WILLIAMS Ross,GUAZZAROTTO David,QUINN Richard,MILES Zac,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8079,Formal,MP,GUAZZAROTTO David,skipped,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8080,Formal,MP,MILES Zac,GUAZZAROTTO David,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8081,Formal,MP,MILES Zac,skipped,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8082,Formal,MP,MILES Zac,skipped,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8083,Formal,MP,MILES Zac,skipped,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8084,Formal,MP,MILES Zac,skipped,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8085,Formal,MP,MILES Zac,WILLIAMS Ross,QUINN Richard,GUAZZAROTTO David,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8086,Formal,MP,MILES Zac,GUAZZAROTTO David,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8087,Formal,MP,QUINN Richard,WILLIAMS Ross,GUAZZAROTTO David,MILES Zac,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8088,Formal,MP,QUINN Richard,WILLIAMS Ross,GUAZZAROTTO David,MILES Zac,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8089,Formal,MP,QUINN Richard,WILLIAMS Ross,GUAZZAROTTO David,MILES Zac,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8090,Formal,MP,WILLIAMS Ross,GUAZZAROTTO David,MILES Zac,QUINN Richard,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8091,Formal,MP,WILLIAMS Ross,skipped,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8092,Formal,MP,GUAZZAROTTO David,skipped,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8093,Formal,MP,GUAZZAROTTO David,skipped,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8094,Formal,MP,GUAZZAROTTO David,skipped,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8095,Formal,MP,GUAZZAROTTO David,QUINN Richard,WILLIAMS Ross,MILES Zac,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8096,Formal,MP,GUAZZAROTTO David,QUINN Richard,WILLIAMS Ross,MILES Zac,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8097,Formal,MP,GUAZZAROTTO David,QUINN Richard,WILLIAMS Ross,MILES Zac,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8098,Formal,MP,MILES Zac,GUAZZAROTTO David,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8099,Formal,MP,MILES Zac,skipped,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8100,Formal,MP,MILES Zac,GUAZZAROTTO David,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8101,Formal,MP,MILES Zac,GUAZZAROTTO David,skipped,skipped,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8102,Formal,MP,MILES Zac,QUINN Richard,WILLIAMS Ross,GUAZZAROTTO David,1,5
Enrolment/NAMAV,Enrolment/NAMAV,8103,Formal,MP,MILES Zac,QUINN Richard,WILLIAMS Ross,GUAZZAROTTO David,1,5
