rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,Num Cands,Num Seats
5,1,17,17,17,6,2,17,17,17,17,17,17,17,17,4,3,17.0,1.0
17,1,17,17,17,17,17,17,17,17,17,3,17,2,17,17,17,,
2,1,Skipped,Skipped,10,Skipped,6,7,3,Skipped,8,11,Skipped,4,9,5,Skipped,,
17,17,2,17,17,17,17,1,17,17,17,17,17,17,17,17,17,,
4,3,5,17,17,1,2,6,17,17,17,17,17,7,17,17,17,,
17,17,17,17,17,17,17,1,17,17,17,17,17,17,17,17,17,,
17,17,17,17,17,17,17,1,17,17,17,17,17,2,17,17,17,,
17,17,17,17,17,1,17,17,17,17,17,17,17,2,17,17,17,,
17,1,10,17,17,17,17,17,17,17,17,17,17,10,17,17,15,,
17,17,17,17,17,17,17,1,17,17,17,2,17,17,17,17,17,,
4,17,17,17,2,17,1,17,17,17,17,17,17,17,17,17,3,,
16,17,16,16,16,1,17,16,16,16,16,16,16,2,16,16,16,,
17,17,17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,,
3,6,4,5,16,15,2,1,13,11,14,17,7,8,12,10,9,,
17,17,17,17,17,17,17,1,17,17,17,17,17,17,17,17,17,,
17,17,2,17,17,17,17,1,17,17,17,17,17,17,17,17,17,,
17,17,2,17,17,17,17,1,17,17,17,17,17,17,17,17,17,,
17,17,17,17,17,17,17,1,17,17,17,17,17,17,17,17,17,,
12,15,7,14,5,17,2,14,4,13,11,8,10,9,6,3,1,,
17,17,16,16,16,1,17,16,16,16,16,16,16,2,16,16,16,,
17,17,17,17,17,17,17,1,2,17,17,17,17,17,17,17,17,,
2,17,17,17,17,17,17,1,17,17,17,17,17,17,17,17,17,,
3,1,17,17,3,17,1,3,17,17,17,2,17,17,17,17,2,,
4,5,17,17,17,17,17,17,17,17,3,17,17,1,17,2,17,,
3,2,17,17,17,17,17,17,17,17,17,17,17,1,17,17,17,,
6,3,17,17,17,17,2,1,4,17,5,17,17,17,17,17,17,,
17,17,2,17,17,17,17,1,17,17,17,17,17,17,17,17,17,,
17,17,17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,,
17,17,17,17,17,1,17,17,17,17,17,17,17,2,17,17,17,,
17,17,17,17,17,17,2,1,17,17,17,17,17,17,17,17,17,,
17,17,17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,,
17,17,17,17,17,17,17,1,17,17,17,17,17,17,17,17,17,,
17,17,17,17,17,17,2,1,17,17,1,17,17,17,17,17,17,,
17,17,2,17,17,17,17,1,17,17,17,17,17,17,17,17,17,,
17,17,17,17,1,17,17,1,17,17,17,17,17,17,17,17,17,,
2,3,16,16,16,17,1,17,16,16,16,16,16,4,16,16,16,,
3,17,17,17,17,1,2,17,17,17,17,17,17,17,17,17,17,,
17,17,17,17,17,2,6,16,17,17,17,15,17,17,17,17,1,,
17,17,17,17,17,1,2,17,17,17,17,17,17,17,17,17,17,,
2,4,17,17,17,1,3,6,17,17,17,17,17,5,17,17,17,,
17,17,17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,,
17,17,16,16,16,1,17,16,16,16,16,16,16,2,16,16,16,,
17,16,16,16,16,1,17,16,16,16,16,16,16,2,16,16,16,,
1,17,13,17,17,17,1,1,17,17,12,17,15,17,17,17,17,,
17,17,17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,,
14,17,17,17,2,16,3,17,17,17,17,17,4,17,17,17,1,,
10,1,17,17,17,17,17,17,17,17,17,17,17,15,17,17,5,,
17,17,2,17,17,17,17,1,2,17,17,17,17,17,17,17,17,,
3,17,17,17,17,1,2,17,17,17,17,17,17,17,17,17,17,,
17,17,16,16,16,1,17,16,16,16,16,16,16,2,16,16,16,,
