rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,Num Cands,Num Seats
3,8,5,8,7,8,1,2,5,4,6,11.0,1.0
10,1,4,2,6,5,8,9,11,3,7,,
4,11,10,5,6,2,3,9,7,1,8,,
4,1,9,11,8,5,10,3,7,2,6,,
10,7,6,2,5,1,11,9,8,4,3,,
10,4,5,9,3,6,11,8,7,2,1,,
1,7,4,10,9,8,3,11,5,6,2,,
11,1,11,11,11,11,11,11,11,1,1,,
10,2,5,3,7,6,11,9,8,4,1,,
8,6,10,6,1,1,11,4,7,2,10,,
11,11,1,11,11,11,1,11,11,11,11,,
11,11,5,11,11,4,11,5,3,2,1,,
11,11,11,11,11,11,11,11,11,11,1,,
3,11,11,11,4,11,11,11,11,1,2,,
1,4,5,10,10,8,5,11,6,3,7,,
4,3,10,5,1,6,11,7,9,8,2,,
11,11,11,11,11,11,11,11,11,1,11,,
4,11,3,1,11,11,11,11,11,11,2,,
8,7,10,2,4,6,9,11,3,5,1,,
7,6,4,2,3,8,11,10,9,5,1,,
11,9,3,4,7,2,10,6,5,8,1,,
5,11,4,11,11,11,5,1,7,11,7,,
6,9,1,10,3,7,8,11,5,2,4,,
4,10,3,8,7,6,11,5,2,9,1,,
11,11,11,11,11,1,11,11,11,11,11,,
5,7,10,9,1,3,11,2,8,4,6,,
10,5,11,3,1,7,9,8,4,2,6,,
10,2,8,6,7,5,9,4,11,1,3,,
2,3,4,11,5,10,9,7,6,1,8,,
5,11,8,7,1,4,6,3,9,2,10,,
6,3,11,2,8,1,7,9,5,4,10,,
1,10,2,6,9,4,7,11,8,5,3,,
9,9,11,2,1,9,9,9,11,9,2,,
10,5,6,3,11,1,9,7,4,2,8,,
9,1,7,3,5,8,10,4,6,2,11,,
5,4,11,11,11,11,11,2,11,3,1,,
11,2,11,11,11,3,11,11,11,1,11,,
11,11,1,3,11,5,4,11,2,11,11,,
5,7,6,11,2,7,10,3,10,4,1,,
1,6,9,3,8,5,10,11,4,2,7,,
1,4,6,7,8,3,10,11,9,2,5,,
7,4,11,3,6,8,1,5,9,2,10,,
8,5,9,2,4,1,10,11,3,6,7,,
7,11,11,1,3,2,5,11,11,11,6,,
