rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,Num Cands,Num Seats
12,14,10,11,2,4,5,9,3,6,14,7,1,8,14.0,Unknown
14,14,14,14,14,14,14,3,2,14,14,14,1,14,,Unknown
6,3,1,9,11,8,7,5,4,10,2,12,14,13,,Unknown
2,7,1,8,4,12,13,14,9,10,11,5,6,3,,Unknown
2,6,1,5,12,10,14,11,7,8,13,3,9,4,,Unknown
14,14,1,14,14,14,14,14,14,14,14,14,3,2,,Unknown
14,14,14,7,8,14,8,1,5,5,6,4,5,3,,Unknown
14,14,14,14,14,14,14,1,14,14,14,14,14,14,,Unknown
14,14,14,14,2,14,3,14,14,14,14,14,1,14,,Unknown
14,14,1,14,14,14,4,14,14,14,14,2,14,1,,Unknown
14,14,14,14,14,14,14,1,14,14,14,14,14,14,,Unknown
14,14,14,14,14,14,14,1,14,14,14,14,14,14,,Unknown
14,14,14,7,14,14,7,1,7,14,14,7,7,14,,Unknown
14,14,14,14,14,14,14,1,14,14,7,14,14,14,,Unknown
2,14,12,9,6,13,5,7,10,3,8,4,1,11,,Unknown
14,14,14,14,14,14,14,1,14,14,14,14,14,14,,Unknown
5,2,1,8,6,10,11,3,13,7,12,4,14,9,,Unknown
14,2,3,14,14,5,14,14,14,14,14,14,1,14,,Unknown
14,14,14,14,14,14,14,1,14,14,7,14,14,14,,Unknown
8,14,13,12,14,14,12,1,10,13,3,9,13,14,,Unknown
7,14,14,14,7,14,7,1,14,7,7,14,14,14,,Unknown
13,8,7,12,10,11,9,3,1,14,5,2,4,6,,Unknown
4,9,1,5,3,7,14,6,8,12,10,2,13,11,,Unknown
3,4,8,7,10,13,6,1,14,5,9,12,2,11,,Unknown
8,3,1,12,6,2,6,11,13,5,4,14,10,7,,Unknown
14,14,14,4,4,14,4,1,5,7,5,6,14,5,,Unknown
14,14,14,14,14,14,14,1,14,14,14,14,14,14,,Unknown
4,2,1,10,6,3,11,7,13,5,14,8,12,9,,Unknown
14,14,14,14,14,14,14,3,2,14,14,14,1,14,,Unknown
8,3,1,9,10,11,13,14,6,7,12,5,2,4,,Unknown
6,7,1,8,9,11,10,14,4,5,12,13,2,4,,Unknown
4,2,1,8,5,3,12,6,13,9,11,7,14,10,,Unknown
7,3,2,11,13,4,6,8,1,12,5,9,14,10,,Unknown
14,14,14,14,14,14,14,1,14,14,14,14,14,14,,Unknown
4,8,1,13,6,11,14,2,9,5,12,7,10,3,,Unknown
14,14,14,14,14,14,14,1,14,14,14,14,14,14,,Unknown
10,2,1,7,11,6,8,5,3,9,4,12,14,13,,Unknown
4,14,3,13,9,8,5,2,7,11,10,6,1,12,,Unknown
10,2,1,4,11,7,9,14,12,3,8,6,13,5,,Unknown
14,14,3,14,14,14,14,14,14,14,14,14,2,1,,Unknown
4,8,9,5,3,13,12,6,10,2,11,14,1,7,,Unknown
7,13,8,4,5,14,11,12,9,2,6,10,1,3,,Unknown
3,8,1,9,12,10,13,14,7,5,11,6,2,4,,Unknown
14,14,14,14,14,1,14,14,14,14,14,14,14,14,,Unknown
3,6,2,7,9,12,14,5,10,8,14,1,4,11,,Unknown
2,14,3,14,14,14,14,14,1,14,14,14,14,14,,Unknown
14,14,14,14,14,14,14,1,14,14,14,14,14,14,,Unknown
14,14,14,14,14,14,14,1,14,14,14,14,14,14,,Unknown
14,14,14,14,14,14,14,14,14,14,14,14,14,14,,Unknown
14,14,14,7,7,14,14,1,7,7,7,7,14,7,,Unknown
8,2,1,4,9,3,6,10,13,7,5,12,14,11,,Unknown
