rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,Num Cands,Num Seats
13,12,12,16,5,19,18,6,17,3,14,8,15,9,7,1,11,4,2,19.0,1.0
Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,3,Skipped,4,1,,
4,10,14,6,11,18,8,7,16,9,19,16,5,13,16,1,17,3,2,,
Skipped,7,5,Skipped,1,Skipped,Skipped,6,Skipped,3,Skipped,Skipped,10,2,Skipped,1,Skipped,8,1,,
3,2,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,3,Skipped,Skipped,3,2,2,1,2,1,1,,
Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,3,Skipped,,
Skipped,Skipped,12,6,12,2,5,1,2,7,Skipped,8,13,3,Skipped,9,Skipped,Skipped,12,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,2,Skipped,8,Skipped,6,3,5,7,Skipped,1,,
Skipped,6,10,Skipped,7,Skipped,13,4,Skipped,12,9,Skipped,Skipped,5,2,3,11,8,1,,
Skipped,Skipped,5,4,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,3,,
Skipped,Skipped,Skipped,Skipped,Skipped,1,14,Skipped,Skipped,13,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,12,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,5,Skipped,Skipped,1,Skipped,4,3,,
19,3,2,19,19,19,19,19,19,3,19,19,19,3,3,1,3,2,2,,
3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
Skipped,Skipped,5,10,Skipped,Skipped,Skipped,6,Skipped,8,Skipped,Skipped,Skipped,3,7,2,9,4,1,,
Skipped,5,Skipped,Skipped,4,Skipped,Skipped,Skipped,7,2,Skipped,Skipped,Skipped,Skipped,3,Skipped,6,Skipped,1,,
Skipped,9,15,11,12,13,Skipped,1,Skipped,5,7,Skipped,14,6,4,2,10,8,3,,
Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,1,,
Skipped,Skipped,3,Skipped,1,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,3,3,2,Skipped,2,2,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,3,Skipped,1,Skipped,2,1,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
1,11,15,16,12,14,10,17,18,6,19,5,8,7,9,2,13,4,3,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,1,,
11,9,19,14,5,16,4,10,13,3,15,17,12,7,8,2,18,6,1,,
Skipped,3,4,4,4,4,Skipped,3,Skipped,Skipped,3,4,Skipped,3,3,1,3,4,2,,
Skipped,10,10,Skipped,5,8,Skipped,Skipped,Skipped,Skipped,6,2,7,4,9,1,7,3,5,,
6,6,5,5,2,4,3,6,6,5,6,5,3,6,6,1,6,5,2,,
