rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,Num Cands,Num Seats
4,1,7,13,13,2,8,6,3,13,13,5,13,13.0,1.0
3,9,6,8,10,4,12,1,5,13,7,2,11,,
6,1,13,13,13,4,7,4,1,13,5,13,13,,
13,4,1,13,13,3,13,13,2,13,13,13,13,,
8,3,6,9,1,2,12,7,10,5,4,13,11,,
5,8,11,7,6,9,12,2,10,4,1,3,13,,
2,1,13,13,3,13,13,13,4,13,13,13,13,,
3,5,8,1,2,12,6,13,7,9,11,4,10,,
1,10,3,2,4,8,6,9,5,11,12,13,7,,
13,1,13,4,13,13,13,2,13,13,13,13,13,,
10,1,13,9,8,5,4,6,2,11,12,7,3,,
7,9,5,1,3,12,2,8,13,4,11,6,10,,
13,13,13,2,13,13,13,3,4,13,13,13,1,,
3,8,4,5,6,10,12,7,9,13,11,1,2,,
2,4,5,8,3,6,13,1,1,7,13,13,13,,
7,2,1,9,11,4,5,3,10,13,12,6,8,,
13,13,13,13,13,13,13,1,13,13,13,13,13,,
8,3,7,11,9,1,4,1,2,12,10,13,5,,
9,2,13,5,10,7,8,1,4,12,3,6,11,,
8,7,3,2,12,6,10,4,1,5,13,11,9,,
5,2,4,9,7,1,13,3,6,12,11,8,10,,
2,5,1,11,10,4,6,12,3,13,7,9,8,,
9,4,3,2,11,10,6,5,1,13,8,7,12,,
5,3,6,10,9,2,7,1,4,13,11,8,12,,
13,13,13,13,13,13,13,13,1,13,13,13,13,,
1,5,2,13,13,13,4,13,13,13,13,13,3,,
13,1,4,13,13,2,13,13,13,13,13,3,13,,
1,2,4,6,13,13,13,5,3,13,7,13,13,,
6,4,2,11,12,5,1,7,8,9,13,3,10,,
13,3,11,6,4,10,8,1,9,12,5,2,7,,
13,3,13,13,13,13,13,4,3,13,1,2,3,,
6,2,3,10,12,4,8,5,1,13,9,11,7,,
4,1,11,10,12,2,13,1,1,9,3,12,2,,
11,1,5,4,7,13,12,9,2,3,10,6,8,,
13,13,1,13,13,3,13,3,2,4,13,13,13,,
13,13,13,13,13,13,13,13,13,13,1,3,2,,
13,1,13,5,13,3,13,7,2,13,6,13,4,,
3,5,2,2,1,4,6,4,4,2,13,13,13,,
13,13,13,13,13,13,2,13,13,13,13,1,3,,
10,1,8,5,12,13,7,3,2,4,11,6,9,,
11,3,12,10,2,7,9,6,4,13,8,1,5,,
13,1,13,13,2,13,13,13,13,13,13,3,13,,
1,13,1,13,13,13,3,13,6,13,13,13,13,,
3,6,5,1,12,8,9,2,13,4,7,10,11,,
1,1,13,6,6,6,13,1,6,13,6,1,1,,
11,4,4,10,12,2,13,4,7,8,6,5,9,,
6,2,5,13,13,3,7,1,4,13,8,13,13,,
13,13,13,13,1,13,13,13,13,13,13,13,13,,
2,9,1,3,8,13,7,4,13,5,13,13,10,,
3,10,2,5,7,13,4,1,8,6,9,11,12,,
13,1,13,13,13,13,13,13,13,13,13,13,13,,
13,2,9,6,5,1,11,4,3,7,10,8,12,,
13,13,13,1,3,13,13,13,13,2,13,13,13,,
8,2,7,3,4,13,5,1,13,13,13,6,13,,
9,5,7,2,11,13,6,4,10,12,1,3,8,,
13,3,5,13,13,2,13,4,1,13,6,13,13,,
7,8,6,12,13,3,4,1,11,5,9,2,10,,
13,1,7,13,13,3,13,2,4,5,13,13,13,,
