rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,Num Cands,Num Seats
57,57,57,57,57,8,5,6,57,57,57,7,57,2,15,56,57,57,11,57,57,57,57,57,13,57,57,57,58,3,14,4,57,57,57,57,12,57,57,57,57,57,57,57,55,9,16,57,57,57,57,1,57,57,10,57,57,57,58.0,1.0
19,11,58,58,58,58,58,58,17,58,13,4,58,21,10,5,58,58,58,58,16,58,58,58,58,18,58,58,20,58,58,58,14,58,9,7,6,58,58,8,58,3,58,58,12,58,2,58,58,58,1,58,15,58,58,58,58,58,,
56,56,2,2,56,3,56,56,56,56,56,56,56,56,56,56,56,56,1,58,56,56,56,56,2,56,2,56,1,56,3,56,56,56,56,56,56,56,56,56,3,57,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,,
57,16,8,5,57,21,4,24,58,56,6,30,39,30,57,57,57,57,34,1,57,58,31,11,40,58,49,39,30,21,57,54,56,30,58,57,57,57,1,58,35,58,56,30,5,1,40,56,58,7,57,53,6,9,23,12,9,57,,
58,58,14,9,58,4,58,58,58,58,58,58,58,58,19,11,1,58,6,8,58,58,58,58,2,58,3,58,7,58,5,58,58,58,58,58,17,58,13,20,12,58,58,15,58,58,22,10,58,58,58,16,58,58,58,58,58,58,,
57,58,12,1,58,5,2,5,58,4,56,58,23,58,58,21,4,2,8,1,58,58,2,58,3,58,22,58,6,58,6,58,58,3,58,58,58,58,20,52,2,58,12,6,58,24,58,58,58,18,58,4,13,58,58,58,58,58,,
58,14,12,58,58,58,58,58,58,58,58,1,58,8,58,58,58,58,10,58,58,58,58,58,11,58,58,58,58,2,58,58,15,58,58,58,58,58,58,58,58,58,58,9,13,58,3,58,58,58,58,5,7,6,4,58,58,58,,
58,58,58,58,58,58,58,58,1,58,58,58,58,4,4,4,58,58,58,58,1,4,58,58,58,1,58,58,58,58,58,58,58,58,1,1,58,4,58,4,58,58,58,58,58,58,4,58,1,58,58,58,58,58,58,58,58,1,,
58,58,20,58,58,58,58,58,58,58,10,58,58,58,58,8,3,58,1,58,58,58,58,58,2,58,58,58,13,58,58,58,58,58,58,58,58,58,58,58,4,58,58,58,58,58,58,21,58,58,58,58,58,58,58,58,58,58,,
53,11,53,3,53,53,53,57,53,53,53,53,9,53,53,7,4,12,6,53,57,53,53,53,2,53,13,57,5,53,53,57,53,14,53,53,53,53,53,53,1,53,53,53,53,58,10,8,53,53,53,53,53,53,53,53,53,53,,
38,37,4,7,55,18,16,37,55,55,14,28,37,15,56,11,9,55,5,17,25,55,55,55,1,55,8,55,58,26,13,20,37,37,55,12,16,57,37,37,6,55,55,10,37,55,3,55,37,21,27,2,55,18,24,37,55,55,,
1,58,58,58,1,58,58,58,58,58,58,3,58,58,5,58,58,58,58,58,58,58,58,58,58,58,58,1,58,58,58,58,58,58,58,58,58,58,58,58,58,2,58,58,58,58,2,58,58,58,58,58,58,58,58,58,58,58,,
4,10,58,58,58,16,58,58,58,58,16,5,58,16,8,58,58,58,58,58,58,11,58,58,16,58,58,58,58,58,16,58,58,58,15,7,16,3,58,9,14,1,58,58,16,16,2,16,6,58,58,12,58,58,13,58,58,58,,
52,34,14,39,37,13,50,4,1,48,17,8,31,29,57,33,45,24,49,36,46,12,30,51,22,10,19,10,32,38,25,23,41,43,27,54,3,21,42,40,55,18,9,35,20,47,5,28,16,7,44,26,53,15,56,11,6,2,,
2,58,58,58,58,58,58,58,1,58,3,58,58,58,2,58,58,58,58,58,1,58,58,58,58,1,58,58,58,58,58,58,58,58,1,1,2,1,58,1,58,2,58,58,58,58,2,2,1,58,58,58,58,58,58,58,58,1,,
58,58,58,3,58,58,58,58,58,58,58,58,58,58,58,58,5,58,4,58,58,58,58,58,1,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,2,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
58,18,58,17,58,58,58,58,58,58,17,2,58,1,17,17,17,58,58,58,58,58,17,58,17,58,58,58,7,58,58,4,58,58,58,58,3,58,58,17,17,17,17,58,58,58,6,5,58,58,58,58,58,58,58,17,58,58,,
53,53,53,6,53,7,1,2,53,53,53,53,53,58,53,53,12,9,5,53,53,53,53,53,53,53,53,53,53,10,8,53,53,11,57,57,53,4,53,53,53,53,53,53,53,57,53,53,53,53,53,53,53,53,3,53,53,53,,
54,50,49,7,21,21,57,22,49,21,21,8,49,10,5,49,52,49,58,21,49,49,49,53,55,49,49,49,49,49,57,49,21,49,4,1,9,21,21,6,51,49,21,21,21,49,3,49,2,49,49,49,49,49,49,49,49,49,,
