rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,Num Cands,Num Seats
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,1,52,52,52,52,52,52,52,52,52,52,52,52,52,1,52,52,52,1,52,52,52,52,52,52,52,52,52.0,1.0
2,52,1,52,3,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,
3,52,52,2,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,1,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,
52,52,52,52,52,2,52,52,52,1,52,52,52,52,52,3,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,51,52,52,52,52,52,52,52,52,52,51,52,52,51,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,
52,52,52,2,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,3,52,52,52,52,52,52,1,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,
1,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,3,52,2,52,52,52,52,52,52,52,52,52,,
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,1,52,52,52,52,52,3,52,52,52,52,52,52,52,2,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,
52,52,52,2,3,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,1,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,1,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,3,52,52,52,52,52,52,52,52,52,52,52,1,52,52,52,52,52,2,52,52,52,52,,
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,1,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,2,52,52,52,52,52,3,52,52,52,52,,
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,1,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,2,52,3,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,1,52,52,,
1,52,52,52,3,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,2,52,52,52,52,52,52,52,52,52,,
52,52,52,52,52,2,52,52,52,1,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,3,52,52,52,52,52,52,52,52,52,52,52,,
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,3,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,1,52,52,52,52,52,52,2,52,52,52,52,52,52,52,,
1,52,52,52,52,52,52,52,52,52,52,52,52,52,5,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,3,52,4,52,52,52,2,52,52,52,52,52,,
1,52,52,52,3,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,2,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,
4,52,52,52,4,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,3,52,1,52,52,52,52,52,52,52,52,52,4,52,52,52,52,52,52,52,52,52,52,52,52,,
52,52,2,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,3,52,1,52,52,52,52,52,52,52,52,52,,
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,1,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,
52,52,52,52,52,52,52,52,52,52,52,52,3,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,1,52,52,52,52,52,52,52,52,52,52,52,2,52,52,,
2,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,3,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,1,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,
52,52,52,52,2,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,3,52,52,52,52,52,52,52,52,52,52,52,52,52,52,1,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,
