rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,Num Cands,Num Seats
2,Skipped,3,4,9,6,7,5,1,9.0,1.0
6,8,4,1,9,7,2,3,5,,
8,3,7,6,9,1,5,4,2,,
2,6,1,5,9,7,8,4,3,,
3,Skipped,8,Skipped,4,1,2,Skipped,9,,
9,9,9,9,9,9,9,9,9,,
9,9,9,9,1,3,2,9,9,,
9,9,9,9,9,9,9,9,9,,
9,9,9,9,9,9,9,9,9,,
8,2,5,6,9,3,1,4,7,,
9,9,9,9,9,9,9,9,9,,
2,9,9,5,8,1,6,4,7,,
8,4,7,2,9,3,5,1,6,,
8,1,8,8,9,8,8,8,8,,
9,9,9,3,9,9,9,9,1,,
1,6,8,3,4,2,7,5,9,,
2,1,7,3,6,5,8,9,4,,
9,9,9,9,9,9,9,9,9,,
Skipped,Skipped,2,3,1,4,5,Skipped,Skipped,,
9,Skipped,9,9,9,9,9,9,Skipped,,
9,9,9,9,9,9,9,9,9,,
1,7,9,2,8,5,3,6,4,,
6,9,8,5,3,4,1,7,2,,
Skipped,Skipped,Skipped,Skipped,1,3,2,Skipped,9,,
7,9,1,4,6,5,2,3,8,,
8,9,3,5,1,2,7,6,4,,
5,6,4,2,7,8,9,3,1,,
1,7,5,4,9,8,3,6,2,,
4,1,8,6,4,5,4,9,7,,
9,9,9,9,9,9,9,9,9,,
Skipped,Skipped,Skipped,Skipped,9,9,Skipped,8,Skipped,,
2,3,8,4,5,9,6,7,1,,
Skipped,6,Skipped,Skipped,9,Skipped,9,8,5,,
7,1,8,8,8,7,8,9,5,,
7,9,8,5,3,6,1,4,2,,
9,1,2,3,8,7,6,5,9,,
3,2,4,5,9,7,8,6,1,,
3,1,6,2,8,4,9,5,7,,
7,4,3,1,6,5,9,2,1,,
9,9,9,9,9,9,9,9,9,,
9,9,9,9,9,9,9,9,9,,
Skipped,Skipped,9,6,9,Skipped,8,5,7,,
9,2,9,1,9,9,3,9,9,,
7,6,9,9,9,8,8,9,7,,
9,Skipped,8,9,7,1,9,8,9,,
9,9,1,9,3,9,2,Skipped,9,,
Skipped,6,8,Skipped,9,8,8,Skipped,Skipped,,
1,2,8,3,9,5,7,4,6,,
2,2,2,2,8,1,9,2,2,,
4,1,6,5,9,7,8,3,2,,
5,7,6,2,4,3,1,9,8,,
