rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,Num Cands,Num Seats
2,1,9,3,6,7,10,4,5,14,8,11,12,13,14.0,1.0
5,3,7,1,7,6,14,4,4,2,5,14,14,14,,
8,1,10,5,9,6,11,7,2,3,4,12,14,13,,
6,2,5,3,8,10,13,11,7,12,1,9,4,14,,
11,3,2,14,10,5,8,4,1,6,7,9,12,13,,
10,1,6,11,12,7,3,14,9,2,5,4,8,13,,
6,13,9,12,8,2,3,5,10,1,7,4,14,11,,
4,7,12,1,4,3,5,3,2,4,3,13,13,8,,
2,1,7,14,10,3,14,11,5,4,8,9,14,6,,
1,10,3,5,2,9,14,11,8,14,4,14,6,7,,
14,2,3,5,11,7,13,5,8,6,9,12,1,10,,
14,11,12,6,13,7,3,10,2,8,9,4,5,1,,
14,14,14,14,14,14,1,1,14,14,14,1,14,1,,
5,11,3,12,4,2,9,10,8,14,1,7,13,6,,
5,14,4,14,14,2,14,6,1,14,3,14,14,14,,
5,10,8,9,7,11,1,6,13,2,12,4,3,14,,
14,5,3,4,14,5,14,14,14,14,6,14,1,14,,
12,2,8,5,14,7,10,6,9,3,13,11,1,4,,
4,5,12,7,14,6,11,13,3,1,2,9,8,10,,
14,14,14,1,14,14,14,14,14,14,14,14,14,14,,
14,14,14,14,14,2,14,14,14,14,14,1,14,14,,
11,1,7,3,12,4,8,5,6,13,2,9,14,10,,
1,13,11,6,10,9,5,14,7,2,8,3,12,4,,
2,4,6,3,1,14,14,14,7,5,14,14,14,14,,
10,1,5,6,9,9,12,7,2,3,4,13,11,14,,
13,2,10,1,14,10,12,10,10,10,10,11,10,3,,
9,7,13,3,8,4,5,6,2,10,14,1,12,11,,
6,12,5,4,10,8,2,11,3,14,13,1,9,7,,
8,13,4,9,11,3,1,12,6,10,7,2,14,5,,
12,3,2,7,14,9,11,4,10,6,9,13,1,5,,
1,14,1,1,1,1,1,1,1,1,1,1,1,1,,
14,10,13,9,12,7,1,5,11,4,6,3,8,2,,
12,7,4,5,13,1,11,9,2,8,6,3,14,10,,
14,14,2,14,14,1,14,14,1,14,14,14,14,14,,
8,6,9,7,10,5,14,2,3,1,4,14,14,14,,
4,14,5,12,6,1,3,9,10,7,14,2,8,11,,
14,7,9,14,14,4,2,14,10,8,6,1,5,3,,
