rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,Num Cands,Num Seats
68,1,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,1,68,68.0,1.0
68,68,68,68,1,68,68,68,68,68,68,68,68,68,68,1,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,1,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,
47,32,62,64,52,45,43,37,38,5,28,1,50,2,19,35,31,29,60,48,13,56,15,40,27,4,68,17,18,7,36,46,57,20,65,24,22,21,53,12,10,26,61,58,8,3,39,6,59,63,67,41,30,14,33,16,55,11,9,51,25,42,44,49,66,34,54,23,,
68,68,68,68,3,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,1,68,68,68,68,68,4,68,68,68,68,68,68,68,68,68,68,68,68,68,2,68,68,68,68,68,68,68,68,5,68,68,6,68,68,68,,
68,68,68,68,3,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,2,68,68,68,68,68,68,68,4,68,68,68,68,68,68,68,68,68,68,68,1,68,68,68,68,68,68,68,68,68,68,68,68,68,5,68,,
68,68,68,68,68,68,68,68,68,68,68,68,68,1,68,11,68,68,68,68,7,68,68,68,68,68,6,68,68,68,68,68,68,68,68,68,68,68,68,9,68,68,68,68,68,68,68,10,68,68,68,68,68,2,68,5,68,68,4,68,68,3,68,68,68,68,68,68,,
29,4,13,16,8,68,14,6,68,68,68,3,31,68,68,5,12,22,5,68,68,68,68,68,68,68,68,68,68,68,68,68,2,68,20,68,68,68,7,24,68,68,21,68,15,68,4,68,68,19,68,68,1,68,23,68,32,68,68,30,10,28,68,11,18,9,68,68,,
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,3,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,2,68,68,68,68,68,1,68,68,68,68,68,68,68,68,68,4,68,68,68,68,68,68,68,,
19,37,37,20,22,60,23,48,47,68,57,56,61,31,62,52,27,68,36,52,26,19,40,34,44,56,33,19,59,19,19,11,4,45,19,41,50,52,26,21,39,68,38,34,35,19,68,68,61,9,32,26,1,56,68,42,13,19,43,34,3,2,26,9,46,6,25,53,,
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,2,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,1,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,1,68,68,68,68,68,68,68,1,68,68,68,68,68,68,68,68,68,68,68,68,1,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,4,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,2,68,68,68,68,68,1,68,68,68,68,68,68,68,68,68,3,68,68,68,68,68,68,68,,
68,68,68,68,68,68,68,68,68,68,68,1,68,68,68,3,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,5,68,68,68,68,68,68,68,68,2,68,68,68,68,68,6,68,68,68,68,68,68,68,68,68,4,68,68,68,68,68,68,68,,
68,8,5,68,68,14,68,1,68,68,68,68,68,68,68,68,11,68,68,68,68,68,68,68,68,68,68,68,68,68,68,7,3,68,68,68,4,68,68,68,13,68,9,68,68,68,10,68,68,68,68,68,2,68,68,68,6,68,68,68,68,68,68,12,68,68,68,68,,
68,8,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,2,68,68,68,68,68,68,5,9,68,68,68,68,68,6,68,7,4,68,68,1,68,3,68,68,68,68,10,68,68,68,68,68,68,68,68,,
68,9,68,68,68,68,68,68,68,68,68,68,10,68,68,8,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,2,68,68,68,68,68,68,3,68,68,68,68,68,68,68,68,68,68,68,68,1,68,6,68,68,68,68,68,68,68,68,68,7,5,68,68,,
63,60,55,68,61,67,64,52,62,30,15,11,12,12,30,5,9,60,56,59,30,67,30,20,55,60,16,30,24,67,6,52,55,20,67,54,67,59,60,10,4,58,60,8,2,25,3,25,29,20,1,58,7,26,65,67,67,49,67,60,8,13,5,14,68,61,51,56,,
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,4,68,68,68,68,2,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,1,68,68,3,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,
