rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,Num Cands,Num Seats
7,21,6,19,8,2,14,18,1,15,12,11,4,3,22,5,10,13,20,17,9,16,22.0,1.0
3,8,8,8,7,3,8,6,2,5,5,4,5,1,7,8,7,8,6,4,7,5,,
7,21,6,19,9,3,14,18,1,15,12,8,4,2,22,5,11,13,20,17,10,16,,
8,20,7,18,9,1,14,17,2,15,13,12,21,5,3,6,11,4,19,22,10,16,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,2,22,22,22,22,22,22,1,,
8,19,7,17,9,1,14,16,2,20,13,12,22,5,3,6,11,4,18,22,10,15,,
7,21,5,20,11,19,3,16,6,8,14,17,13,2,9,1,10,12,22,15,4,18,,
21,22,2,21,21,7,8,21,4,21,21,1,3,9,6,21,5,21,21,21,21,10,,
8,20,7,18,9,1,14,17,2,15,13,12,21,5,3,6,11,4,19,22,10,16,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,1,22,22,,
22,22,22,22,22,22,22,22,22,3,22,22,22,1,2,22,22,22,22,22,22,22,,
22,22,22,22,22,22,22,1,22,22,22,22,22,2,22,22,22,22,22,22,22,22,,
22,22,22,22,22,22,22,22,22,22,22,22,22,2,1,22,22,22,22,22,22,22,,
8,20,7,18,9,1,14,17,2,15,13,12,21,5,3,6,11,4,19,22,10,16,,
4,22,18,19,12,5,15,17,3,22,10,2,13,1,16,9,7,11,20,8,14,6,,
15,1,5,9,12,22,14,4,19,2,16,21,17,3,7,18,8,10,11,13,20,6,,
1,22,1,1,22,1,22,2,1,2,2,22,22,1,2,1,1,2,2,2,1,1,,
13,16,10,9,7,12,18,15,2,5,17,3,19,1,11,22,6,21,14,20,8,4,,
3,19,18,12,14,2,21,10,4,11,22,1,7,8,17,16,5,15,20,6,13,9,,
22,22,22,22,22,22,22,22,22,22,22,1,22,22,22,22,22,22,22,22,22,22,,
22,22,4,22,22,22,3,22,22,22,22,5,22,1,22,22,22,22,22,2,22,22,,
22,4,22,22,22,3,22,22,22,1,8,6,22,2,22,22,22,5,5,22,22,22,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,1,22,22,,
22,22,22,22,22,22,22,22,22,22,22,1,22,22,22,22,22,22,22,22,22,22,,
22,22,22,22,22,22,22,22,22,22,22,22,1,22,22,22,22,22,22,22,22,22,,
22,22,22,22,22,22,22,22,22,22,22,22,22,2,22,22,22,22,22,1,22,3,,
22,22,22,6,3,22,22,22,22,2,22,22,22,5,22,22,1,3,22,4,7,2,,
22,22,1,22,22,22,22,22,22,22,22,22,22,1,22,1,22,22,22,22,22,22,,
22,22,22,22,22,22,22,22,22,22,22,22,22,2,22,22,22,22,22,1,22,3,,
22,22,22,22,2,4,1,22,22,22,22,5,22,3,22,22,22,22,22,22,22,22,,
2,2,2,2,2,2,3,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,,
22,22,22,22,22,22,22,22,22,22,22,22,22,2,22,22,22,22,22,1,22,3,,
22,16,18,15,21,22,22,2,22,17,22,22,22,1,12,11,14,19,13,22,22,20,,
7,21,6,19,9,3,14,18,1,17,12,8,4,2,22,5,11,13,20,15,10,16,,
7,21,6,19,9,3,14,18,1,15,12,8,4,2,22,5,11,13,20,17,10,16,,
22,7,11,5,6,15,22,13,2,5,14,22,22,1,8,22,10,4,9,12,8,3,,
17,15,22,11,8,3,3,19,13,12,21,9,7,1,10,6,20,3,16,1,18,14,,
7,21,6,19,11,3,14,18,1,15,12,8,4,2,22,5,9,13,20,17,10,16,,
22,22,22,22,22,22,22,22,22,22,22,22,22,2,22,22,22,22,22,1,22,3,,
22,22,22,22,22,22,22,22,22,22,22,22,22,2,22,22,22,22,22,1,22,3,,
10,19,9,16,6,8,20,18,2,3,15,1,7,11,4,22,12,5,21,17,13,14,,
22,22,3,22,22,22,22,22,4,3,22,22,2,1,22,22,22,22,22,22,1,2,,
12,20,15,17,21,8,18,16,7,4,22,9,11,2,3,13,10,1,19,6,14,5,,
4,22,22,22,22,3,22,22,22,22,22,22,1,2,22,22,22,22,22,22,22,22,,
4,5,4,5,3,4,2,5,3,3,5,1,4,6,3,4,6,3,5,4,6,4,,
6,17,13,20,10,2,8,9,1,18,15,7,4,3,19,16,12,14,21,22,5,11,,
22,22,22,22,22,3,22,22,1,22,22,22,22,2,22,22,22,22,22,22,22,22,,
22,22,22,22,22,22,22,22,22,22,22,22,22,2,1,22,22,22,22,22,22,22,,
21,12,8,1,5,18,13,14,20,6,15,22,17,2,3,11,19,4,9,10,16,7,,
22,22,22,2,5,22,22,22,22,7,22,22,22,1,4,22,9,3,6,22,22,8,,
22,22,22,22,22,22,22,6,22,2,22,22,22,1,22,22,22,3,22,22,22,4,,
7,21,6,19,8,2,14,18,1,15,12,11,4,3,22,5,10,13,20,17,9,16,,
