rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,Num Cands,Num Seats
1,19,2,19,19,19,19,19,19,19,19,19,19,19,19,3,19,4,19,19.0,1.0
19,19,19,19,19,19,19,19,1,19,19,19,19,19,19,2,19,19,19,,
14,19,6,2,15,7,3,5,11,8,13,1,9,18,16,10,12,17,4,,
1,13,18,17,16,7,15,19,14,8,9,3,2,12,4,10,6,5,11,,
19,19,19,19,19,19,19,4,6,19,19,5,2,7,19,3,1,19,8,,
9,3,12,18,7,8,15,10,11,6,17,13,4,16,5,1,14,2,19,,
19,19,4,2,19,19,19,3,19,19,19,19,19,19,6,1,19,5,19,,
5,19,2,4,3,7,19,19,19,19,10,19,9,6,1,19,19,19,8,,
19,19,4,19,19,19,19,19,1,19,19,2,19,19,19,3,19,5,19,,
4,19,1,19,19,3,3,3,19,2,19,4,2,19,19,1,2,2,3,,
2,17,11,15,16,7,6,8,18,5,19,14,10,1,9,12,13,4,3,,
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,1,19,2,19,,
19,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,,
1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2,19,19,19,,
9,16,18,11,12,1,5,15,19,8,14,7,3,4,10,17,13,2,6,,
13,19,14,10,16,12,3,8,12,5,17,6,7,18,15,1,2,4,9,,
4,2,12,10,8,3,16,14,5,13,9,15,18,1,7,19,11,6,17,,
19,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,,
4,6,7,1,17,5,15,19,9,14,13,12,10,2,11,16,8,18,4,,
13,17,2,8,11,10,7,1,19,4,15,3,9,16,11,14,5,18,6,,
9,8,17,18,16,6,13,12,5,15,19,3,14,2,4,1,10,7,11,,
19,19,19,19,1,19,19,19,19,19,19,19,19,19,2,3,19,19,19,,
19,1,19,19,19,19,19,19,1,19,19,1,19,19,19,19,19,19,19,,
1,7,4,12,19,8,15,16,14,3,6,10,17,5,9,11,18,2,13,,
1,19,4,19,2,1,19,19,19,1,5,19,19,19,2,19,3,19,19,,
6,19,19,7,4,19,5,19,19,19,19,19,1,19,19,19,8,2,3,,
19,19,1,19,19,1,19,19,19,19,19,19,19,19,19,19,19,19,19,,
2,6,5,10,7,1,9,3,2,8,1,3,4,4,3,9,4,1,6,,
8,17,11,3,15,7,5,16,19,13,18,10,12,6,14,1,9,2,4,,
19,19,19,19,2,19,5,19,19,19,3,19,19,19,4,19,19,19,1,,
19,19,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,,
3,19,9,13,10,1,14,12,11,16,15,8,18,5,6,2,17,4,7,,
19,19,4,19,19,19,19,19,19,19,19,5,19,1,19,1,19,19,19,,
12,17,1,6,13,10,8,7,15,11,18,3,9,16,14,5,4,19,2,,
19,19,1,19,19,19,19,19,19,19,19,19,2,19,19,3,4,19,19,,
4,5,7,16,17,2,14,3,1,18,11,12,8,19,13,6,15,9,10,,
12,4,5,10,9,1,7,14,16,3,18,13,6,17,15,11,1,8,19,,
19,19,3,15,19,19,11,9,8,19,19,10,1,19,19,6,1,5,6,,
9,5,19,19,19,6,3,7,10,19,1,2,19,19,19,4,19,8,19,,
2,19,3,19,7,8,5,19,6,19,19,1,19,19,19,9,19,19,19,,
5,10,11,8,14,6,18,2,9,13,19,16,4,1,12,3,17,7,15,,
5,4,1,16,7,17,12,13,6,8,19,9,18,14,11,2,3,15,10,,
19,9,19,19,19,9,7,19,1,19,19,3,7,19,6,2,19,5,19,,
