rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,Num Cands,Num Seats
1,3,18,1,18,18,18,18,18,3,18,18,1,18,3,2,3,18,18.0,Unknown
18,18,4,1,18,18,18,3,18,5,2,18,18,18,18,18,18,18,,Unknown
3,18,18,5,18,18,18,18,18,18,18,18,1,18,3,4,18,18,,Unknown
18,11,15,5,9,2,12,13,7,10,17,14,1,16,4,8,3,6,,Unknown
2,5,18,1,18,18,18,18,18,18,18,18,3,18,5,3,18,18,,Unknown
18,5,17,4,10,7,12,16,13,2,15,11,6,8,3,1,9,14,,Unknown
18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,Unknown
15,16,6,18,14,10,8,10,6,12,14,12,18,8,16,18,14,14,,Unknown
18,7,13,3,11,15,16,4,10,6,17,12,1,14,8,9,2,5,,Unknown
18,5,17,2,13,8,9,14,11,4,12,15,6,16,3,1,7,10,,Unknown
18,18,18,2,18,18,18,1,18,18,18,18,18,18,18,18,18,18,,Unknown
8,10,13,3,1,15,14,7,18,11,9,12,5,16,6,2,4,17,,Unknown
4,3,2,13,1,18,17,8,7,15,11,16,6,9,10,5,14,12,,Unknown
18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,Unknown
18,6,17,4,10,11,6,3,16,5,12,13,1,15,8,9,2,14,,Unknown
16,13,4,9,11,10,15,8,6,18,17,14,1,5,3,7,2,12,,Unknown
18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,18,18,18,,Unknown
15,5,16,3,8,15,15,15,18,6,15,15,2,17,4,7,1,15,,Unknown
18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,Unknown
1,2,18,18,18,18,18,18,18,18,18,18,3,18,18,18,18,18,,Unknown
18,6,14,1,3,18,18,18,18,4,7,18,2,18,4,3,3,18,,Unknown
4,18,2,5,8,18,11,18,7,18,12,18,9,6,1,10,3,18,,Unknown
2,18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,3,18,,Unknown
14,1,17,4,9,18,8,5,16,12,7,6,2,10,11,3,13,15,,Unknown
18,2,18,18,18,4,18,18,18,18,18,18,3,18,18,1,18,18,,Unknown
18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,18,18,18,,Unknown
12,2,17,5,8,18,15,13,11,4,10,3,9,14,7,1,6,16,,Unknown
18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,Unknown
18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,Unknown
2,8,3,17,1,18,11,5,10,12,6,13,16,4,7,15,14,9,,Unknown
4,3,17,10,2,18,15,12,13,7,8,11,1,16,6,5,9,14,,Unknown
5,2,18,7,15,10,13,14,17,4,11,9,8,16,6,3,1,12,,Unknown
