rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,Num Cands,Num Seats
19,11,4,14,9,1,12,19,8,5,6,7,19,19,3,15,13,2,10,19.0,1.0
18,19,17,11,5,17,17,7,17,8,6,17,10,1,3,7,2,4,10,,
5,7,17,9,10,17,8,2,6,17,17,4,17,17,17,17,17,11,3,,
7,9,19,19,2,10,19,3,19,5,6,19,19,19,19,19,1,4,8,,
8,6,17,9,5,18,7,14,10,15,11,16,19,12,2,3,13,1,4,,
19,19,19,19,1,2,19,19,19,19,19,17,19,19,17,19,18,19,1,,
19,19,19,3,1,19,19,19,5,19,19,2,19,4,19,19,19,9,4,,
2,9,19,3,19,11,19,19,5,4,10,19,19,7,19,3,8,1,6,,
3,6,19,3,3,19,7,5,4,18,19,17,19,1,6,19,2,4,19,,
1,19,19,4,19,19,19,19,5,2,6,7,19,19,19,19,19,19,3,,
12,7,16,3,1,14,11,19,10,5,6,15,9,18,8,13,17,4,2,,
6,19,5,12,2,4,19,3,11,7,9,10,15,13,14,19,19,8,1,,
10,11,15,2,3,17,14,19,5,8,18,4,6,13,7,1,12,9,16,,
15,4,18,9,1,17,8,11,14,6,10,7,12,19,2,13,3,5,16,,
19,19,2,19,5,4,19,19,19,19,19,19,19,19,19,1,6,19,3,,
4,19,19,7,19,6,19,19,3,8,19,19,19,1,19,19,2,19,5,,
5,19,19,4,19,19,19,19,3,19,19,2,19,19,19,19,6,19,1,,
19,19,19,19,19,19,19,19,19,1,19,19,19,19,19,19,19,19,2,,
9,4,16,18,5,15,7,17,12,10,2,11,8,19,6,13,1,3,14,,
19,19,19,8,4,19,19,19,7,6,19,3,19,19,1,19,19,5,2,,
19,19,19,19,19,19,19,19,19,3,19,19,19,19,19,1,19,2,19,,
2,5,4,16,6,1,7,15,14,9,12,3,11,10,18,8,13,19,17,,
9,2,8,13,5,16,3,11,14,6,12,19,18,15,4,1,10,17,7,,
5,9,18,2,4,19,15,17,1,6,7,8,16,3,13,14,12,11,10,,
7,16,8,5,4,2,9,11,18,15,3,14,6,19,10,13,12,1,17,,
19,19,19,3,19,19,19,19,19,19,19,1,2,19,19,19,19,19,19,,
3,6,16,9,4,18,15,17,2,5,10,7,14,12,11,19,13,8,1,,
18,17,1,7,8,2,15,4,13,6,12,19,5,16,9,11,3,10,14,,
13,2,19,6,8,18,1,12,7,10,16,17,11,9,16,16,5,3,4,,
13,15,3,1,17,18,16,5,9,8,6,4,14,12,11,19,10,7,2,,
17,13,1,19,16,2,14,19,19,11,10,3,15,19,8,4,18,9,19,,
