rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,Num Cands,Num Seats
9,12,8,12,6,4,12,10,12,11,12,3,1,5,12,12,7,2,12,19.0,1.0
13,11,3,10,5,6,19,9,14,8,18,7,1,12,17,16,4,2,15,,
Skipped,7,13,Skipped,1,5,10,Skipped,Skipped,3,11,4,8,Skipped,9,6,12,2,Skipped,,
7,19,6,7,5,4,19,5,7,1,19,3,6,6,6,19,4,5,2,,
4,5,10,18,2,6,19,16,13,11,14,3,1,17,15,12,9,8,7,,
9,19,19,19,2,10,19,19,19,6,7,1,4,19,3,19,8,5,19,,
Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,2,Skipped,Skipped,Skipped,Skipped,1,Skipped,,
19,19,4,Skipped,19,4,Skipped,19,Skipped,19,Skipped,3,2,10,6,Skipped,7,1,Skipped,,
10,9,6,Skipped,1,4,8,Skipped,Skipped,7,11,3,2,Skipped,Skipped,13,12,5,Skipped,,
19,3,19,19,19,19,19,19,19,19,1,19,19,19,19,19,19,2,19,,
12,4,19,19,2,13,12,19,17,19,3,5,7,19,19,10,19,1,19,,
4,Skipped,1,3,4,1,Skipped,3,4,18,19,2,1,3,17,3,1,2,Skipped,,
10,12,6,18,3,9,11,18,18,2,4,8,1,7,16,18,17,5,19,,
18,4,17,12,6,11,2,13,14,3,1,7,8,10,11,17,15,5,17,,
9,19,3,19,10,1,19,6,19,5,19,8,4,19,19,7,19,2,19,,
11,9,8,17,3,2,13,12,18,10,16,6,5,15,4,7,14,1,19,,
5,Skipped,3,Skipped,2,6,Skipped,Skipped,Skipped,19,Skipped,1,4,Skipped,Skipped,Skipped,Skipped,7,Skipped,,
18,18,18,18,18,1,18,18,18,18,18,18,1,18,18,18,18,19,18,,
19,19,7,19,1,6,19,19,19,19,19,3,8,5,4,19,9,2,19,,
Skipped,Skipped,5,Skipped,4,5,Skipped,9,Skipped,Skipped,Skipped,2,3,Skipped,7,10,8,1,Skipped,,
12,7,2,15,1,6,13,10,18,11,9,8,4,14,16,17,3,5,19,,
11,12,5,13,9,1,Skipped,10,Skipped,6,8,7,3,Skipped,Skipped,Skipped,4,2,Skipped,,
14,3,9,16,4,11,7,17,12,2,1,8,13,8,10,19,19,5,15,,
16,15,3,17,1,4,18,9,19,14,6,2,5,12,8,9,13,7,19,,
12,14,5,Skipped,3,8,Skipped,11,Skipped,7,13,4,1,15,6,10,9,2,Skipped,,
19,19,19,19,3,19,19,19,19,19,19,2,19,19,19,19,19,1,19,,
15,13,4,14,1,9,18,16,12,5,17,6,3,7,11,10,8,2,19,,
13,18,4,5,2,3,14,9,11,16,17,7,1,10,15,8,12,6,19,,
19,19,19,19,2,5,19,19,19,4,7,3,5,19,19,6,19,1,19,,
9,Skipped,5,Skipped,2,3,10,7,Skipped,Skipped,Skipped,4,8,Skipped,Skipped,6,Skipped,1,Skipped,,
