rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,Num Cands,Num Seats
Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,15,16,Skipped,30,Skipped,Skipped,Skipped,Skipped,34,Skipped,Skipped,25,7,Skipped,Skipped,34,Skipped,29,Skipped,19,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,19,22,Skipped,24,32,26,21,2,Skipped,Skipped,29,11,17,Skipped,1,4,Skipped,Skipped,Skipped,33,Skipped,31,Skipped,12,29,Skipped,3,18,Skipped,5,Skipped,14,9,23,Skipped,13,Skipped,Skipped,80.0,1.0
80,80,80,39,80,80,80,80,80,48,80,80,80,80,80,80,80,80,80,80,80,80,80,80,77,80,80,22,80,80,80,80,41,80,80,80,80,80,80,80,80,80,18,80,2,80,65,31,80,80,80,80,29,42,73,55,49,80,80,10,80,16,80,80,80,80,80,3,1,80,80,80,80,80,80,80,80,80,80,80,,
21,1,14,7,24,80,80,80,80,80,80,80,80,80,20,80,80,80,80,80,80,80,35,80,80,80,4,80,80,80,80,80,3,80,80,80,80,80,80,80,12,80,80,80,80,5,80,15,80,80,80,80,80,80,80,80,6,80,80,80,80,2,80,80,80,11,9,10,80,80,80,80,80,67,80,80,80,17,13,80,,
80,80,80,80,80,80,80,80,80,10,80,80,16,80,80,80,80,80,5,80,80,80,80,80,15,80,80,80,80,80,80,8,6,80,80,80,80,80,80,80,80,80,80,80,80,80,80,3,80,80,80,80,80,1,11,80,2,17,80,80,80,80,80,80,80,13,4,80,9,14,80,80,80,12,80,80,80,80,7,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,10,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,11,80,80,80,5,80,80,80,80,80,3,80,80,5,80,80,80,2,80,80,4,2,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,8,80,80,80,80,80,,
80,70,80,80,80,78,80,80,80,80,80,80,80,80,77,80,80,80,80,80,80,74,80,80,80,80,73,80,80,80,80,75,80,80,80,80,80,80,80,80,80,80,80,80,80,71,76,3,80,80,80,80,80,80,80,80,79,80,80,80,80,5,80,80,80,2,80,80,1,80,80,80,80,72,4,80,80,80,80,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,80,80,1,80,80,80,80,80,80,80,80,80,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,11,80,80,80,80,80,80,80,80,80,80,80,80,80,80,14,80,80,80,6,80,80,80,80,80,19,80,80,80,3,1,80,80,10,80,80,80,80,3,80,80,2,16,80,80,80,4,13,80,80,9,5,80,,
5,80,80,80,80,80,80,80,80,80,12,80,80,80,80,80,80,80,80,80,4,80,80,80,15,80,80,80,80,80,80,80,80,80,9,80,80,80,3,80,80,80,80,80,80,80,8,6,80,11,80,80,7,1,80,80,14,80,80,80,80,80,80,80,80,80,80,80,2,10,80,80,80,16,80,80,80,13,80,80,,
80,80,80,80,9,13,80,80,80,2,80,80,15,80,80,80,80,80,6,80,80,65,80,80,73,80,80,16,80,80,80,71,7,80,80,80,80,80,80,80,53,80,80,80,80,17,3,5,80,80,80,80,10,4,80,80,1,11,80,80,80,80,80,66,80,80,80,80,14,80,80,80,80,8,80,80,80,80,12,80,,
