rank1,rank2,rank3,numSeats,numCands
1,3,2,1.0,3.0
1,2,3,,
3,2,1,,
3,1,3,,
2,3,1,,
1,2,3,,
1,3,2,,
1,3,2,,
1,3,2,,
1,3,2,,
2,1,3,,
1,3,2,,
2,1,3,,
2,1,3,,
3,2,1,,
1,2,3,,
3,2,1,,
1,3,2,,
3,2,1,,
2,1,3,,
2,3,1,,
1,3,3,,
3,2,1,,
1,3,2,,
2,3,1,,
3,2,1,,
3,2,1,,
2,1,3,,
1,3,2,,
1,3,2,,
1,Skipped,Skipped,,
2,1,3,,
1,3,2,,
3,2,1,,
3,2,1,,
1,3,2,,
3,1,3,,
3,1,2,,
2,3,1,,
2,3,1,,
3,2,1,,
3,2,1,,
3,2,1,,
2,3,1,,
2,3,1,,
1,2,3,,
3,2,1,,
1,3,2,,
3,2,1,,
3,1,2,,
1,2,3,,
1,3,2,,
1,3,2,,
3,1,2,,
2,3,1,,
3,3,1,,
2,3,1,,
1,2,3,,
2,1,3,,
2,3,1,,
1,2,3,,
3,1,2,,
2,3,1,,
2,3,1,,
3,3,1,,
2,3,1,,
1,3,3,,
3,2,1,,
2,3,1,,
3,3,1,,
2,3,1,,
2,3,1,,
1,3,2,,
3,1,2,,
3,2,1,,
3,3,1,,
3,3,3,,
3,1,2,,
3,2,1,,
1,2,3,,
1,3,2,,
1,3,3,,
3,1,2,,
2,3,1,,
3,2,1,,
3,2,1,,
3,1,2,,
3,2,1,,
3,1,3,,
3,2,1,,
3,2,1,,
2,2,1,,
2,1,3,,
1,3,3,,
2,3,1,,
1,3,2,,
1,3,2,,
3,2,1,,
3,3,1,,
3,2,1,,
3,2,1,,
3,1,2,,
1,2,3,,
3,2,1,,
2,1,3,,
3,2,1,,
2,3,1,,
3,2,1,,
1,3,2,,
1,3,3,,
3,3,1,,
3,1,3,,
3,2,1,,
1,2,Skipped,,
3,1,2,,
2,3,1,,
3,3,1,,
3,2,1,,
3,2,1,,
3,3,1,,
1,3,2,,
2,3,1,,
3,1,2,,
1,2,3,,
3,3,1,,
1,3,2,,
2,3,3,,
2,3,1,,
1,3,2,,
1,3,2,,
1,2,3,,
3,1,2,,
2,3,1,,
2,3,1,,
2,3,1,,
2,3,1,,
3,3,1,,
2,3,1,,
2,Skipped,1,,
2,1,3,,
2,1,3,,
1,3,2,,
2,3,1,,
2,3,1,,
3,2,1,,
2,3,1,,
2,3,1,,
3,2,1,,
3,2,1,,
3,1,2,,
1,3,2,,
3,3,1,,
1,3,2,,
2,3,1,,
1,3,2,,
2,3,1,,
1,2,3,,
3,2,1,,
2,3,1,,
1,3,2,,
1,2,3,,
2,3,1,,
2,3,1,,
3,2,1,,
1,3,2,,
3,2,1,,
2,3,1,,
3,2,1,,
3,3,1,,
1,2,3,,
1,3,2,,
2,3,1,,
1,3,2,,
3,2,1,,
3,1,2,,
3,3,1,,
3,2,1,,
3,3,1,,
2,1,3,,
3,1,2,,
1,2,3,,
2,1,3,,
2,3,1,,
1,1,3,,
2,1,3,,
2,1,3,,
3,2,1,,
2,1,3,,
3,2,1,,
1,2,3,,
3,1,2,,
3,3,1,,
3,2,1,,
3,2,1,,
3,1,2,,
2,3,1,,
2,3,1,,
2,3,1,,
3,3,1,,
2,Skipped,1,,
3,1,3,,
3,1,3,,
1,3,3,,
1,2,3,,
3,2,1,,
3,1,2,,
1,3,3,,
2,1,3,,
1,2,3,,
3,2,1,,
3,1,2,,
2,3,1,,
1,2,3,,
2,3,1,,
3,1,3,,
3,2,1,,
3,3,1,,
2,3,1,,
3,2,1,,
1,2,3,,
1,3,3,,
1,3,2,,
3,1,2,,
3,2,1,,
1,3,2,,
1,3,2,,
2,1,3,,
1,Skipped,Skipped,,
1,2,3,,
1,2,3,,
3,3,1,,
3,3,1,,
1,3,2,,
1,2,3,,
2,1,3,,
3,2,1,,
2,1,3,,
2,3,1,,
3,2,1,,
3,2,1,,
2,3,1,,
1,2,3,,
3,2,1,,
1,2,3,,
3,2,1,,
1,3,2,,
2,1,3,,
3,2,1,,
3,2,1,,
2,3,1,,
3,3,1,,
1,3,2,,
2,1,3,,
1,3,2,,
1,3,2,,
2,3,1,,
1,2,3,,
1,2,3,,
1,2,3,,
2,1,3,,
3,2,1,,
3,3,1,,
2,2,1,,
2,1,3,,
2,1,3,,
3,2,1,,
3,3,1,,
1,3,2,,
2,3,1,,
3,1,2,,
2,3,1,,
3,2,1,,
3,2,1,,
3,1,2,,
2,1,3,,
3,3,1,,
3,1,2,,
1,3,3,,
1,2,3,,
3,2,1,,
3,2,1,,
2,1,3,,
3,3,1,,
1,2,3,,
3,2,1,,
2,3,1,,
3,3,1,,
3,1,2,,
1,2,3,,
1,2,3,,
3,1,3,,
2,1,3,,
1,2,3,,
3,2,1,,
3,2,1,,
1,2,3,,
3,2,1,,
3,2,1,,
3,1,3,,
3,2,1,,
3,2,1,,
2,1,3,,
2,1,3,,
3,2,1,,
1,3,2,,
3,2,1,,
2,3,1,,
3,2,1,,
1,2,3,,
2,3,1,,
3,1,2,,
1,3,2,,
3,3,1,,
2,3,1,,
1,2,2,,
3,1,3,,
3,2,1,,
3,2,1,,
2,3,1,,
1,2,Skipped,,
3,1,3,,
2,3,1,,
2,3,1,,
3,2,1,,
1,3,2,,
3,3,1,,
