rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
3,7,6,2,8,5,1,4,1.0,8.0
3,7,5,2,8,4,1,6,,
3,8,5,2,6,4,1,7,,
3,7,4,2,8,5,1,6,,
2,7,6,3,8,4,1,5,,
3,6,5,2,8,7,1,4,,
3,7,5,2,8,4,1,6,,
3,8,6,1,7,5,2,4,,
3,7,6,2,8,4,1,5,,
3,8,6,2,7,5,1,4,,
2,8,5,3,6,7,1,4,,
3,7,5,2,8,4,1,6,,
3,8,5,2,7,6,1,4,,
3,7,4,2,8,6,1,5,,
3,8,6,2,7,4,1,5,,
3,7,6,2,8,4,1,5,,
3,8,5,2,6,4,1,7,,
3,8,8,2,8,8,1,8,,
3,8,5,2,6,4,1,7,,
3,8,7,2,6,4,1,5,,
3,7,6,2,8,5,1,4,,
3,7,5,2,8,6,1,4,,
3,7,5,2,8,6,1,4,,
3,4,7,2,8,6,1,5,,
2,5,7,3,8,6,1,4,,
3,7,6,2,8,4,1,5,,
3,7,6,2,8,5,1,4,,
3,7,6,2,8,4,1,5,,
3,7,5,2,8,6,1,4,,
3,7,6,2,8,5,1,4,,
3,7,6,2,8,4,1,5,,
3,7,5,2,8,4,1,6,,
3,8,5,2,7,4,1,6,,
2,7,5,1,8,6,3,4,,
3,7,6,2,8,4,1,5,,
3,7,5,2,8,4,1,6,,
3,7,5,2,4,6,1,8,,
5,7,4,8,2,3,1,6,,
3,7,5,2,8,4,2,6,,
3,8,7,2,6,4,1,5,,
3,6,8,2,7,5,1,4,,
3,8,5,2,8,4,1,6,,
3,7,6,2,8,4,1,5,,
3,8,5,2,6,4,1,7,,
4,8,1,3,7,5,2,6,,
3,7,6,2,8,5,1,4,,
3,8,7,2,5,6,1,4,,
3,7,6,2,8,5,1,4,,
3,8,6,2,7,5,1,4,,
3,7,6,2,8,5,1,4,,
3,8,8,2,8,5,1,4,,
3,8,5,2,7,4,1,6,,
3,7,5,2,8,6,1,4,,
3,8,6,2,7,4,1,5,,
3,6,7,2,8,4,1,5,,
3,7,6,2,8,5,1,4,,
3,8,5,2,8,6,1,4,,
3,6,5,2,8,5,1,7,,
3,8,5,2,7,4,1,6,,
3,5,7,2,8,4,1,6,,
2,8,6,3,7,4,1,5,,
2,7,4,3,8,6,1,5,,
3,7,4,2,8,5,1,6,,
2,8,6,3,7,4,1,5,,
2,8,4,3,7,5,1,6,,
3,8,4,2,7,5,1,6,,
3,7,5,2,8,4,1,6,,
3,6,4,2,8,5,1,7,,
3,6,4,2,8,7,1,5,,
3,8,6,2,7,4,1,5,,
3,8,4,2,7,6,1,5,,
3,8,6,2,7,4,1,5,,
3,8,6,2,7,4,1,5,,
3,8,4,2,7,5,1,6,,
3,7,5,2,8,4,1,6,,
3,7,6,2,8,5,1,4,,
8,8,1,8,8,8,8,8,,
8,8,8,8,8,8,1,8,,
3,7,6,2,8,4,1,5,,
3,8,6,2,7,4,1,5,,
3,7,5,2,8,4,1,6,,
3,6,5,2,8,7,1,4,,
3,7,4,2,8,6,1,5,,
3,8,6,2,7,5,1,4,,
3,7,6,2,8,4,1,5,,
3,8,5,2,7,4,1,6,,
3,7,8,2,6,4,1,5,,
3,7,6,2,8,5,1,4,,
8,8,8,8,8,8,1,8,,
3,8,5,2,7,6,1,4,,
3,7,4,2,8,5,1,6,,
3,7,6,2,8,4,1,5,,
3,7,5,2,8,6,1,4,,
3,7,4,2,8,6,1,5,,
3,8,4,2,7,5,1,6,,
3,7,6,2,8,5,1,4,,
3,4,8,2,7,5,1,6,,
3,7,6,2,8,4,1,5,,
3,7,4,2,8,5,1,6,,
3,7,4,2,8,5,1,6,,
3,7,6,2,8,5,1,4,,
3,8,7,2,6,5,1,5,,
8,8,8,8,8,8,8,8,,
3,6,4,2,8,5,1,7,,
