rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,numSeats,numCands
Skipped,2,3,5,Skipped,1,Skipped,Skipped,7,Skipped,Skipped,6,4,Skipped,8,1.0,15.0
14,5,9,8,6,2,7,15,4,13,12,10,1,11,3,,
15,11,3,9,7,1,5,13,10,4,8,14,2,12,6,,
14,4,9,10,12,2,3,13,7,6,15,8,1,11,5,,
Skipped,5,1,Skipped,Skipped,4,7,Skipped,6,Skipped,Skipped,8,2,9,3,,
Skipped,3,2,8,5,6,Skipped,Skipped,Skipped,4,Skipped,Skipped,1,Skipped,7,,
Skipped,6,5,7,9,4,Skipped,Skipped,8,Skipped,Skipped,2,1,10,3,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,,
15,2,8,6,13,3,5,9,11,7,10,15,1,12,4,,
15,15,5,15,15,2,15,15,4,15,15,3,1,15,15,,
15,2,3,9,11,7,5,12,4,8,14,10,1,13,6,,
13,2,1,7,12,5,6,15,8,3,11,14,4,10,9,,
14,8,4,10,12,1,11,15,7,13,5,3,7,6,2,,
15,7,3,10,13,2,11,14,6,8,9,5,1,12,4,,
15,15,1,15,15,3,15,15,15,2,15,15,15,15,15,,
Skipped,3,4,Skipped,Skipped,2,8,Skipped,5,7,Skipped,Skipped,1,Skipped,6,,
Skipped,10,4,5,8,3,6,Skipped,9,Skipped,7,2,1,Skipped,Skipped,,
8,3,14,12,9,2,7,Skipped,5,11,6,10,1,13,4,,
Skipped,6,1,4,10,8,Skipped,Skipped,3,7,Skipped,9,Skipped,5,2,,
15,4,14,7,8,2,9,13,6,11,12,3,1,10,5,,
14,8,5,9,10,2,7,15,6,4,13,11,1,12,3,,
13,5,3,11,14,2,15,12,8,10,6,9,4,7,1,,
14,3,6,9,13,2,11,12,8,7,10,5,1,15,4,,
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,,
15,4,5,9,13,2,12,11,8,6,7,10,1,14,3,,
Skipped,7,2,8,Skipped,1,Skipped,Skipped,4,11,9,6,10,5,3,,
14,3,6,7,10,2,6,13,4,8,12,11,1,15,5,,
8,5,4,15,15,2,15,15,6,7,15,15,1,15,3,,
15,9,8,12,14,1,4,13,6,11,5,7,2,10,3,,
5,3,3,1,5,2,4,6,2,4,5,5,2,4,3,,
Skipped,3,8,7,10,5,12,11,1,6,Skipped,Skipped,2,9,4,,
13,3,10,12,6,2,7,11,8,4,Skipped,9,1,14,5,,
13,1,5,11,9,4,7,15,10,6,14,8,2,12,3,,
Skipped,1,6,8,4,5,Skipped,Skipped,3,9,Skipped,Skipped,2,Skipped,7,,
15,8,2,1,11,6,12,14,7,13,10,5,3,9,4,,
15,3,4,9,12,1,10,14,6,7,13,8,2,11,5,,
14,4,5,11,9,2,8,15,7,5,10,13,1,12,3,,
Skipped,5,4,Skipped,Skipped,1,Skipped,Skipped,8,Skipped,Skipped,6,3,7,2,,
Skipped,9,8,7,Skipped,1,6,Skipped,10,3,Skipped,5,2,11,4,,
14,1,3,12,8,9,13,11,5,2,7,15,4,10,6,,
15,1,15,15,15,15,15,15,15,15,15,15,3,4,2,,
Skipped,3,Skipped,2,Skipped,6,Skipped,Skipped,1,5,7,Skipped,4,Skipped,Skipped,,
15,5,6,11,8,10,12,15,7,3,1,14,2,9,4,,
Skipped,1,5,6,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,4,,
14,2,3,8,13,6,10,15,7,5,12,11,1,9,4,,
15,1,5,7,14,3,10,13,4,8,11,12,2,9,6,,
Skipped,3,Skipped,4,7,2,5,Skipped,Skipped,6,Skipped,Skipped,1,Skipped,Skipped,,
15,7,5,11,13,2,9,14,6,4,12,10,1,8,3,,
15,15,15,15,1,15,15,15,15,15,15,15,15,15,15,,
14,3,12,8,9,2,5,Skipped,4,6,11,13,1,10,7,,
Skipped,5,Skipped,8,9,2,7,Skipped,6,4,Skipped,Skipped,1,Skipped,3,,
Skipped,3,5,11,12,2,8,Skipped,13,4,Skipped,7,1,9,10,,
14,3,6,13,9,2,10,15,7,11,12,4,1,8,5,,
15,2,6,9,12,3,8,13,5,4,7,11,1,10,4,,
14,5,8,10,13,1,3,15,7,6,12,11,4,9,2,,
Skipped,5,6,Skipped,Skipped,1,Skipped,Skipped,7,Skipped,Skipped,4,8,3,2,,
Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,4,2,,
15,15,15,14,1,15,15,15,15,15,14,15,15,15,15,,
3,7,12,11,4,6,10,Skipped,9,1,14,15,2,13,8,,
10,5,11,13,15,2,6,3,8,12,9,4,1,14,7,,
Skipped,3,4,8,Skipped,1,Skipped,Skipped,5,Skipped,Skipped,Skipped,2,7,6,,
11,4,6,9,10,2,7,Skipped,8,3,Skipped,Skipped,1,Skipped,5,,
15,4,15,9,15,5,15,3,7,8,15,2,1,15,6,,
10,3,6,7,9,1,7,Skipped,5,4,9,Skipped,2,Skipped,5,,
Skipped,6,Skipped,Skipped,4,1,5,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,3,,
13,11,3,6,14,1,4,10,12,5,15,7,2,9,8,,
13,15,12,10,14,11,15,15,1,15,15,15,2,9,7,,
15,3,7,8,9,2,10,12,5,6,13,14,1,11,4,,
4,3,6,14,11,1,10,12,7,8,15,13,2,9,5,,
