rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
1,9,1,1,1,1,1,1,1,Unknown,9.0
8,9,5,2,6,3,4,1,7,Unknown,
8,9,7,3,6,2,1,4,5,Unknown,
8,9,3,2,4,1,5,7,6,Unknown,
7,9,1,8,9,6,9,4,5,Unknown,
1,9,1,1,1,1,1,1,1,Unknown,
8,9,1,5,3,6,7,2,4,Unknown,
7,8,1,2,6,5,9,3,4,Unknown,
5,9,7,4,6,1,3,4,2,Unknown,
2,9,1,1,2,1,1,2,2,Unknown,
7,9,4,2,6,5,8,3,1,Unknown,
3,9,8,4,1,9,5,2,7,Unknown,
6,9,3,2,6,5,6,4,1,Unknown,
9,9,9,9,9,9,9,9,9,Unknown,
5,9,3,2,4,7,1,6,8,Unknown,
7,9,2,1,3,5,8,4,6,Unknown,
8,9,1,7,6,4,3,2,5,Unknown,
9,9,1,9,9,9,9,2,3,Unknown,
8,9,7,2,5,1,4,6,3,Unknown,
7,9,2,1,6,4,3,6,4,Unknown,
5,9,1,4,7,3,2,8,6,Unknown,
6,9,4,5,1,8,7,3,2,Unknown,
8,9,1,3,7,2,6,5,4,Unknown,
1,2,1,1,1,1,1,1,7,Unknown,
8,9,1,4,5,3,7,2,6,Unknown,
1,9,2,6,4,3,7,5,8,Unknown,
1,9,1,1,1,1,1,1,1,Unknown,
6,9,5,1,8,2,3,4,7,Unknown,
5,9,3,4,7,1,2,6,8,Unknown,
6,9,8,7,5,2,1,4,3,Unknown,
7,9,1,4,3,2,5,6,8,Unknown,
9,9,1,2,9,3,9,9,4,Unknown,
6,9,1,4,3,8,2,5,7,Unknown,
8,9,3,2,7,1,5,6,4,Unknown,
1,9,1,1,1,1,1,1,1,Unknown,
9,9,1,7,9,8,9,6,2,Unknown,
6,9,3,5,8,2,1,8,4,Unknown,
8,9,2,1,4,6,7,5,3,Unknown,
4,9,2,2,3,2,3,3,2,Unknown,
1,1,1,1,1,1,1,1,1,Unknown,
8,9,6,1,5,4,2,3,9,Unknown,
1,1,1,1,1,1,1,1,1,Unknown,
2,8,2,2,1,2,9,1,1,Unknown,
6,9,1,4,8,7,5,2,3,Unknown,
7,9,3,5,2,8,1,4,6,Unknown,
4,9,1,2,6,5,3,8,7,Unknown,
9,9,1,2,9,5,4,9,3,Unknown,
9,9,2,9,9,3,1,9,9,Unknown,
1,9,1,1,1,1,1,1,1,Unknown,
6,9,2,2,8,2,7,2,1,Unknown,
7,9,4,8,1,3,2,6,9,Unknown,
9,9,9,9,9,9,9,9,9,Unknown,
3,9,2,1,6,5,4,7,8,Unknown,
3,9,3,2,3,3,3,1,4,Unknown,
6,9,1,3,2,5,8,7,4,Unknown,
1,9,1,1,1,1,1,1,1,Unknown,
4,9,5,4,1,3,6,7,2,Unknown,
5,9,1,3,3,5,3,2,2,Unknown,
1,1,1,1,1,1,1,1,1,Unknown,
1,9,1,1,1,1,1,1,1,Unknown,
