voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,num_positions
0,Roy HILL,skipped,skipped,skipped,skipped,skipped,skipped,1
1,Roy HILL,skipped,skipped,skipped,skipped,skipped,skipped,1
2,Roy HILL,skipped,skipped,skipped,skipped,skipped,skipped,1
3,Roy HILL,skipped,skipped,skipped,skipped,skipped,skipped,1
4,Roy HILL,skipped,skipped,skipped,skipped,skipped,skipped,1
5,Roy HILL,skipped,skipped,skipped,skipped,skipped,skipped,1
6,Roy HILL,skipped,skipped,skipped,skipped,skipped,skipped,1
7,Roy HILL,skipped,skipped,skipped,skipped,skipped,skipped,1
8,Roy HILL,skipped,skipped,skipped,skipped,skipped,skipped,1
9,Roy HILL,skipped,skipped,skipped,skipped,skipped,skipped,1
10,Roy HILL,skipped,skipped,skipped,skipped,skipped,skipped,1
11,Roy HILL,skipped,skipped,skipped,skipped,skipped,skipped,1
12,Roy HILL,skipped,skipped,skipped,skipped,skipped,skipped,1
13,Roy HILL,skipped,skipped,skipped,skipped,skipped,skipped,1
14,Roy HILL,skipped,skipped,skipped,skipped,skipped,skipped,1
15,Roy HILL,skipped,skipped,skipped,skipped,skipped,skipped,1
16,Roy HILL,skipped,skipped,skipped,skipped,skipped,skipped,1
17,Roy HILL,skipped,skipped,skipped,skipped,skipped,skipped,1
18,Roy HILL,Betty LYON,skipped,skipped,skipped,skipped,skipped,1
19,Roy HILL,Betty LYON,skipped,skipped,skipped,skipped,skipped,1
20,Roy HILL,Betty LYON,Gregor MCABERY,skipped,skipped,skipped,skipped,1
21,Roy HILL,Betty LYON,Gregor MCABERY,skipped,skipped,skipped,skipped,1
22,Roy HILL,Betty LYON,Gregor MCABERY,Simon Paul MCLEAN,skipped,skipped,skipped,1
23,Roy HILL,Betty LYON,Simon Paul MCLEAN,skipped,skipped,skipped,skipped,1
24,Roy HILL,Betty LYON,Simon Paul MCLEAN,skipped,skipped,skipped,skipped,1
25,Roy HILL,Betty LYON,Simon Paul MCLEAN,skipped,skipped,skipped,skipped,1
26,Roy HILL,Betty LYON,Simon Paul MCLEAN,Gregor MCABERY,Neil MURRAY,Audrey NICOLL,Willie YOUNG,1
27,Roy HILL,Betty LYON,Simon Paul MCLEAN,Gregor MCABERY,Neil MURRAY,Audrey NICOLL,Willie YOUNG,1
28,Roy HILL,Betty LYON,Simon Paul MCLEAN,Neil MURRAY,Gregor MCABERY,Audrey NICOLL,Willie YOUNG,1
29,Roy HILL,Betty LYON,Simon Paul MCLEAN,Audrey NICOLL,skipped,skipped,skipped,1
30,Roy HILL,Betty LYON,Simon Paul MCLEAN,Willie YOUNG,Audrey NICOLL,Neil MURRAY,Gregor MCABERY,1
31,Roy HILL,Betty LYON,Neil MURRAY,skipped,skipped,skipped,skipped,1
32,Roy HILL,Betty LYON,Willie YOUNG,skipped,skipped,skipped,skipped,1
33,Roy HILL,Betty LYON,Willie YOUNG,skipped,skipped,skipped,skipped,1
34,Roy HILL,Gregor MCABERY,Simon Paul MCLEAN,skipped,skipped,skipped,skipped,1
35,Roy HILL,Gregor MCABERY,Neil MURRAY,Betty LYON,Willie YOUNG,Simon Paul MCLEAN,Audrey NICOLL,1
36,Roy HILL,Simon Paul MCLEAN,Betty LYON,Gregor MCABERY,Neil MURRAY,Audrey NICOLL,Willie YOUNG,1
37,Roy HILL,Simon Paul MCLEAN,Betty LYON,Neil MURRAY,Willie YOUNG,Gregor MCABERY,Audrey NICOLL,1
38,Roy HILL,Simon Paul MCLEAN,Willie YOUNG,Gregor MCABERY,Neil MURRAY,Betty LYON,Audrey NICOLL,1
39,Roy HILL,Neil MURRAY,skipped,skipped,skipped,skipped,skipped,1
40,Roy HILL,Neil MURRAY,skipped,skipped,skipped,skipped,skipped,1
41,Roy HILL,Neil MURRAY,skipped,skipped,skipped,skipped,skipped,1
42,Roy HILL,Neil MURRAY,skipped,skipped,skipped,skipped,skipped,1
43,Roy HILL,Neil MURRAY,Betty LYON,Gregor MCABERY,Simon Paul MCLEAN,Willie YOUNG,Audrey NICOLL,1
44,Roy HILL,Neil MURRAY,Gregor MCABERY,Betty LYON,Willie YOUNG,Simon Paul MCLEAN,Audrey NICOLL,1
45,Roy HILL,Neil MURRAY,Simon Paul MCLEAN,skipped,skipped,skipped,skipped,1
46,Roy HILL,Neil MURRAY,Simon Paul MCLEAN,skipped,skipped,skipped,skipped,1
47,Roy HILL,Neil MURRAY,Simon Paul MCLEAN,skipped,skipped,skipped,skipped,1
48,Roy HILL,Neil MURRAY,Simon Paul MCLEAN,skipped,skipped,skipped,skipped,1
49,Roy HILL,Neil MURRAY,Willie YOUNG,skipped,skipped,skipped,skipped,1
50,Roy HILL,Audrey NICOLL,Gregor MCABERY,skipped,skipped,skipped,skipped,1
51,Roy HILL,Audrey NICOLL,Willie YOUNG,skipped,skipped,skipped,skipped,1
52,Roy HILL,Willie YOUNG,Audrey NICOLL,Simon Paul MCLEAN,Betty LYON,Gregor MCABERY,Neil MURRAY,1
53,Betty LYON,skipped,skipped,skipped,skipped,skipped,skipped,1
54,Betty LYON,skipped,skipped,skipped,skipped,skipped,skipped,1
55,Betty LYON,skipped,skipped,skipped,skipped,skipped,skipped,1
56,Betty LYON,skipped,skipped,skipped,skipped,skipped,skipped,1
57,Betty LYON,skipped,skipped,skipped,skipped,skipped,skipped,1
58,Betty LYON,skipped,skipped,skipped,skipped,skipped,skipped,1
59,Betty LYON,skipped,skipped,skipped,skipped,skipped,skipped,1
60,Betty LYON,skipped,skipped,skipped,skipped,skipped,skipped,1
61,Betty LYON,skipped,skipped,skipped,skipped,skipped,skipped,1
62,Betty LYON,skipped,skipped,skipped,skipped,skipped,skipped,1
63,Betty LYON,skipped,skipped,skipped,skipped,skipped,skipped,1
64,Betty LYON,skipped,skipped,skipped,skipped,skipped,skipped,1
65,Betty LYON,skipped,skipped,skipped,skipped,skipped,skipped,1
66,Betty LYON,skipped,skipped,skipped,skipped,skipped,skipped,1
67,Betty LYON,skipped,skipped,skipped,skipped,skipped,skipped,1
68,Betty LYON,skipped,skipped,skipped,skipped,skipped,skipped,1
