voter_id,rank1,rank2,rank3,rank4,rank5,num_positions
0,Neal BLACK,skipped,skipped,skipped,skipped,1
1,Neal BLACK,skipped,skipped,skipped,skipped,1
2,Neal BLACK,skipped,skipped,skipped,skipped,1
3,Neal BLACK,skipped,skipped,skipped,skipped,1
4,Neal BLACK,skipped,skipped,skipped,skipped,1
5,Neal BLACK,skipped,skipped,skipped,skipped,1
6,Neal BLACK,skipped,skipped,skipped,skipped,1
7,Neal BLACK,skipped,skipped,skipped,skipped,1
8,Neal BLACK,skipped,skipped,skipped,skipped,1
9,Neal BLACK,skipped,skipped,skipped,skipped,1
10,Neal BLACK,skipped,skipped,skipped,skipped,1
11,Neal BLACK,skipped,skipped,skipped,skipped,1
12,Neal BLACK,skipped,skipped,skipped,skipped,1
13,Neal BLACK,skipped,skipped,skipped,skipped,1
14,Neal BLACK,skipped,skipped,skipped,skipped,1
15,Neal BLACK,skipped,skipped,skipped,skipped,1
16,Neal BLACK,skipped,skipped,skipped,skipped,1
17,Neal BLACK,skipped,skipped,skipped,skipped,1
18,Neal BLACK,skipped,skipped,skipped,skipped,1
19,Neal BLACK,skipped,skipped,skipped,skipped,1
20,Neal BLACK,skipped,skipped,skipped,skipped,1
21,Neal BLACK,skipped,skipped,skipped,skipped,1
22,Neal BLACK,skipped,skipped,skipped,skipped,1
23,Neal BLACK,skipped,skipped,skipped,skipped,1
24,Neal BLACK,skipped,skipped,skipped,skipped,1
25,Neal BLACK,skipped,skipped,skipped,skipped,1
26,Neal BLACK,skipped,skipped,skipped,skipped,1
27,Neal BLACK,skipped,skipped,skipped,skipped,1
28,Neal BLACK,skipped,skipped,skipped,skipped,1
29,Neal BLACK,skipped,skipped,skipped,skipped,1
30,Neal BLACK,skipped,skipped,skipped,skipped,1
31,Neal BLACK,skipped,skipped,skipped,skipped,1
32,Neal BLACK,skipped,skipped,skipped,skipped,1
33,Neal BLACK,skipped,skipped,skipped,skipped,1
34,Neal BLACK,skipped,skipped,skipped,skipped,1
35,Neal BLACK,skipped,skipped,skipped,skipped,1
36,Neal BLACK,skipped,skipped,skipped,skipped,1
37,Neal BLACK,skipped,skipped,skipped,skipped,1
38,Neal BLACK,skipped,skipped,skipped,skipped,1
39,Neal BLACK,skipped,skipped,skipped,skipped,1
40,Neal BLACK,skipped,skipped,skipped,skipped,1
41,Neal BLACK,skipped,skipped,skipped,skipped,1
42,Neal BLACK,skipped,skipped,skipped,skipped,1
43,Neal BLACK,skipped,skipped,skipped,skipped,1
44,Neal BLACK,skipped,skipped,skipped,skipped,1
45,Neal BLACK,skipped,skipped,skipped,skipped,1
46,Neal BLACK,skipped,skipped,skipped,skipped,1
47,Neal BLACK,skipped,skipped,skipped,skipped,1
48,Neal BLACK,skipped,skipped,skipped,skipped,1
49,Neal BLACK,skipped,skipped,skipped,skipped,1
50,Neal BLACK,skipped,skipped,skipped,skipped,1
51,Neal BLACK,skipped,skipped,skipped,skipped,1
52,Neal BLACK,skipped,skipped,skipped,skipped,1
53,Neal BLACK,skipped,skipped,skipped,skipped,1
54,Neal BLACK,skipped,skipped,skipped,skipped,1
55,Neal BLACK,skipped,skipped,skipped,skipped,1
56,Neal BLACK,skipped,skipped,skipped,skipped,1
57,Neal BLACK,skipped,skipped,skipped,skipped,1
58,Neal BLACK,skipped,skipped,skipped,skipped,1
59,Neal BLACK,skipped,skipped,skipped,skipped,1
60,Neal BLACK,skipped,skipped,skipped,skipped,1
61,Neal BLACK,skipped,skipped,skipped,skipped,1
62,Neal BLACK,skipped,skipped,skipped,skipped,1
63,Neal BLACK,skipped,skipped,skipped,skipped,1
64,Neal BLACK,skipped,skipped,skipped,skipped,1
65,Neal BLACK,skipped,skipped,skipped,skipped,1
66,Neal BLACK,skipped,skipped,skipped,skipped,1
67,Neal BLACK,skipped,skipped,skipped,skipped,1
68,Neal BLACK,skipped,skipped,skipped,skipped,1
69,Neal BLACK,skipped,skipped,skipped,skipped,1
70,Neal BLACK,skipped,skipped,skipped,skipped,1
71,Neal BLACK,skipped,skipped,skipped,skipped,1
72,Neal BLACK,skipped,skipped,skipped,skipped,1
73,Neal BLACK,skipped,skipped,skipped,skipped,1
74,Neal BLACK,skipped,skipped,skipped,skipped,1
75,Neal BLACK,skipped,skipped,skipped,skipped,1
76,Neal BLACK,skipped,skipped,skipped,skipped,1
77,Neal BLACK,skipped,skipped,skipped,skipped,1
78,Neal BLACK,skipped,skipped,skipped,skipped,1
79,Neal BLACK,skipped,skipped,skipped,skipped,1
80,Neal BLACK,skipped,skipped,skipped,skipped,1
81,Neal BLACK,skipped,skipped,skipped,skipped,1
82,Neal BLACK,skipped,skipped,skipped,skipped,1
83,Neal BLACK,skipped,skipped,skipped,skipped,1
84,Neal BLACK,skipped,skipped,skipped,skipped,1
