voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,num_positions
0,Alan HILL Scottish National Party (SNP),Ian MURDOCH Independent,David John NAIRN Scottish Green Party,Eleanor COLLIER Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
1,Alan HILL Scottish National Party (SNP),Ian MURDOCH Independent,David John NAIRN Scottish Green Party,Eleanor COLLIER Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
2,Alan HILL Scottish National Party (SNP),Ian MURDOCH Independent,David John NAIRN Scottish Green Party,Eleanor COLLIER Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
3,Alan HILL Scottish National Party (SNP),Ian MURDOCH Independent,David John NAIRN Scottish Green Party,Eleanor COLLIER Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
4,Alan HILL Scottish National Party (SNP),Ian MURDOCH Independent,David John NAIRN Scottish Green Party,Eleanor COLLIER Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
5,Alan HILL Scottish National Party (SNP),Ian MURDOCH Independent,David John NAIRN Scottish Green Party,Eleanor COLLIER Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6,Alan HILL Scottish National Party (SNP),Ian MURDOCH Independent,David John NAIRN Scottish Green Party,Eleanor COLLIER Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
7,Alan HILL Scottish National Party (SNP),Eleanor COLLIER Scottish National Party (SNP),David John NAIRN Scottish Green Party,Jane FRASER Alba Party for independence,Nick HOBSON Independence for Scotland Party,Wendy LOW-THOMSON Independent,Ian MURDOCH Independent,James MCDAID Socialist Labour Party,Valerie REID Scottish Labour Party,Margaret MCLELLAN Scottish Liberal Democrats,Tom MARSHALL Scottish Conservative and Unionist,Todd FERGUSON Scottish Conservative and Unionist,skipped,5
8,Todd FERGUSON Scottish Conservative and Unionist,Tom MARSHALL Scottish Conservative and Unionist,Valerie REID Scottish Labour Party,Ian MURDOCH Independent,Margaret MCLELLAN Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
9,Tom MARSHALL Scottish Conservative and Unionist,James MCDAID Socialist Labour Party,Valerie REID Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
10,Tom MARSHALL Scottish Conservative and Unionist,James MCDAID Socialist Labour Party,Valerie REID Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
11,Todd FERGUSON Scottish Conservative and Unionist,Margaret MCLELLAN Scottish Liberal Democrats,Nick HOBSON Independence for Scotland Party,Tom MARSHALL Scottish Conservative and Unionist,Wendy LOW-THOMSON Independent,Ian MURDOCH Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
