voter_id,rank1,rank2,rank3,rank4,rank5,rank6,num_positions
0,Altany Steel Andrew CRAIK Scottish Labour Party,Julie Christina FORD Scottish National Party (SNP),Craig WALKER Scottish National Party (SNP),Keith William SMITH Scottish Liberal Democrats,skipped,skipped,3
1,Altany Steel Andrew CRAIK Scottish Labour Party,Julie Christina FORD Scottish National Party (SNP),Craig WALKER Scottish National Party (SNP),Keith William SMITH Scottish Liberal Democrats,skipped,skipped,3
2,Altany Steel Andrew CRAIK Scottish Labour Party,Julie Christina FORD Scottish National Party (SNP),Craig WALKER Scottish National Party (SNP),Keith William SMITH Scottish Liberal Democrats,skipped,skipped,3
3,Altany Steel Andrew CRAIK Scottish Labour Party,Julie Christina FORD Scottish National Party (SNP),Craig WALKER Scottish National Party (SNP),Keith William SMITH Scottish Liberal Democrats,skipped,skipped,3
4,Altany Steel Andrew CRAIK Scottish Labour Party,Julie Christina FORD Scottish National Party (SNP),Craig WALKER Scottish National Party (SNP),Keith William SMITH Scottish Liberal Democrats,skipped,skipped,3
5,Altany Steel Andrew CRAIK Scottish Labour Party,Julie Christina FORD Scottish National Party (SNP),Craig WALKER Scottish National Party (SNP),Keith William SMITH Scottish Liberal Democrats,skipped,skipped,3
6,Altany Steel Andrew CRAIK Scottish Labour Party,Julie Christina FORD Scottish National Party (SNP),Craig WALKER Scottish National Party (SNP),Keith William SMITH Scottish Liberal Democrats,skipped,skipped,3
7,Altany Steel Andrew CRAIK Scottish Labour Party,Julie Christina FORD Scottish National Party (SNP),Craig WALKER Scottish National Party (SNP),Keith William SMITH Scottish Liberal Democrats,skipped,skipped,3
8,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,Craig WALKER Scottish National Party (SNP),Altany Steel Andrew CRAIK Scottish Labour Party,Ian ROBERTSON ,Julie Christina FORD Scottish National Party (SNP),3
9,Julie Christina FORD Scottish National Party (SNP),Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,skipped,skipped,skipped,3
10,Julie Christina FORD Scottish National Party (SNP),Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,skipped,skipped,skipped,3
11,Julie Christina FORD Scottish National Party (SNP),Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,skipped,skipped,skipped,3
12,Julie Christina FORD Scottish National Party (SNP),Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,skipped,skipped,skipped,3
13,Julie Christina FORD Scottish National Party (SNP),Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,skipped,skipped,skipped,3
14,Julie Christina FORD Scottish National Party (SNP),Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,skipped,skipped,skipped,3
15,Julie Christina FORD Scottish National Party (SNP),Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,skipped,skipped,skipped,3
16,Julie Christina FORD Scottish National Party (SNP),Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,skipped,skipped,skipped,3
17,Ian ROBERTSON ,Keith William SMITH Scottish Liberal Democrats,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,Julie Christina FORD Scottish National Party (SNP),Craig WALKER Scottish National Party (SNP),3
18,Ian ROBERTSON ,Julie Christina FORD Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
19,Ian ROBERTSON ,Julie Christina FORD Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
20,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,Julie Christina FORD Scottish National Party (SNP),David CROLL Scottish Conservative and Unionist,Ian ROBERTSON ,Craig WALKER Scottish National Party (SNP),3
21,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,Julie Christina FORD Scottish National Party (SNP),David CROLL Scottish Conservative and Unionist,Ian ROBERTSON ,Craig WALKER Scottish National Party (SNP),3
22,Altany Steel Andrew CRAIK Scottish Labour Party,Ian ROBERTSON ,Julie Christina FORD Scottish National Party (SNP),David CROLL Scottish Conservative and Unionist,Keith William SMITH Scottish Liberal Democrats,Craig WALKER Scottish National Party (SNP),3
23,Craig WALKER Scottish National Party (SNP),Keith William SMITH Scottish Liberal Democrats,Julie Christina FORD Scottish National Party (SNP),skipped,skipped,skipped,3
24,Craig WALKER Scottish National Party (SNP),Keith William SMITH Scottish Liberal Democrats,Julie Christina FORD Scottish National Party (SNP),skipped,skipped,skipped,3
25,Altany Steel Andrew CRAIK Scottish Labour Party,Julie Christina FORD Scottish National Party (SNP),Keith William SMITH Scottish Liberal Democrats,Ian ROBERTSON ,David CROLL Scottish Conservative and Unionist,Craig WALKER Scottish National Party (SNP),3
26,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,Ian ROBERTSON ,Keith William SMITH Scottish Liberal Democrats,skipped,skipped,3
27,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,Ian ROBERTSON ,Keith William SMITH Scottish Liberal Democrats,skipped,skipped,3
28,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,Ian ROBERTSON ,Keith William SMITH Scottish Liberal Democrats,skipped,skipped,3
29,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,Ian ROBERTSON ,Keith William SMITH Scottish Liberal Democrats,skipped,skipped,3
30,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,Ian ROBERTSON ,Keith William SMITH Scottish Liberal Democrats,skipped,skipped,3
31,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,Ian ROBERTSON ,Keith William SMITH Scottish Liberal Democrats,skipped,skipped,3
32,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,Ian ROBERTSON ,Keith William SMITH Scottish Liberal Democrats,skipped,skipped,3
33,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,Ian ROBERTSON ,Keith William SMITH Scottish Liberal Democrats,skipped,skipped,3
34,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,Craig WALKER Scottish National Party (SNP),Keith William SMITH Scottish Liberal Democrats,Julie Christina FORD Scottish National Party (SNP),Ian ROBERTSON ,3
35,Keith William SMITH Scottish Liberal Democrats,Altany Steel Andrew CRAIK Scottish Labour Party,David CROLL Scottish Conservative and Unionist,Julie Christina FORD Scottish National Party (SNP),Craig WALKER Scottish National Party (SNP),skipped,3
36,Keith William SMITH Scottish Liberal Democrats,Altany Steel Andrew CRAIK Scottish Labour Party,Ian ROBERTSON ,Craig WALKER Scottish National Party (SNP),Julie Christina FORD Scottish National Party (SNP),David CROLL Scottish Conservative and Unionist,3
37,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
38,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
39,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
40,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
41,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
42,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
43,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
44,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
45,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
46,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
47,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
48,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
49,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
50,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
51,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
52,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
53,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
54,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
55,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
56,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
57,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
58,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
59,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
60,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
61,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
62,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
63,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
64,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
65,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
66,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
67,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
68,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
69,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
70,Altany Steel Andrew CRAIK Scottish Labour Party,Keith William SMITH Scottish Liberal Democrats,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,3
