voter_id,rank1,rank2,rank3,rank4,rank5,rank6,num_positions
0,Al CLARK Scottish Liberal Democrats,Rosalind GARTON Scottish Labour Party,Jane Ann LISTON Scottish Liberal Democrats,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,skipped,skipped,4
1,Al CLARK Scottish Liberal Democrats,Rosalind GARTON Scottish Labour Party,Jane Ann LISTON Scottish Liberal Democrats,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,skipped,skipped,4
2,Al CLARK Scottish Liberal Democrats,Rosalind GARTON Scottish Labour Party,Jane Ann LISTON Scottish Liberal Democrats,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,skipped,skipped,4
3,Al CLARK Scottish Liberal Democrats,Rosalind GARTON Scottish Labour Party,Jane Ann LISTON Scottish Liberal Democrats,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,skipped,skipped,4
4,Al CLARK Scottish Liberal Democrats,Rosalind GARTON Scottish Labour Party,Jane Ann LISTON Scottish Liberal Democrats,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,skipped,skipped,4
5,Al CLARK Scottish Liberal Democrats,Rosalind GARTON Scottish Labour Party,Jane Ann LISTON Scottish Liberal Democrats,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,skipped,skipped,4
6,Al CLARK Scottish Liberal Democrats,Rosalind GARTON Scottish Labour Party,Jane Ann LISTON Scottish Liberal Democrats,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,skipped,skipped,4
7,Jane Ann LISTON Scottish Liberal Democrats,Fergus Ramsay COOK Scottish Greens - Think Global Act Local,Ann VERNER Scottish National Party (SNP),Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,Rosalind GARTON Scottish Labour Party,4
8,Rosalind GARTON Scottish Labour Party,Al CLARK Scottish Liberal Democrats,Jane Ann LISTON Scottish Liberal Democrats,skipped,skipped,skipped,4
9,Rosalind GARTON Scottish Labour Party,Al CLARK Scottish Liberal Democrats,Jane Ann LISTON Scottish Liberal Democrats,skipped,skipped,skipped,4
10,Rosalind GARTON Scottish Labour Party,Al CLARK Scottish Liberal Democrats,Jane Ann LISTON Scottish Liberal Democrats,skipped,skipped,skipped,4
11,Rosalind GARTON Scottish Labour Party,Al CLARK Scottish Liberal Democrats,Jane Ann LISTON Scottish Liberal Democrats,skipped,skipped,skipped,4
12,Rosalind GARTON Scottish Labour Party,Al CLARK Scottish Liberal Democrats,Jane Ann LISTON Scottish Liberal Democrats,skipped,skipped,skipped,4
