voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,num_positions
0,Aude BOUBAKER-CALDER Scottish Liberal Democrats,Derek Gareth GLEN Scottish National Party (SNP),Jean HALL MUIR Scottish National Party (SNP),Lewis CAMPBELL Scottish Greens - Think Global Act Local,skipped,skipped,skipped,skipped,skipped,4
1,Aude BOUBAKER-CALDER Scottish Liberal Democrats,Derek Gareth GLEN Scottish National Party (SNP),Jean HALL MUIR Scottish National Party (SNP),Lewis CAMPBELL Scottish Greens - Think Global Act Local,skipped,skipped,skipped,skipped,skipped,4
2,Aude BOUBAKER-CALDER Scottish Liberal Democrats,Derek Gareth GLEN Scottish National Party (SNP),Jean HALL MUIR Scottish National Party (SNP),Lewis CAMPBELL Scottish Greens - Think Global Act Local,skipped,skipped,skipped,skipped,skipped,4
3,Jean HALL MUIR Scottish National Party (SNP),Derek Gareth GLEN Scottish National Party (SNP),Lewis CAMPBELL Scottish Greens - Think Global Act Local,Leanne TERVIT Alba Party for independence,Aude BOUBAKER-CALDER Scottish Liberal Democrats,Garry Kirwin HALDANE Scottish Labour Party,Jim LEISHMAN Scottish Labour Party,"Gary Christopher PRATT Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Malcolm MACAULAY Scottish Conservative and Unionist,4
4,Jean HALL MUIR Scottish National Party (SNP),Derek Gareth GLEN Scottish National Party (SNP),Lewis CAMPBELL Scottish Greens - Think Global Act Local,Leanne TERVIT Alba Party for independence,Aude BOUBAKER-CALDER Scottish Liberal Democrats,Garry Kirwin HALDANE Scottish Labour Party,Jim LEISHMAN Scottish Labour Party,"Gary Christopher PRATT Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Malcolm MACAULAY Scottish Conservative and Unionist,4
5,Jean HALL MUIR Scottish National Party (SNP),Derek Gareth GLEN Scottish National Party (SNP),Lewis CAMPBELL Scottish Greens - Think Global Act Local,Leanne TERVIT Alba Party for independence,Aude BOUBAKER-CALDER Scottish Liberal Democrats,Garry Kirwin HALDANE Scottish Labour Party,Jim LEISHMAN Scottish Labour Party,"Gary Christopher PRATT Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Malcolm MACAULAY Scottish Conservative and Unionist,4
6,Jean HALL MUIR Scottish National Party (SNP),Derek Gareth GLEN Scottish National Party (SNP),Lewis CAMPBELL Scottish Greens - Think Global Act Local,Leanne TERVIT Alba Party for independence,Aude BOUBAKER-CALDER Scottish Liberal Democrats,Garry Kirwin HALDANE Scottish Labour Party,Jim LEISHMAN Scottish Labour Party,"Gary Christopher PRATT Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Malcolm MACAULAY Scottish Conservative and Unionist,4
7,Aude BOUBAKER-CALDER Scottish Liberal Democrats,Lewis CAMPBELL Scottish Greens - Think Global Act Local,Malcolm MACAULAY Scottish Conservative and Unionist,Garry Kirwin HALDANE Scottish Labour Party,Jim LEISHMAN Scottish Labour Party,"Gary Christopher PRATT Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Leanne TERVIT Alba Party for independence,Jean HALL MUIR Scottish National Party (SNP),Derek Gareth GLEN Scottish National Party (SNP),4
8,Derek Gareth GLEN Scottish National Party (SNP),Lewis CAMPBELL Scottish Greens - Think Global Act Local,Jean HALL MUIR Scottish National Party (SNP),Garry Kirwin HALDANE Scottish Labour Party,Jim LEISHMAN Scottish Labour Party,skipped,skipped,skipped,skipped,4
9,Derek Gareth GLEN Scottish National Party (SNP),Lewis CAMPBELL Scottish Greens - Think Global Act Local,Jean HALL MUIR Scottish National Party (SNP),Garry Kirwin HALDANE Scottish Labour Party,Jim LEISHMAN Scottish Labour Party,skipped,skipped,skipped,skipped,4
10,Garry Kirwin HALDANE Scottish Labour Party,Aude BOUBAKER-CALDER Scottish Liberal Democrats,Lewis CAMPBELL Scottish Greens - Think Global Act Local,Jean HALL MUIR Scottish National Party (SNP),Derek Gareth GLEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
11,Derek Gareth GLEN Scottish National Party (SNP),Aude BOUBAKER-CALDER Scottish Liberal Democrats,Jean HALL MUIR Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
12,Derek Gareth GLEN Scottish National Party (SNP),Aude BOUBAKER-CALDER Scottish Liberal Democrats,Jean HALL MUIR Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
13,Derek Gareth GLEN Scottish National Party (SNP),Aude BOUBAKER-CALDER Scottish Liberal Democrats,Jean HALL MUIR Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
14,Derek Gareth GLEN Scottish National Party (SNP),Aude BOUBAKER-CALDER Scottish Liberal Democrats,Jean HALL MUIR Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
15,Derek Gareth GLEN Scottish National Party (SNP),Aude BOUBAKER-CALDER Scottish Liberal Democrats,Jean HALL MUIR Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
16,Derek Gareth GLEN Scottish National Party (SNP),Jean HALL MUIR Scottish National Party (SNP),Garry Kirwin HALDANE Scottish Labour Party,Jim LEISHMAN Scottish Labour Party,Lewis CAMPBELL Scottish Greens - Think Global Act Local,skipped,skipped,skipped,skipped,4
17,Derek Gareth GLEN Scottish National Party (SNP),Jean HALL MUIR Scottish National Party (SNP),Garry Kirwin HALDANE Scottish Labour Party,Jim LEISHMAN Scottish Labour Party,Lewis CAMPBELL Scottish Greens - Think Global Act Local,skipped,skipped,skipped,skipped,4
18,Derek Gareth GLEN Scottish National Party (SNP),Jean HALL MUIR Scottish National Party (SNP),Garry Kirwin HALDANE Scottish Labour Party,Jim LEISHMAN Scottish Labour Party,Lewis CAMPBELL Scottish Greens - Think Global Act Local,skipped,skipped,skipped,skipped,4
19,Derek Gareth GLEN Scottish National Party (SNP),Jean HALL MUIR Scottish National Party (SNP),Garry Kirwin HALDANE Scottish Labour Party,Jim LEISHMAN Scottish Labour Party,Lewis CAMPBELL Scottish Greens - Think Global Act Local,skipped,skipped,skipped,skipped,4
20,Derek Gareth GLEN Scottish National Party (SNP),Jean HALL MUIR Scottish National Party (SNP),Garry Kirwin HALDANE Scottish Labour Party,Jim LEISHMAN Scottish Labour Party,Lewis CAMPBELL Scottish Greens - Think Global Act Local,skipped,skipped,skipped,skipped,4
