voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,num_positions
0,Andrew VERRECCHIA Scottish Labour Party,Grant THOMSON Scottish Conservative and Unionist,Fiona MCOWAN Scottish Greens - Think Global Act Local,Stephen LYNAS Alba Party for independence,Teresa Martin LITTLE Scottish Liberal Democrats,George Charles MORTON Scottish Libertarian Party,"Alastair Amundsen MACINTYRE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Andy JACKSON Scottish National Party (SNP),Brian John GOODALL Scottish National Party (SNP),3
1,Brian John GOODALL Scottish National Party (SNP),Andy JACKSON Scottish National Party (SNP),Fiona MCOWAN Scottish Greens - Think Global Act Local,"Alastair Amundsen MACINTYRE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Stephen LYNAS Alba Party for independence,George Charles MORTON Scottish Libertarian Party,Teresa Martin LITTLE Scottish Liberal Democrats,Andrew VERRECCHIA Scottish Labour Party,Grant THOMSON Scottish Conservative and Unionist,3
2,Grant THOMSON Scottish Conservative and Unionist,Andrew VERRECCHIA Scottish Labour Party,Teresa Martin LITTLE Scottish Liberal Democrats,"Alastair Amundsen MACINTYRE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Fiona MCOWAN Scottish Greens - Think Global Act Local,skipped,skipped,skipped,skipped,3
3,Fiona MCOWAN Scottish Greens - Think Global Act Local,Andrew VERRECCHIA Scottish Labour Party,Brian John GOODALL Scottish National Party (SNP),Andy JACKSON Scottish National Party (SNP),Teresa Martin LITTLE Scottish Liberal Democrats,skipped,skipped,skipped,skipped,3
4,Fiona MCOWAN Scottish Greens - Think Global Act Local,Andrew VERRECCHIA Scottish Labour Party,Brian John GOODALL Scottish National Party (SNP),Andy JACKSON Scottish National Party (SNP),Teresa Martin LITTLE Scottish Liberal Democrats,skipped,skipped,skipped,skipped,3
5,Fiona MCOWAN Scottish Greens - Think Global Act Local,Andrew VERRECCHIA Scottish Labour Party,Brian John GOODALL Scottish National Party (SNP),Andy JACKSON Scottish National Party (SNP),Teresa Martin LITTLE Scottish Liberal Democrats,skipped,skipped,skipped,skipped,3
6,Teresa Martin LITTLE Scottish Liberal Democrats,Fiona MCOWAN Scottish Greens - Think Global Act Local,"Alastair Amundsen MACINTYRE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",George Charles MORTON Scottish Libertarian Party,Andrew VERRECCHIA Scottish Labour Party,Grant THOMSON Scottish Conservative and Unionist,Stephen LYNAS Alba Party for independence,Andy JACKSON Scottish National Party (SNP),Brian John GOODALL Scottish National Party (SNP),3
7,Brian John GOODALL Scottish National Party (SNP),Fiona MCOWAN Scottish Greens - Think Global Act Local,Andy JACKSON Scottish National Party (SNP),Stephen LYNAS Alba Party for independence,Teresa Martin LITTLE Scottish Liberal Democrats,"Alastair Amundsen MACINTYRE Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Andrew VERRECCHIA Scottish Labour Party,George Charles MORTON Scottish Libertarian Party,Grant THOMSON Scottish Conservative and Unionist,3
8,Andy JACKSON Scottish National Party (SNP),Teresa Martin LITTLE Scottish Liberal Democrats,Brian John GOODALL Scottish National Party (SNP),Fiona MCOWAN Scottish Greens - Think Global Act Local,Andrew VERRECCHIA Scottish Labour Party,skipped,skipped,skipped,skipped,3
9,Andrew VERRECCHIA Scottish Labour Party,Andy JACKSON Scottish National Party (SNP),Teresa Martin LITTLE Scottish Liberal Democrats,Fiona MCOWAN Scottish Greens - Think Global Act Local,skipped,skipped,skipped,skipped,skipped,3
10,Andrew VERRECCHIA Scottish Labour Party,Andy JACKSON Scottish National Party (SNP),Teresa Martin LITTLE Scottish Liberal Democrats,Fiona MCOWAN Scottish Greens - Think Global Act Local,skipped,skipped,skipped,skipped,skipped,3
