voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,num_positions
0,Iain LINTON Scottish National Party (SNP),Douglas REID Scottish National Party (SNP),Elizabeth Anne BROWN Scottish Green Party,Lillian JONES Scottish Labour Party,Frank MCNIFF Independent,James ADAMS Scottish Conservative and Unionist,Guy NJALI BOLA Alba Party for independence,4
1,James ADAMS Scottish Conservative and Unionist,Lillian JONES Scottish Labour Party,Guy NJALI BOLA Alba Party for independence,Frank MCNIFF Independent,skipped,skipped,skipped,4
2,James ADAMS Scottish Conservative and Unionist,Lillian JONES Scottish Labour Party,Guy NJALI BOLA Alba Party for independence,Frank MCNIFF Independent,skipped,skipped,skipped,4
3,Frank MCNIFF Independent,Lillian JONES Scottish Labour Party,Elizabeth Anne BROWN Scottish Green Party,Douglas REID Scottish National Party (SNP),Iain LINTON Scottish National Party (SNP),Guy NJALI BOLA Alba Party for independence,James ADAMS Scottish Conservative and Unionist,4
4,James ADAMS Scottish Conservative and Unionist,Lillian JONES Scottish Labour Party,Frank MCNIFF Independent,Elizabeth Anne BROWN Scottish Green Party,skipped,skipped,skipped,4
5,James ADAMS Scottish Conservative and Unionist,Lillian JONES Scottish Labour Party,Frank MCNIFF Independent,Elizabeth Anne BROWN Scottish Green Party,skipped,skipped,skipped,4
6,James ADAMS Scottish Conservative and Unionist,Lillian JONES Scottish Labour Party,Frank MCNIFF Independent,Elizabeth Anne BROWN Scottish Green Party,skipped,skipped,skipped,4
7,James ADAMS Scottish Conservative and Unionist,Lillian JONES Scottish Labour Party,Frank MCNIFF Independent,Elizabeth Anne BROWN Scottish Green Party,skipped,skipped,skipped,4
8,Lillian JONES Scottish Labour Party,James ADAMS Scottish Conservative and Unionist,Frank MCNIFF Independent,skipped,skipped,skipped,skipped,4
9,Lillian JONES Scottish Labour Party,James ADAMS Scottish Conservative and Unionist,Frank MCNIFF Independent,skipped,skipped,skipped,skipped,4
10,Lillian JONES Scottish Labour Party,James ADAMS Scottish Conservative and Unionist,Frank MCNIFF Independent,skipped,skipped,skipped,skipped,4
11,Lillian JONES Scottish Labour Party,James ADAMS Scottish Conservative and Unionist,Frank MCNIFF Independent,skipped,skipped,skipped,skipped,4
12,Lillian JONES Scottish Labour Party,James ADAMS Scottish Conservative and Unionist,Frank MCNIFF Independent,skipped,skipped,skipped,skipped,4
13,Lillian JONES Scottish Labour Party,James ADAMS Scottish Conservative and Unionist,Frank MCNIFF Independent,skipped,skipped,skipped,skipped,4
14,Lillian JONES Scottish Labour Party,James ADAMS Scottish Conservative and Unionist,Frank MCNIFF Independent,skipped,skipped,skipped,skipped,4
15,Lillian JONES Scottish Labour Party,James ADAMS Scottish Conservative and Unionist,Frank MCNIFF Independent,skipped,skipped,skipped,skipped,4
16,Lillian JONES Scottish Labour Party,James ADAMS Scottish Conservative and Unionist,Frank MCNIFF Independent,skipped,skipped,skipped,skipped,4
17,Lillian JONES Scottish Labour Party,James ADAMS Scottish Conservative and Unionist,Frank MCNIFF Independent,skipped,skipped,skipped,skipped,4
18,Lillian JONES Scottish Labour Party,James ADAMS Scottish Conservative and Unionist,Frank MCNIFF Independent,skipped,skipped,skipped,skipped,4
19,Lillian JONES Scottish Labour Party,James ADAMS Scottish Conservative and Unionist,Frank MCNIFF Independent,skipped,skipped,skipped,skipped,4
20,Lillian JONES Scottish Labour Party,James ADAMS Scottish Conservative and Unionist,Frank MCNIFF Independent,skipped,skipped,skipped,skipped,4
21,Lillian JONES Scottish Labour Party,James ADAMS Scottish Conservative and Unionist,Frank MCNIFF Independent,skipped,skipped,skipped,skipped,4
22,Lillian JONES Scottish Labour Party,James ADAMS Scottish Conservative and Unionist,Frank MCNIFF Independent,skipped,skipped,skipped,skipped,4
23,Lillian JONES Scottish Labour Party,James ADAMS Scottish Conservative and Unionist,Frank MCNIFF Independent,skipped,skipped,skipped,skipped,4
24,Lillian JONES Scottish Labour Party,James ADAMS Scottish Conservative and Unionist,Frank MCNIFF Independent,skipped,skipped,skipped,skipped,4
25,Lillian JONES Scottish Labour Party,James ADAMS Scottish Conservative and Unionist,Frank MCNIFF Independent,skipped,skipped,skipped,skipped,4
26,Lillian JONES Scottish Labour Party,James ADAMS Scottish Conservative and Unionist,Frank MCNIFF Independent,skipped,skipped,skipped,skipped,4
27,Lillian JONES Scottish Labour Party,James ADAMS Scottish Conservative and Unionist,Frank MCNIFF Independent,skipped,skipped,skipped,skipped,4
28,Lillian JONES Scottish Labour Party,James ADAMS Scottish Conservative and Unionist,Frank MCNIFF Independent,skipped,skipped,skipped,skipped,4
29,Lillian JONES Scottish Labour Party,James ADAMS Scottish Conservative and Unionist,Frank MCNIFF Independent,skipped,skipped,skipped,skipped,4
30,Lillian JONES Scottish Labour Party,James ADAMS Scottish Conservative and Unionist,Frank MCNIFF Independent,skipped,skipped,skipped,skipped,4
31,Lillian JONES Scottish Labour Party,James ADAMS Scottish Conservative and Unionist,Frank MCNIFF Independent,skipped,skipped,skipped,skipped,4
