voter_id,rank1,rank2,rank3,rank4,rank5,rank6,num_positions
0,Stephen William CALDER (Ind),skipped,skipped,skipped,skipped,skipped,3
1,Stephen William CALDER (Ind),skipped,skipped,skipped,skipped,skipped,3
2,Stephen William CALDER (Ind),skipped,skipped,skipped,skipped,skipped,3
3,Stephen William CALDER (Ind),skipped,skipped,skipped,skipped,skipped,3
4,Stephen William CALDER (Ind),skipped,skipped,skipped,skipped,skipped,3
5,Stephen William CALDER (Ind),skipped,skipped,skipped,skipped,skipped,3
6,Stephen William CALDER (Ind),skipped,skipped,skipped,skipped,skipped,3
7,Stephen William CALDER (Ind),skipped,skipped,skipped,skipped,skipped,3
8,Stephen William CALDER (Ind),skipped,skipped,skipped,skipped,skipped,3
9,Stephen William CALDER (Ind),skipped,skipped,skipped,skipped,skipped,3
10,Stephen William CALDER (Ind),skipped,skipped,skipped,skipped,skipped,3
11,Stephen William CALDER (Ind),skipped,skipped,skipped,skipped,skipped,3
12,Stephen William CALDER (Ind),skipped,skipped,skipped,skipped,skipped,3
13,Stephen William CALDER (Ind),skipped,skipped,skipped,skipped,skipped,3
14,Stephen William CALDER (Ind),skipped,skipped,skipped,skipped,skipped,3
15,Stephen William CALDER (Ind),skipped,skipped,skipped,skipped,skipped,3
16,Stephen William CALDER (Ind),skipped,skipped,skipped,skipped,skipped,3
17,Stephen William CALDER (Ind),skipped,skipped,skipped,skipped,skipped,3
18,Stephen William CALDER (Ind),skipped,skipped,skipped,skipped,skipped,3
19,Stephen William CALDER (Ind),skipped,skipped,skipped,skipped,skipped,3
20,Stephen William CALDER (Ind),skipped,skipped,skipped,skipped,skipped,3
21,Stephen William CALDER (Ind),skipped,skipped,skipped,skipped,skipped,3
22,Stephen William CALDER (Ind),skipped,skipped,skipped,skipped,skipped,3
23,Stephen William CALDER (Ind),skipped,skipped,skipped,skipped,skipped,3
24,Stephen William CALDER (Ind),skipped,skipped,skipped,skipped,skipped,3
25,Stephen William CALDER (Ind),skipped,skipped,skipped,skipped,skipped,3
26,Stephen William CALDER (Ind),skipped,skipped,skipped,skipped,skipped,3
27,Stephen William CALDER (Ind),skipped,skipped,skipped,skipped,skipped,3
28,Stephen William CALDER (Ind),skipped,skipped,skipped,skipped,skipped,3
