voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,num_positions
0,William BLACK   (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
1,William BLACK   (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
2,William BLACK   (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
3,William BLACK   (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4,William BLACK   (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
5,William BLACK   (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
6,William BLACK   (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
7,William BLACK   (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
8,William BLACK   (TUSC),Steve BURGESS      (Grn),skipped,skipped,skipped,skipped,skipped,skipped,4
9,William BLACK   (TUSC),Steve BURGESS      (Grn),skipped,skipped,skipped,skipped,skipped,skipped,4
10,William BLACK   (TUSC),Steve BURGESS      (Grn),skipped,skipped,skipped,skipped,skipped,skipped,4
11,William BLACK   (TUSC),Steve BURGESS      (Grn),skipped,skipped,skipped,skipped,skipped,skipped,4
12,William BLACK   (TUSC),Steve BURGESS      (Grn),Margaret LEA     (Lib),skipped,skipped,skipped,skipped,skipped,4
13,William BLACK   (TUSC),Steve BURGESS      (Grn),Margaret LEA     (Lib),Gordon MACKENZIE   (LD),Gordon MURDIE      (Ind),skipped,skipped,skipped,4
14,William BLACK   (TUSC),Steve BURGESS      (Grn),Margaret LEA     (Lib),Ian PERRY          (Lab),Gordon MURDIE      (Ind),skipped,skipped,skipped,4
15,William BLACK   (TUSC),Steve BURGESS      (Grn),Gordon MACKENZIE   (LD),skipped,skipped,skipped,skipped,skipped,4
16,William BLACK   (TUSC),Steve BURGESS      (Grn),Gordon MURDIE      (Ind),skipped,skipped,skipped,skipped,skipped,4
17,William BLACK   (TUSC),Steve BURGESS      (Grn),Gordon MURDIE      (Ind),Jim ORR             (SNP),Ian PERRY          (Lab),Gordon MACKENZIE   (LD),Margaret LEA     (Lib),Cameron ROSE      (Con),4
18,William BLACK   (TUSC),Steve BURGESS      (Grn),Gordon MURDIE      (Ind),Ian PERRY          (Lab),skipped,skipped,skipped,skipped,4
19,William BLACK   (TUSC),Steve BURGESS      (Grn),Gordon MURDIE      (Ind),Ian PERRY          (Lab),skipped,skipped,skipped,skipped,4
20,William BLACK   (TUSC),Steve BURGESS      (Grn),Gordon MURDIE      (Ind),Ian PERRY          (Lab),skipped,skipped,skipped,skipped,4
21,William BLACK   (TUSC),Steve BURGESS      (Grn),Gordon MURDIE      (Ind),Ian PERRY          (Lab),Cameron ROSE      (Con),Margaret LEA     (Lib),Gordon MACKENZIE   (LD),Jim ORR             (SNP),4
22,William BLACK   (TUSC),Steve BURGESS      (Grn),Jim ORR             (SNP),skipped,skipped,skipped,skipped,skipped,4
23,William BLACK   (TUSC),Steve BURGESS      (Grn),Jim ORR             (SNP),skipped,skipped,skipped,skipped,skipped,4
24,William BLACK   (TUSC),Steve BURGESS      (Grn),Jim ORR             (SNP),skipped,skipped,skipped,skipped,skipped,4
25,William BLACK   (TUSC),Steve BURGESS      (Grn),Jim ORR             (SNP),Ian PERRY          (Lab),skipped,skipped,skipped,skipped,4
26,William BLACK   (TUSC),Steve BURGESS      (Grn),Jim ORR             (SNP),Ian PERRY          (Lab),skipped,skipped,skipped,skipped,4
27,William BLACK   (TUSC),Steve BURGESS      (Grn),Jim ORR             (SNP),Ian PERRY          (Lab),Gordon MURDIE      (Ind),skipped,skipped,skipped,4
28,William BLACK   (TUSC),Steve BURGESS      (Grn),Ian PERRY          (Lab),skipped,skipped,skipped,skipped,skipped,4
29,William BLACK   (TUSC),Steve BURGESS      (Grn),Ian PERRY          (Lab),skipped,skipped,skipped,skipped,skipped,4
30,William BLACK   (TUSC),Steve BURGESS      (Grn),Ian PERRY          (Lab),skipped,skipped,skipped,skipped,skipped,4
31,William BLACK   (TUSC),Steve BURGESS      (Grn),Ian PERRY          (Lab),skipped,skipped,skipped,skipped,skipped,4
32,William BLACK   (TUSC),Steve BURGESS      (Grn),Ian PERRY          (Lab),skipped,skipped,skipped,skipped,skipped,4
33,William BLACK   (TUSC),Steve BURGESS      (Grn),Ian PERRY          (Lab),skipped,skipped,skipped,skipped,skipped,4
34,William BLACK   (TUSC),Steve BURGESS      (Grn),Ian PERRY          (Lab),skipped,skipped,skipped,skipped,skipped,4
35,William BLACK   (TUSC),Steve BURGESS      (Grn),Ian PERRY          (Lab),Margaret LEA     (Lib),skipped,skipped,skipped,skipped,4
36,William BLACK   (TUSC),Steve BURGESS      (Grn),Ian PERRY          (Lab),Gordon MACKENZIE   (LD),Margaret LEA     (Lib),skipped,skipped,skipped,4
37,William BLACK   (TUSC),Steve BURGESS      (Grn),Ian PERRY          (Lab),Gordon MACKENZIE   (LD),Jim ORR             (SNP),Margaret LEA     (Lib),Gordon MURDIE      (Ind),Cameron ROSE      (Con),4
38,William BLACK   (TUSC),Steve BURGESS      (Grn),Ian PERRY          (Lab),Gordon MURDIE      (Ind),skipped,skipped,skipped,skipped,4
39,William BLACK   (TUSC),Steve BURGESS      (Grn),Ian PERRY          (Lab),Jim ORR             (SNP),skipped,skipped,skipped,skipped,4
40,William BLACK   (TUSC),Steve BURGESS      (Grn),Ian PERRY          (Lab),Jim ORR             (SNP),Gordon MACKENZIE   (LD),skipped,skipped,skipped,4
41,William BLACK   (TUSC),Steve BURGESS      (Grn),Ian PERRY          (Lab),Jim ORR             (SNP),Gordon MURDIE      (Ind),skipped,skipped,skipped,4
42,William BLACK   (TUSC),Steve BURGESS      (Grn),Cameron ROSE      (Con),Jim ORR             (SNP),skipped,skipped,skipped,skipped,4
43,William BLACK   (TUSC),Margaret LEA     (Lib),Steve BURGESS      (Grn),skipped,skipped,skipped,skipped,skipped,4
44,William BLACK   (TUSC),Margaret LEA     (Lib),Gordon MACKENZIE   (LD),Gordon MURDIE      (Ind),skipped,skipped,skipped,skipped,4
45,William BLACK   (TUSC),Gordon MACKENZIE   (LD),Ian PERRY          (Lab),Steve BURGESS      (Grn),Gordon MURDIE      (Ind),Jim ORR             (SNP),Margaret LEA     (Lib),Cameron ROSE      (Con),4
46,William BLACK   (TUSC),Gordon MURDIE      (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4
47,William BLACK   (TUSC),Gordon MURDIE      (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4
48,William BLACK   (TUSC),Gordon MURDIE      (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4
49,William BLACK   (TUSC),Gordon MURDIE      (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4
50,William BLACK   (TUSC),Gordon MURDIE      (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4
51,William BLACK   (TUSC),Gordon MURDIE      (Ind),Steve BURGESS      (Grn),skipped,skipped,skipped,skipped,skipped,4
52,William BLACK   (TUSC),Gordon MURDIE      (Ind),Steve BURGESS      (Grn),skipped,skipped,skipped,skipped,skipped,4
53,William BLACK   (TUSC),Gordon MURDIE      (Ind),Steve BURGESS      (Grn),Margaret LEA     (Lib),skipped,skipped,skipped,skipped,4
54,William BLACK   (TUSC),Gordon MURDIE      (Ind),Steve BURGESS      (Grn),Jim ORR             (SNP),skipped,skipped,skipped,skipped,4
55,William BLACK   (TUSC),Gordon MURDIE      (Ind),Steve BURGESS      (Grn),Ian PERRY          (Lab),Margaret LEA     (Lib),Gordon MACKENZIE   (LD),Jim ORR             (SNP),skipped,4
56,William BLACK   (TUSC),Gordon MURDIE      (Ind),Margaret LEA     (Lib),skipped,skipped,skipped,skipped,skipped,4
