voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,num_positions
0,Richard William DURHAM (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
1,Richard William DURHAM (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
2,Richard William DURHAM (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
3,Richard William DURHAM (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
4,Richard William DURHAM (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
5,Richard William DURHAM (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
6,Richard William DURHAM (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
7,Richard William DURHAM (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
8,Richard William DURHAM (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
9,Richard William DURHAM (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
10,Richard William DURHAM (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
11,Richard William DURHAM (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
12,Richard William DURHAM (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
13,Richard William DURHAM (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
14,Richard William DURHAM (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
15,Richard William DURHAM (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
16,Richard William DURHAM (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
17,Richard William DURHAM (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
18,Richard William DURHAM (Ind),Charlie FALCONER (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
19,Richard William DURHAM (Ind),Charlie FALCONER (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
20,Richard William DURHAM (Ind),Charlie FALCONER (SNP),Alasdair RHIND (Ind),skipped,skipped,skipped,skipped,skipped,3
21,Richard William DURHAM (Ind),Charlie FALCONER (SNP),Alasdair RHIND (Ind),skipped,skipped,skipped,skipped,skipped,3
22,Richard William DURHAM (Ind),Charlie FALCONER (SNP),Alasdair RHIND (Ind),FIONA ROBERTSON (Ind),SEAN ALEXANDER ROBERTSON (TUSC),David RUTHERFORD (Con),Ron STEVENSON (Lab),Jamie STONE (LD),3
23,Richard William DURHAM (Ind),Charlie FALCONER (SNP),Alasdair RHIND (Ind),Jamie STONE (LD),skipped,skipped,skipped,skipped,3
24,Richard William DURHAM (Ind),Charlie FALCONER (SNP),FIONA ROBERTSON (Ind),skipped,skipped,skipped,skipped,skipped,3
25,Richard William DURHAM (Ind),Charlie FALCONER (SNP),FIONA ROBERTSON (Ind),SEAN ALEXANDER ROBERTSON (TUSC),skipped,skipped,skipped,skipped,3
26,Richard William DURHAM (Ind),Charlie FALCONER (SNP),FIONA ROBERTSON (Ind),Ron STEVENSON (Lab),SEAN ALEXANDER ROBERTSON (TUSC),skipped,skipped,skipped,3
27,Richard William DURHAM (Ind),Charlie FALCONER (SNP),SEAN ALEXANDER ROBERTSON (TUSC),David RUTHERFORD (Con),FIONA ROBERTSON (Ind),Ron STEVENSON (Lab),Jamie STONE (LD),Alasdair RHIND (Ind),3
28,Richard William DURHAM (Ind),Charlie FALCONER (SNP),SEAN ALEXANDER ROBERTSON (TUSC),Jamie STONE (LD),David RUTHERFORD (Con),Alasdair RHIND (Ind),Ron STEVENSON (Lab),skipped,3
29,Richard William DURHAM (Ind),Charlie FALCONER (SNP),Jamie STONE (LD),SEAN ALEXANDER ROBERTSON (TUSC),FIONA ROBERTSON (Ind),Alasdair RHIND (Ind),Ron STEVENSON (Lab),David RUTHERFORD (Con),3
30,Richard William DURHAM (Ind),Alasdair RHIND (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3
31,Richard William DURHAM (Ind),Alasdair RHIND (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3
32,Richard William DURHAM (Ind),Alasdair RHIND (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3
33,Richard William DURHAM (Ind),Alasdair RHIND (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3
34,Richard William DURHAM (Ind),Alasdair RHIND (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3
35,Richard William DURHAM (Ind),Alasdair RHIND (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3
36,Richard William DURHAM (Ind),Alasdair RHIND (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3
37,Richard William DURHAM (Ind),Alasdair RHIND (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3
38,Richard William DURHAM (Ind),Alasdair RHIND (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3
39,Richard William DURHAM (Ind),Alasdair RHIND (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3
40,Richard William DURHAM (Ind),Alasdair RHIND (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3
41,Richard William DURHAM (Ind),Alasdair RHIND (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3
42,Richard William DURHAM (Ind),Alasdair RHIND (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3
43,Richard William DURHAM (Ind),Alasdair RHIND (Ind),Charlie FALCONER (SNP),skipped,skipped,skipped,skipped,skipped,3
44,Richard William DURHAM (Ind),Alasdair RHIND (Ind),Charlie FALCONER (SNP),skipped,skipped,skipped,skipped,skipped,3
45,Richard William DURHAM (Ind),Alasdair RHIND (Ind),Charlie FALCONER (SNP),skipped,skipped,skipped,skipped,skipped,3
46,Richard William DURHAM (Ind),Alasdair RHIND (Ind),Charlie FALCONER (SNP),FIONA ROBERTSON (Ind),skipped,skipped,skipped,skipped,3
47,Richard William DURHAM (Ind),Alasdair RHIND (Ind),Charlie FALCONER (SNP),FIONA ROBERTSON (Ind),SEAN ALEXANDER ROBERTSON (TUSC),David RUTHERFORD (Con),Ron STEVENSON (Lab),Jamie STONE (LD),3
48,Richard William DURHAM (Ind),Alasdair RHIND (Ind),Charlie FALCONER (SNP),FIONA ROBERTSON (Ind),SEAN ALEXANDER ROBERTSON (TUSC),Ron STEVENSON (Lab),Jamie STONE (LD),David RUTHERFORD (Con),3
49,Richard William DURHAM (Ind),Alasdair RHIND (Ind),Charlie FALCONER (SNP),FIONA ROBERTSON (Ind),Jamie STONE (LD),skipped,skipped,skipped,3
