voter_id,rank1,rank2,rank3,rank4,rank5,rank6,num_positions
0,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
1,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
2,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
3,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
4,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
5,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
6,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
7,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
8,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
9,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
10,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
11,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
12,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
13,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
14,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
15,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
16,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
17,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
18,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
19,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
20,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
21,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
22,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
23,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
24,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
25,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
26,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
27,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
28,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
29,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
30,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
31,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
32,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
33,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
34,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
35,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
36,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
37,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
38,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
39,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
40,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
41,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
42,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
43,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
44,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
45,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
46,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
47,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
48,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
49,Marjory BORTHWICK (Con),skipped,skipped,skipped,skipped,skipped,4
