voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,num_positions
0,Robert ARTHUR (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
1,Robert ARTHUR (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
2,Robert ARTHUR (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
3,Robert ARTHUR (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
4,Robert ARTHUR (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
5,Robert ARTHUR (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
6,Robert ARTHUR (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
7,Robert ARTHUR (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
8,Robert ARTHUR (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
9,Robert ARTHUR (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
10,Robert ARTHUR (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
11,Robert ARTHUR (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
12,Robert ARTHUR (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
13,Robert ARTHUR (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
14,Robert ARTHUR (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
15,Robert ARTHUR (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
16,Robert ARTHUR (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
17,Robert ARTHUR (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
18,Robert ARTHUR (Ind),Cindy MACKENZIE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
19,Robert ARTHUR (Ind),Cindy MACKENZIE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
20,Robert ARTHUR (Ind),Cindy MACKENZIE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
21,Robert ARTHUR (Ind),Cindy MACKENZIE (C),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
22,Robert ARTHUR (Ind),Cindy MACKENZIE (C),Robert MCKENDRICK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
23,Robert ARTHUR (Ind),Cindy MACKENZIE (C),Robert MCKENDRICK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
24,Robert ARTHUR (Ind),Cindy MACKENZIE (C),Robert MCKENDRICK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
