voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,num_positions
0,Elspeth Anne COUTTS (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
1,Elspeth Anne COUTTS (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
2,Elspeth Anne COUTTS (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
3,Elspeth Anne COUTTS (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
4,Elspeth Anne COUTTS (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
5,Elspeth Anne COUTTS (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
6,Elspeth Anne COUTTS (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
7,Elspeth Anne COUTTS (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
8,Elspeth Anne COUTTS (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
9,Elspeth Anne COUTTS (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
10,Elspeth Anne COUTTS (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
11,Elspeth Anne COUTTS (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
12,Elspeth Anne COUTTS (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
13,Elspeth Anne COUTTS (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
14,Elspeth Anne COUTTS (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
15,Elspeth Anne COUTTS (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
16,Elspeth Anne COUTTS (Grn),Ian JAMES (C),skipped,skipped,skipped,skipped,skipped,skipped,3
17,Elspeth Anne COUTTS (Grn),Ian JAMES (C),Anne JARVIS (C),skipped,skipped,skipped,skipped,skipped,3
18,Elspeth Anne COUTTS (Grn),Ian JAMES (C),Anne JARVIS (C),skipped,skipped,skipped,skipped,skipped,3
19,Elspeth Anne COUTTS (Grn),Ian JAMES (C),Anne JARVIS (C),John KELLAS (SNP),Grant LAING (SNP),skipped,skipped,skipped,3
20,Elspeth Anne COUTTS (Grn),Ian JAMES (C),Anne JARVIS (C),Alex LINKLATER (LD),Frank STEVENSON (Lab),skipped,skipped,skipped,3
21,Elspeth Anne COUTTS (Grn),Ian JAMES (C),Frank STEVENSON (Lab),skipped,skipped,skipped,skipped,skipped,3
22,Elspeth Anne COUTTS (Grn),Anne JARVIS (C),skipped,skipped,skipped,skipped,skipped,skipped,3
23,Elspeth Anne COUTTS (Grn),Anne JARVIS (C),skipped,skipped,skipped,skipped,skipped,skipped,3
24,Elspeth Anne COUTTS (Grn),Anne JARVIS (C),Ian JAMES (C),skipped,skipped,skipped,skipped,skipped,3
25,Elspeth Anne COUTTS (Grn),Anne JARVIS (C),Ian JAMES (C),skipped,skipped,skipped,skipped,skipped,3
26,Elspeth Anne COUTTS (Grn),Anne JARVIS (C),Ian JAMES (C),skipped,skipped,skipped,skipped,skipped,3
27,Elspeth Anne COUTTS (Grn),Anne JARVIS (C),Ian JAMES (C),skipped,skipped,skipped,skipped,skipped,3
28,Elspeth Anne COUTTS (Grn),Anne JARVIS (C),Ian JAMES (C),skipped,skipped,skipped,skipped,skipped,3
29,Elspeth Anne COUTTS (Grn),Anne JARVIS (C),Ian JAMES (C),skipped,skipped,skipped,skipped,skipped,3
