voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,num_positions
0,Douglas CANNING (Soc),skipped,skipped,skipped,skipped,skipped,skipped,3
1,Douglas CANNING (Soc),skipped,skipped,skipped,skipped,skipped,skipped,3
2,Douglas CANNING (Soc),skipped,skipped,skipped,skipped,skipped,skipped,3
3,Douglas CANNING (Soc),skipped,skipped,skipped,skipped,skipped,skipped,3
4,Douglas CANNING (Soc),skipped,skipped,skipped,skipped,skipped,skipped,3
5,Douglas CANNING (Soc),skipped,skipped,skipped,skipped,skipped,skipped,3
6,Douglas CANNING (Soc),skipped,skipped,skipped,skipped,skipped,skipped,3
7,Douglas CANNING (Soc),skipped,skipped,skipped,skipped,skipped,skipped,3
8,Douglas CANNING (Soc),skipped,skipped,skipped,skipped,skipped,skipped,3
9,Douglas CANNING (Soc),skipped,skipped,skipped,skipped,skipped,skipped,3
10,Douglas CANNING (Soc),skipped,skipped,skipped,skipped,skipped,skipped,3
11,Douglas CANNING (Soc),skipped,skipped,skipped,skipped,skipped,skipped,3
12,Douglas CANNING (Soc),skipped,skipped,skipped,skipped,skipped,skipped,3
13,Douglas CANNING (Soc),skipped,skipped,skipped,skipped,skipped,skipped,3
14,Douglas CANNING (Soc),skipped,skipped,skipped,skipped,skipped,skipped,3
15,Douglas CANNING (Soc),skipped,skipped,skipped,skipped,skipped,skipped,3
16,Douglas CANNING (Soc),skipped,skipped,skipped,skipped,skipped,skipped,3
17,Douglas CANNING (Soc),skipped,skipped,skipped,skipped,skipped,skipped,3
18,Douglas CANNING (Soc),skipped,skipped,skipped,skipped,skipped,skipped,3
19,Douglas CANNING (Soc),skipped,skipped,skipped,skipped,skipped,skipped,3
20,Douglas CANNING (Soc),skipped,skipped,skipped,skipped,skipped,skipped,3
21,Douglas CANNING (Soc),skipped,skipped,skipped,skipped,skipped,skipped,3
22,Douglas CANNING (Soc),skipped,skipped,skipped,skipped,skipped,skipped,3
23,Douglas CANNING (Soc),skipped,skipped,skipped,skipped,skipped,skipped,3
24,Douglas CANNING (Soc),Margaret DEVINE (Lab),skipped,skipped,skipped,skipped,skipped,3
25,Douglas CANNING (Soc),Margaret DEVINE (Lab),skipped,skipped,skipped,skipped,skipped,3
26,Douglas CANNING (Soc),Margaret DEVINE (Lab),skipped,skipped,skipped,skipped,skipped,3
27,Douglas CANNING (Soc),Margaret DEVINE (Lab),skipped,skipped,skipped,skipped,skipped,3
28,Douglas CANNING (Soc),Margaret DEVINE (Lab),skipped,skipped,skipped,skipped,skipped,3
29,Douglas CANNING (Soc),Margaret DEVINE (Lab),Eddie GRADY  (Lab),skipped,skipped,skipped,skipped,3
30,Douglas CANNING (Soc),Margaret DEVINE (Lab),Eddie GRADY  (Lab),skipped,skipped,skipped,skipped,3
31,Douglas CANNING (Soc),Margaret DEVINE (Lab),Eddie GRADY  (Lab),skipped,skipped,skipped,skipped,3
32,Douglas CANNING (Soc),Margaret DEVINE (Lab),Eddie GRADY  (Lab),skipped,skipped,skipped,skipped,3
33,Douglas CANNING (Soc),Margaret DEVINE (Lab),Eddie GRADY  (Lab),skipped,skipped,skipped,skipped,3
34,Douglas CANNING (Soc),Margaret DEVINE (Lab),Eddie GRADY  (Lab),skipped,skipped,skipped,skipped,3
35,Douglas CANNING (Soc),Margaret DEVINE (Lab),Eddie GRADY  (Lab),skipped,skipped,skipped,skipped,3
36,Douglas CANNING (Soc),Margaret DEVINE (Lab),Eddie GRADY  (Lab),skipped,skipped,skipped,skipped,3
37,Douglas CANNING (Soc),Margaret DEVINE (Lab),Eddie GRADY  (Lab),skipped,skipped,skipped,skipped,3
38,Douglas CANNING (Soc),Margaret DEVINE (Lab),Eddie GRADY  (Lab),skipped,skipped,skipped,skipped,3
39,Douglas CANNING (Soc),Margaret DEVINE (Lab),Eddie GRADY  (Lab),skipped,skipped,skipped,skipped,3
40,Douglas CANNING (Soc),Margaret DEVINE (Lab),Eddie GRADY  (Lab),skipped,skipped,skipped,skipped,3
41,Douglas CANNING (Soc),Margaret DEVINE (Lab),Eddie GRADY  (Lab),skipped,skipped,skipped,skipped,3
42,Douglas CANNING (Soc),Margaret DEVINE (Lab),Eddie GRADY  (Lab),skipped,skipped,skipped,skipped,3
