voter_id,rank1,rank2,rank3,rank4,rank5,num_positions
0,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
1,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
2,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
3,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
4,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
5,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
6,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
7,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
8,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
9,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
10,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
11,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
12,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
13,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
14,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
15,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
16,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
17,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
18,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
19,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
20,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
21,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
22,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
23,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
24,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
25,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
26,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
27,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
28,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
29,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
30,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
31,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
32,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
33,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
34,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
35,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
36,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
37,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
38,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
39,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
40,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
41,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
42,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
43,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
44,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
45,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
46,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
47,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
48,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
49,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
50,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
51,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
52,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
53,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
54,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
55,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
56,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
57,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
58,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
59,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
60,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
61,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
62,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
63,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
64,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
65,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
66,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
67,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
68,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
69,Douglas CAMPBELL (SNP),skipped,skipped,skipped,skipped,4
