voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,num_positions
0,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
1,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
2,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
3,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
4,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
5,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
6,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
7,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
8,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
9,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
10,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
11,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
12,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
13,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
14,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
15,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
16,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
17,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
18,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
19,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
20,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
21,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
22,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
23,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
24,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
25,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
26,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
27,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
28,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
29,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
30,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
31,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
32,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
33,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
34,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
35,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
36,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
37,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
38,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
39,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
40,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
41,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
42,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
43,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
44,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
45,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
46,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
47,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
48,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
49,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
50,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
51,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
52,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
53,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
54,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
55,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
56,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
57,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
58,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
59,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
60,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
61,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
62,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
63,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
64,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
65,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
66,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
67,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
68,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
69,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
70,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
71,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
72,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
73,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
74,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
75,John ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
76,John ANDERSON (SNP),Willie CHALMERS (C),skipped,skipped,skipped,skipped,skipped,skipped,3
77,John ANDERSON (SNP),Willie CHALMERS (C),skipped,skipped,skipped,skipped,skipped,skipped,3
78,John ANDERSON (SNP),Willie CHALMERS (C),skipped,skipped,skipped,skipped,skipped,skipped,3
79,John ANDERSON (SNP),Willie CHALMERS (C),skipped,skipped,skipped,skipped,skipped,skipped,3
80,John ANDERSON (SNP),Willie CHALMERS (C),skipped,skipped,skipped,skipped,skipped,skipped,3
81,John ANDERSON (SNP),Willie CHALMERS (C),skipped,skipped,skipped,skipped,skipped,skipped,3
82,John ANDERSON (SNP),Willie CHALMERS (C),skipped,skipped,skipped,skipped,skipped,skipped,3
83,John ANDERSON (SNP),Willie CHALMERS (C),skipped,skipped,skipped,skipped,skipped,skipped,3
84,John ANDERSON (SNP),Willie CHALMERS (C),skipped,skipped,skipped,skipped,skipped,skipped,3
85,John ANDERSON (SNP),Willie CHALMERS (C),skipped,skipped,skipped,skipped,skipped,skipped,3
86,John ANDERSON (SNP),Willie CHALMERS (C),Gerry CONVERY (Lab),skipped,skipped,skipped,skipped,skipped,3
87,John ANDERSON (SNP),Willie CHALMERS (C),Gerry CONVERY (Lab),skipped,skipped,skipped,skipped,skipped,3
88,John ANDERSON (SNP),Willie CHALMERS (C),Gerry CONVERY (Lab),Collette STEVENSON (SNP),Susan KERR (Lab),Mark WATSON (LD),skipped,skipped,3
89,John ANDERSON (SNP),Willie CHALMERS (C),Gerry CONVERY (Lab),Collette STEVENSON (SNP),Mark WATSON (LD),Iain HUGHES (Grn),Susan KERR (Lab),skipped,3
90,John ANDERSON (SNP),Willie CHALMERS (C),Iain HUGHES (Grn),skipped,skipped,skipped,skipped,skipped,3
91,John ANDERSON (SNP),Willie CHALMERS (C),Iain HUGHES (Grn),Gerry CONVERY (Lab),skipped,skipped,skipped,skipped,3
92,John ANDERSON (SNP),Willie CHALMERS (C),Iain HUGHES (Grn),Collette STEVENSON (SNP),skipped,skipped,skipped,skipped,3
93,John ANDERSON (SNP),Willie CHALMERS (C),Iain HUGHES (Grn),Collette STEVENSON (SNP),Mark WATSON (LD),skipped,skipped,skipped,3
94,John ANDERSON (SNP),Willie CHALMERS (C),Iain HUGHES (Grn),Mark WATSON (LD),skipped,skipped,skipped,skipped,3
95,John ANDERSON (SNP),Willie CHALMERS (C),Collette STEVENSON (SNP),skipped,skipped,skipped,skipped,skipped,3
96,John ANDERSON (SNP),Willie CHALMERS (C),Collette STEVENSON (SNP),skipped,skipped,skipped,skipped,skipped,3
97,John ANDERSON (SNP),Willie CHALMERS (C),Collette STEVENSON (SNP),skipped,skipped,skipped,skipped,skipped,3
98,John ANDERSON (SNP),Willie CHALMERS (C),Collette STEVENSON (SNP),skipped,skipped,skipped,skipped,skipped,3
99,John ANDERSON (SNP),Willie CHALMERS (C),Collette STEVENSON (SNP),skipped,skipped,skipped,skipped,skipped,3
100,John ANDERSON (SNP),Willie CHALMERS (C),Collette STEVENSON (SNP),Gerry CONVERY (Lab),Susan KERR (Lab),Mark WATSON (LD),Iain HUGHES (Grn),skipped,3
101,John ANDERSON (SNP),Willie CHALMERS (C),Collette STEVENSON (SNP),Iain HUGHES (Grn),Gerry CONVERY (Lab),Susan KERR (Lab),Mark WATSON (LD),skipped,3
102,John ANDERSON (SNP),Willie CHALMERS (C),Mark WATSON (LD),skipped,skipped,skipped,skipped,skipped,3
103,John ANDERSON (SNP),Willie CHALMERS (C),Mark WATSON (LD),skipped,skipped,skipped,skipped,skipped,3
104,John ANDERSON (SNP),Willie CHALMERS (C),Mark WATSON (LD),Iain HUGHES (Grn),Susan KERR (Lab),Gerry CONVERY (Lab),Collette STEVENSON (SNP),skipped,3
105,John ANDERSON (SNP),Willie CHALMERS (C),Mark WATSON (LD),Iain HUGHES (Grn),Collette STEVENSON (SNP),Susan KERR (Lab),Gerry CONVERY (Lab),skipped,3
106,John ANDERSON (SNP),Gerry CONVERY (Lab),skipped,skipped,skipped,skipped,skipped,skipped,3
107,John ANDERSON (SNP),Gerry CONVERY (Lab),skipped,skipped,skipped,skipped,skipped,skipped,3
108,John ANDERSON (SNP),Gerry CONVERY (Lab),skipped,skipped,skipped,skipped,skipped,skipped,3
109,John ANDERSON (SNP),Gerry CONVERY (Lab),skipped,skipped,skipped,skipped,skipped,skipped,3
110,John ANDERSON (SNP),Gerry CONVERY (Lab),skipped,skipped,skipped,skipped,skipped,skipped,3
111,John ANDERSON (SNP),Gerry CONVERY (Lab),skipped,skipped,skipped,skipped,skipped,skipped,3
112,John ANDERSON (SNP),Gerry CONVERY (Lab),skipped,skipped,skipped,skipped,skipped,skipped,3
113,John ANDERSON (SNP),Gerry CONVERY (Lab),skipped,skipped,skipped,skipped,skipped,skipped,3
114,John ANDERSON (SNP),Gerry CONVERY (Lab),skipped,skipped,skipped,skipped,skipped,skipped,3
115,John ANDERSON (SNP),Gerry CONVERY (Lab),skipped,skipped,skipped,skipped,skipped,skipped,3
116,John ANDERSON (SNP),Gerry CONVERY (Lab),skipped,skipped,skipped,skipped,skipped,skipped,3
117,John ANDERSON (SNP),Gerry CONVERY (Lab),skipped,skipped,skipped,skipped,skipped,skipped,3
118,John ANDERSON (SNP),Gerry CONVERY (Lab),skipped,skipped,skipped,skipped,skipped,skipped,3
119,John ANDERSON (SNP),Gerry CONVERY (Lab),skipped,skipped,skipped,skipped,skipped,skipped,3
120,John ANDERSON (SNP),Gerry CONVERY (Lab),skipped,skipped,skipped,skipped,skipped,skipped,3
121,John ANDERSON (SNP),Gerry CONVERY (Lab),skipped,skipped,skipped,skipped,skipped,skipped,3
122,John ANDERSON (SNP),Gerry CONVERY (Lab),skipped,skipped,skipped,skipped,skipped,skipped,3
