voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,num_positions
0,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
1,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
2,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
3,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
4,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
5,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
6,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
7,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
8,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
9,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
10,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
11,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
12,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
13,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
14,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
15,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
16,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
17,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
18,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
19,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
20,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
21,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
22,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
23,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
24,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
25,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
26,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
27,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
28,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
29,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
30,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
31,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
32,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
33,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
34,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
35,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
36,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
37,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
38,Bill CUMMING (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
39,Bill CUMMING (Lab),Kevin FERGUSON (Grn),skipped,skipped,skipped,skipped,skipped,skipped,3
40,Bill CUMMING (Lab),Kevin FERGUSON (Grn),skipped,skipped,skipped,skipped,skipped,skipped,3
41,Bill CUMMING (Lab),Kevin FERGUSON (Grn),skipped,skipped,skipped,skipped,skipped,skipped,3
42,Bill CUMMING (Lab),Kevin FERGUSON (Grn),skipped,skipped,skipped,skipped,skipped,skipped,3
43,Bill CUMMING (Lab),Kevin FERGUSON (Grn),skipped,skipped,skipped,skipped,skipped,skipped,3
44,Bill CUMMING (Lab),Kevin FERGUSON (Grn),skipped,skipped,skipped,skipped,skipped,skipped,3
45,Bill CUMMING (Lab),Kevin FERGUSON (Grn),skipped,skipped,skipped,skipped,skipped,skipped,3
46,Bill CUMMING (Lab),Kevin FERGUSON (Grn),Frank LITTLE (Borders),skipped,skipped,skipped,skipped,skipped,3
47,Bill CUMMING (Lab),Kevin FERGUSON (Grn),Frank LITTLE (Borders),skipped,skipped,skipped,skipped,skipped,3
48,Bill CUMMING (Lab),Kevin FERGUSON (Grn),Frank LITTLE (Borders),skipped,skipped,skipped,skipped,skipped,3
49,Bill CUMMING (Lab),Kevin FERGUSON (Grn),Frank LITTLE (Borders),skipped,skipped,skipped,skipped,skipped,3
50,Bill CUMMING (Lab),Kevin FERGUSON (Grn),Frank LITTLE (Borders),skipped,skipped,skipped,skipped,skipped,3
51,Bill CUMMING (Lab),Kevin FERGUSON (Grn),Frank LITTLE (Borders),skipped,skipped,skipped,skipped,skipped,3
52,Bill CUMMING (Lab),Kevin FERGUSON (Grn),Frank LITTLE (Borders),Davie PATERSON (Ind),skipped,skipped,skipped,skipped,3
53,Bill CUMMING (Lab),Kevin FERGUSON (Grn),Frank LITTLE (Borders),Davie PATERSON (Ind),Ron SMITH (LD),Tommy STEVENSON (SNP),George TURNBULL (Con),skipped,3
54,Bill CUMMING (Lab),Kevin FERGUSON (Grn),Frank LITTLE (Borders),Ron SMITH (LD),George TURNBULL (Con),skipped,skipped,skipped,3
55,Bill CUMMING (Lab),Kevin FERGUSON (Grn),Davie PATERSON (Ind),skipped,skipped,skipped,skipped,skipped,3
56,Bill CUMMING (Lab),Kevin FERGUSON (Grn),Davie PATERSON (Ind),skipped,skipped,skipped,skipped,skipped,3
57,Bill CUMMING (Lab),Kevin FERGUSON (Grn),Davie PATERSON (Ind),Frank LITTLE (Borders),skipped,skipped,skipped,skipped,3
58,Bill CUMMING (Lab),Kevin FERGUSON (Grn),Ron SMITH (LD),skipped,skipped,skipped,skipped,skipped,3
59,Bill CUMMING (Lab),Kevin FERGUSON (Grn),Ron SMITH (LD),skipped,skipped,skipped,skipped,skipped,3
60,Bill CUMMING (Lab),Kevin FERGUSON (Grn),Ron SMITH (LD),Davie PATERSON (Ind),skipped,skipped,skipped,skipped,3
61,Bill CUMMING (Lab),Kevin FERGUSON (Grn),Ron SMITH (LD),Tommy STEVENSON (SNP),skipped,skipped,skipped,skipped,3
62,Bill CUMMING (Lab),Kevin FERGUSON (Grn),Tommy STEVENSON (SNP),skipped,skipped,skipped,skipped,skipped,3
63,Bill CUMMING (Lab),Kevin FERGUSON (Grn),Tommy STEVENSON (SNP),skipped,skipped,skipped,skipped,skipped,3
