voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,num_positions
0,Liz BOXWELL Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
1,Liz BOXWELL Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
2,Liz BOXWELL Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
3,Liz BOXWELL Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
4,Liz BOXWELL Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
5,Liz BOXWELL Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
6,Liz BOXWELL Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
7,Liz BOXWELL Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
8,Liz BOXWELL Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
9,Liz BOXWELL Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
10,Liz BOXWELL Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
11,Liz BOXWELL Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
12,Liz BOXWELL Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
13,Liz BOXWELL Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
14,Liz BOXWELL Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
15,Liz BOXWELL Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
16,Liz BOXWELL Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
17,Liz BOXWELL Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2
18,Liz BOXWELL Independent,Peter James FRASER Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
19,Liz BOXWELL Independent,Peter James FRASER Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
20,Liz BOXWELL Independent,Peter James FRASER Independent,Andrew HOLT Independent,skipped,skipped,skipped,skipped,skipped,2
21,Liz BOXWELL Independent,Peter James FRASER Independent,Andrew HOLT Independent,skipped,skipped,skipped,skipped,skipped,2
22,Liz BOXWELL Independent,Peter James FRASER Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,2
23,Liz BOXWELL Independent,Peter James FRASER Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,2
24,Liz BOXWELL Independent,Peter James FRASER Independent,John Robert LEASK Independent,Mark ROBINSON Independent,Ian TINKLER Independent,skipped,skipped,skipped,2
25,Liz BOXWELL Independent,Peter James FRASER Independent,Debra NICOLSON Scottish Green Party,Zara PENNINGTON Scottish National Party (SNP),skipped,skipped,skipped,skipped,2
26,Liz BOXWELL Independent,Peter James FRASER Independent,Zara PENNINGTON Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,2
27,Liz BOXWELL Independent,Peter James FRASER Independent,Zara PENNINGTON Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,2
28,Liz BOXWELL Independent,Peter James FRASER Independent,Zara PENNINGTON Scottish National Party (SNP),Andrew HOLT Independent,John Robert LEASK Independent,Debra NICOLSON Scottish Green Party,Ian TINKLER Independent,Mark ROBINSON Independent,2
29,Liz BOXWELL Independent,Peter James FRASER Independent,Mark ROBINSON Independent,skipped,skipped,skipped,skipped,skipped,2
30,Liz BOXWELL Independent,Peter James FRASER Independent,Mark ROBINSON Independent,Debra NICOLSON Scottish Green Party,Zara PENNINGTON Scottish National Party (SNP),Andrew HOLT Independent,John Robert LEASK Independent,Ian TINKLER Independent,2
31,Liz BOXWELL Independent,Andrew HOLT Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
32,Liz BOXWELL Independent,Andrew HOLT Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
33,Liz BOXWELL Independent,Andrew HOLT Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
34,Liz BOXWELL Independent,Andrew HOLT Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
35,Liz BOXWELL Independent,Andrew HOLT Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
36,Liz BOXWELL Independent,Andrew HOLT Independent,Peter James FRASER Independent,skipped,skipped,skipped,skipped,skipped,2
37,Liz BOXWELL Independent,Andrew HOLT Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,2
38,Liz BOXWELL Independent,Andrew HOLT Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,2
39,Liz BOXWELL Independent,Andrew HOLT Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,2
40,Liz BOXWELL Independent,Andrew HOLT Independent,John Robert LEASK Independent,Peter James FRASER Independent,Debra NICOLSON Scottish Green Party,Mark ROBINSON Independent,Zara PENNINGTON Scottish National Party (SNP),Ian TINKLER Independent,2
41,Liz BOXWELL Independent,Andrew HOLT Independent,John Robert LEASK Independent,Peter James FRASER Independent,Mark ROBINSON Independent,Debra NICOLSON Scottish Green Party,Zara PENNINGTON Scottish National Party (SNP),Ian TINKLER Independent,2
42,Liz BOXWELL Independent,Andrew HOLT Independent,John Robert LEASK Independent,Mark ROBINSON Independent,skipped,skipped,skipped,skipped,2
43,Liz BOXWELL Independent,Andrew HOLT Independent,John Robert LEASK Independent,Mark ROBINSON Independent,Debra NICOLSON Scottish Green Party,Zara PENNINGTON Scottish National Party (SNP),skipped,skipped,2
44,Liz BOXWELL Independent,Andrew HOLT Independent,Debra NICOLSON Scottish Green Party,Peter James FRASER Independent,John Robert LEASK Independent,Mark ROBINSON Independent,Ian TINKLER Independent,Zara PENNINGTON Scottish National Party (SNP),2
45,Liz BOXWELL Independent,Andrew HOLT Independent,Zara PENNINGTON Scottish National Party (SNP),Mark ROBINSON Independent,skipped,skipped,skipped,skipped,2
46,Liz BOXWELL Independent,Andrew HOLT Independent,Mark ROBINSON Independent,skipped,skipped,skipped,skipped,skipped,2
47,Liz BOXWELL Independent,Andrew HOLT Independent,Mark ROBINSON Independent,skipped,skipped,skipped,skipped,skipped,2
48,Liz BOXWELL Independent,Andrew HOLT Independent,Mark ROBINSON Independent,skipped,skipped,skipped,skipped,skipped,2
49,Liz BOXWELL Independent,Andrew HOLT Independent,Mark ROBINSON Independent,Ian TINKLER Independent,Debra NICOLSON Scottish Green Party,skipped,skipped,skipped,2
50,Liz BOXWELL Independent,Andrew HOLT Independent,Ian TINKLER Independent,skipped,skipped,skipped,skipped,skipped,2
51,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
52,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
53,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
54,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
55,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
56,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
57,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
58,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
59,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
60,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
61,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
62,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
63,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
64,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
65,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
66,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
67,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
68,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
69,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
70,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
71,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
72,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
73,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
74,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
75,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
76,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
77,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
78,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
79,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
80,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
81,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
82,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
83,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
84,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
85,Liz BOXWELL Independent,John Robert LEASK Independent,skipped,skipped,skipped,skipped,skipped,skipped,2
