voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,num_positions
0,Janine CALIKES Scottish National Party (SNP),Alex MCRAE Scottish Greens - Think Global Act Local,Gloria ADEBO Scottish Liberal Democrats,skipped,skipped,skipped,skipped,3
1,Janine CALIKES Scottish National Party (SNP),Alex MCRAE Scottish Greens - Think Global Act Local,Gloria ADEBO Scottish Liberal Democrats,skipped,skipped,skipped,skipped,3
2,Janine CALIKES Scottish National Party (SNP),Alex MCRAE Scottish Greens - Think Global Act Local,Gloria ADEBO Scottish Liberal Democrats,skipped,skipped,skipped,skipped,3
3,Janine CALIKES Scottish National Party (SNP),Alex MCRAE Scottish Greens - Think Global Act Local,Gloria ADEBO Scottish Liberal Democrats,skipped,skipped,skipped,skipped,3
4,Janine CALIKES Scottish National Party (SNP),Alex MCRAE Scottish Greens - Think Global Act Local,Gloria ADEBO Scottish Liberal Democrats,skipped,skipped,skipped,skipped,3
5,Alex MCRAE Scottish Greens - Think Global Act Local,Janine CALIKES Scottish National Party (SNP),Andrea COWAN Scottish National Party (SNP),Jack David MCGINTY Scottish Labour Party,Martin Patrick LENNON Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,skipped,3
6,Alex MCRAE Scottish Greens - Think Global Act Local,Janine CALIKES Scottish National Party (SNP),Andrea COWAN Scottish National Party (SNP),Jack David MCGINTY Scottish Labour Party,Martin Patrick LENNON Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,skipped,3
7,Alex MCRAE Scottish Greens - Think Global Act Local,Janine CALIKES Scottish National Party (SNP),Andrea COWAN Scottish National Party (SNP),Jack David MCGINTY Scottish Labour Party,Martin Patrick LENNON Scottish Labour Party,Gloria ADEBO Scottish Liberal Democrats,skipped,3
8,Jack David MCGINTY Scottish Labour Party,Andrea COWAN Scottish National Party (SNP),Janine CALIKES Scottish National Party (SNP),Martin Patrick LENNON Scottish Labour Party,skipped,skipped,skipped,3
9,Andrea COWAN Scottish National Party (SNP),Gloria ADEBO Scottish Liberal Democrats,Martin Patrick LENNON Scottish Labour Party,skipped,skipped,skipped,skipped,3
10,Martin Patrick LENNON Scottish Labour Party,Jack David MCGINTY Scottish Labour Party,Janine CALIKES Scottish National Party (SNP),Gloria ADEBO Scottish Liberal Democrats,Libby FOX Scottish Conservative and Unionist,Andrea COWAN Scottish National Party (SNP),Alex MCRAE Scottish Greens - Think Global Act Local,3
11,Janine CALIKES Scottish National Party (SNP),Alex MCRAE Scottish Greens - Think Global Act Local,Martin Patrick LENNON Scottish Labour Party,skipped,skipped,skipped,skipped,3
