voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,num_positions
0,Connor MCMANUS Scottish National Party (SNP),Willie MCEWAN Scottish Labour Party,Debbi MCCALL Scottish National Party (SNP),Ken BROWN Scottish Liberal Democrats,Helen Margaret ARMSTRONG Scottish Green Party,skipped,skipped,3
1,Willie MCEWAN Scottish Labour Party,Helen Margaret ARMSTRONG Scottish Green Party,George BOYD Alba Party,Ken BROWN Scottish Liberal Democrats,Richard THOMSON Scottish Conservative and Unionist,Connor MCMANUS Scottish National Party (SNP),Debbi MCCALL Scottish National Party (SNP),3
2,Ken BROWN Scottish Liberal Democrats,Helen Margaret ARMSTRONG Scottish Green Party,Willie MCEWAN Scottish Labour Party,skipped,skipped,skipped,skipped,3
3,Ken BROWN Scottish Liberal Democrats,Helen Margaret ARMSTRONG Scottish Green Party,Willie MCEWAN Scottish Labour Party,skipped,skipped,skipped,skipped,3
4,Ken BROWN Scottish Liberal Democrats,Helen Margaret ARMSTRONG Scottish Green Party,Willie MCEWAN Scottish Labour Party,skipped,skipped,skipped,skipped,3
5,Ken BROWN Scottish Liberal Democrats,Helen Margaret ARMSTRONG Scottish Green Party,Willie MCEWAN Scottish Labour Party,skipped,skipped,skipped,skipped,3
6,Ken BROWN Scottish Liberal Democrats,Helen Margaret ARMSTRONG Scottish Green Party,Willie MCEWAN Scottish Labour Party,skipped,skipped,skipped,skipped,3
7,Ken BROWN Scottish Liberal Democrats,Helen Margaret ARMSTRONG Scottish Green Party,Willie MCEWAN Scottish Labour Party,skipped,skipped,skipped,skipped,3
8,Ken BROWN Scottish Liberal Democrats,Helen Margaret ARMSTRONG Scottish Green Party,Willie MCEWAN Scottish Labour Party,skipped,skipped,skipped,skipped,3
9,Ken BROWN Scottish Liberal Democrats,Helen Margaret ARMSTRONG Scottish Green Party,Willie MCEWAN Scottish Labour Party,skipped,skipped,skipped,skipped,3
10,Ken BROWN Scottish Liberal Democrats,Helen Margaret ARMSTRONG Scottish Green Party,Willie MCEWAN Scottish Labour Party,skipped,skipped,skipped,skipped,3
