voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,num_positions
0,Marion BLACK Scottish Green Party,Karen Mary GREEN Scottish National Party (SNP),Colin John CASSIDY Scottish National Party (SNP),Jamie BRYANT Alba Party,Stephen CURRAN Scottish Labour Party,Margot RUSSELL Scottish Labour Party,Mark WELLS Scottish Conservative and Unionist,3
1,Marion BLACK Scottish Green Party,Colin John CASSIDY Scottish National Party (SNP),Karen Mary GREEN Scottish National Party (SNP),Jamie BRYANT Alba Party,skipped,skipped,skipped,3
2,Margot RUSSELL Scottish Labour Party,Karen Mary GREEN Scottish National Party (SNP),Stephen CURRAN Scottish Labour Party,Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,skipped,skipped,3
3,Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,Karen Mary GREEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
4,Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,Karen Mary GREEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
5,Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,Karen Mary GREEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
6,Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,Karen Mary GREEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
7,Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,Karen Mary GREEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
8,Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,Karen Mary GREEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
9,Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,Karen Mary GREEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
10,Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,Karen Mary GREEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
11,Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,Karen Mary GREEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
12,Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,Karen Mary GREEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
13,Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,Karen Mary GREEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
14,Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,Karen Mary GREEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
15,Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,Karen Mary GREEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
16,Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,Karen Mary GREEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
17,Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,Karen Mary GREEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
18,Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,Karen Mary GREEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
19,Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,Karen Mary GREEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
20,Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,Karen Mary GREEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
21,Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,Karen Mary GREEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
22,Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,Karen Mary GREEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
23,Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,Karen Mary GREEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
24,Colin John CASSIDY Scottish National Party (SNP),Marion BLACK Scottish Green Party,Karen Mary GREEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,3
