7 1
2295 1 0
494 1 2 0
370 1 2 3 0
1192 1 2 4 0
223 1 2 6 0
195 1 2 7 0
73 1 3 0
279 1 3 2 0
415 1 3 4 0
49 1 3 6 0
37 1 3 7 0
2066 1 4 0
2188 1 4 2 0
1380 1 4 3 0
4 1 4 5 0
358 1 4 6 0
127 1 4 7 0
67 1 6 0
147 1 6 2 0
52 1 6 3 0
160 1 6 4 0
126 1 6 7 0
34 1 7 0
104 1 7 2 0
45 1 7 3 0
58 1 7 4 0
54 1 7 6 0
850 2 0
340 2 1 0
166 2 1 3 0
560 2 1 4 0
115 2 1 6 0
100 2 1 7 0
40 2 3 0
93 2 3 1 0
212 2 3 4 0
35 2 3 6 0
57 2 3 7 0
170 2 4 0
482 2 4 1 0
367 2 4 3 0
84 2 4 6 0
106 2 4 7 0
30 2 6 0
45 2 6 1 0
26 2 6 3 0
32 2 6 4 0
109 2 6 7 0
48 2 7 0
83 2 7 1 0
46 2 7 3 0
66 2 7 4 0
1 2 7 5 0
83 2 7 6 0
119 3 0
27 3 1 0
53 3 1 2 0
96 3 1 4 0
10 3 1 6 0
4 3 1 7 0
28 3 2 0
50 3 2 1 0
119 3 2 4 0
16 3 2 6 0
34 3 2 7 0
35 3 4 0
142 3 4 1 0
152 3 4 2 0
28 3 4 6 0
25 3 4 7 0
5 3 6 0
12 3 6 1 0
5 3 6 2 0
13 3 6 4 0
8 3 6 7 0
3 3 7 0
6 3 7 1 0
18 3 7 2 0
12 3 7 4 0
7 3 7 6 0
636 4 0
677 4 1 0
999 4 1 2 0
717 4 1 3 0
123 4 1 6 0
48 4 1 7 0
125 4 2 0
531 4 2 1 0
358 4 2 3 0
72 4 2 6 0
93 4 2 7 0
78 4 3 0
263 4 3 1 0
403 4 3 2 0
49 4 3 6 0
44 4 3 7 0
11 4 6 0
49 4 6 1 0
57 4 6 2 0
29 4 6 3 0
20 4 6 7 0
12 4 7 0
26 4 7 1 0
45 4 7 2 0
10 4 7 3 0
22 4 7 6 0
7 5 0
2 5 1 2 0
3 5 1 4 0
3 5 2 1 0
2 5 4 3 0
154 6 0
29 6 1 0
44 6 1 2 0
15 6 1 3 0
49 6 1 4 0
19 6 1 7 0
13 6 2 0
15 6 2 1 0
9 6 2 3 0
32 6 2 4 0
49 6 2 7 0
5 6 3 0
3 6 3 1 0
12 6 3 2 0
12 6 3 4 0
9 6 3 7 0
10 6 4 0
53 6 4 1 0
48 6 4 2 0
24 6 4 3 0
14 6 4 7 0
34 6 7 0
32 6 7 1 0
70 6 7 2 0
11 6 7 3 0
41 6 7 4 0
124 7 0
17 7 1 0
37 7 1 2 0
11 7 1 3 0
17 7 1 4 0
11 7 1 6 0
43 7 2 0
49 7 2 1 0
19 7 2 3 0
32 7 2 4 0
22 7 2 6 0
7 7 3 0
6 7 3 1 0
15 7 3 2 0
8 7 3 4 0
7 7 3 6 0
13 7 4 0
21 7 4 1 0
20 7 4 2 0
20 7 4 3 0
11 7 4 6 0
7 7 6 0
6 7 6 1 0
37 7 6 2 0
9 7 6 3 0
14 7 6 4 0
0
Tom Ammiano
Miguel Bustos
Lucrecia Bermudez
Renee Saucedo
Write-In
Steve Zeltzer
James Boris Perez
