precincts,tally_type,ballotID,rank1,rank2,rank3,numSeats,numCands
203100,Election Day - Insight,74831,MIKE ALVAREZ COHEN,skipped,skipped,1,4
203100,Election Day - Insight,74832,MIKE ALVAREZ COHEN,skipped,skipped,1,4
203100,Election Day - Insight,74833,MIKE ALVAREZ COHEN,skipped,skipped,1,4
203100,Election Day - Insight,74834,MIKE ALVAREZ COHEN,skipped,skipped,1,4
203100,Election Day - Insight,74835,GEORGE BEIER,LORI DROSTE,JACQUELYN MCCORMICK,1,4
203100,Election Day - Insight,74836,GEORGE BEIER,LORI DROSTE,MIKE ALVAREZ COHEN,1,4
203100,Election Day - Insight,74837,GEORGE BEIER,LORI DROSTE,MIKE ALVAREZ COHEN,1,4
203100,Election Day - Insight,74838,JACQUELYN MCCORMICK,LORI DROSTE,GEORGE BEIER,1,4
203100,Election Day - Insight,74839,JACQUELYN MCCORMICK,LORI DROSTE,GEORGE BEIER,1,4
203100,Election Day - Insight,74840,GEORGE BEIER,skipped,skipped,1,4
203100,Election Day - Insight,74841,MIKE ALVAREZ COHEN,LORI DROSTE,skipped,1,4
203100,Election Day - Insight,74842,MIKE ALVAREZ COHEN,LORI DROSTE,skipped,1,4
203100,Election Day - Insight,74843,MIKE ALVAREZ COHEN,LORI DROSTE,skipped,1,4
203100,Election Day - Insight,74844,MIKE ALVAREZ COHEN,LORI DROSTE,skipped,1,4
203100,Election Day - Insight,74845,LORI DROSTE,MIKE ALVAREZ COHEN,JACQUELYN MCCORMICK,1,4
203100,Election Day - Insight,74846,LORI DROSTE,MIKE ALVAREZ COHEN,JACQUELYN MCCORMICK,1,4
203100,Election Day - Insight,74847,LORI DROSTE,MIKE ALVAREZ COHEN,JACQUELYN MCCORMICK,1,4
203100,Election Day - Insight,74848,MIKE ALVAREZ COHEN,JACQUELYN MCCORMICK,skipped,1,4
203100,Election Day - Insight,74849,MIKE ALVAREZ COHEN,JACQUELYN MCCORMICK,skipped,1,4
203100,Election Day - Insight,74850,GEORGE BEIER,skipped,skipped,1,4
