ballotID,Precinct,Ballot Style,rank1,rank2,rank3,numSeats,numCands
700001,500111,UOCAVA,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",1,3
700002,500111,UOCAVA,"Abbott, Heather","Fromuth, Peter J.","Bell, Arthur L.",1,3
700003,500111,UOCAVA,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",1,3
700004,500111,UOCAVA,"Abbott, Heather","Fromuth, Peter J.","Bell, Arthur L.",1,3
700005,500111,UOCAVA,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",1,3
700006,90111,UOCAVA,"Fromuth, Peter J.","Abbott, Heather","Bell, Arthur L.",1,3
700007,500111,UOCAVA,"Abbott, Heather",skipped,skipped,1,3
700008,500111,UOCAVA,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",1,3
700009,500111,UOCAVA,"Fromuth, Peter J.",skipped,skipped,1,3
700010,500111,UOCAVA,"Abbott, Heather","Fromuth, Peter J.","Bell, Arthur L.",1,3
700011,500111,UOCAVA,"Fromuth, Peter J.","Bell, Arthur L.","Abbott, Heather",1,3
700012,500111,UOCAVA,"Abbott, Heather","Fromuth, Peter J.","Bell, Arthur L.",1,3
700013,500111,UOCAVA,"Fromuth, Peter J.","Bell, Arthur L.","Abbott, Heather",1,3
700014,599111,UOCAVA,"Abbott, Heather","Fromuth, Peter J.","Bell, Arthur L.",1,3
700015,500111,UOCAVA,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",1,3
700016,Yarmouth,Unscanned,"Fromuth, Peter J.","Abbott, Heather","Bell, Arthur L.",1,3
700017,Chebeague Island,Unscanned,"Abbott, Heather","Fromuth, Peter J.","Bell, Arthur L.",1,3
700018,Chebeague Island,Unscanned,"Fromuth, Peter J.","Bell, Arthur L.","Abbott, Heather",1,3
171132,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",1,3
171142,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",1,3
171144,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",1,3
171146,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",1,3
171147,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",1,3
171157,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",1,3
171166,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.",skipped,skipped,1,3
171167,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",1,3
171168,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",1,3
171176,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",1,3
171177,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",1,3
171180,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",1,3
171184,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Bell, Arthur L.","Abbott, Heather",1,3
171189,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.",skipped,skipped,1,3
171190,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Bell, Arthur L.","Abbott, Heather",1,3
171196,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",1,3
