Precinct,Ballot Style,source_file,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
AD: 28 ED: 004,DEM ABS Ballot Style 39,2021P4V1_ABS_DEM,Felicia Singh,skipped,skipped,skipped,skipped,1,7
AD: 28 ED: 009,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Felicia Singh,Michael G. Scala,Kaled A. Alamarie,Bella A. Matias,Helal A. Sheikh,1,7
AD: 28 ED: 009,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Felicia Singh,Michael G. Scala,Bella A. Matias,skipped,skipped,1,7
AD: 28 ED: 009,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Kaled A. Alamarie,skipped,skipped,skipped,skipped,1,7
AD: 28 ED: 009,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Felicia Singh,Michael G. Scala,Bella A. Matias,Shaeleigh Severino,Helal A. Sheikh,1,7
AD: 28 ED: 009,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Felicia Singh,Helal A. Sheikh,Kaled A. Alamarie,Michael G. Scala,Bella A. Matias,1,7
AD: 28 ED: 009,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Felicia Singh,Michael G. Scala,Helal A. Sheikh,Kaled A. Alamarie,Bella A. Matias,1,7
AD: 28 ED: 009,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Michael G. Scala,Bella A. Matias,Shaeleigh Severino,Helal A. Sheikh,Felicia Singh,1,7
AD: 28 ED: 009,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Felicia Singh,Helal A. Sheikh,Bella A. Matias,Shaeleigh Severino,Michael G. Scala,1,7
AD: 28 ED: 009,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Michael G. Scala,skipped,skipped,skipped,skipped,1,7
AD: 28 ED: 009,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Felicia Singh,Helal A. Sheikh,Bella A. Matias,Kaled A. Alamarie,Michael G. Scala,1,7
AD: 28 ED: 009,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Kaled A. Alamarie,skipped,skipped,skipped,skipped,1,7
AD: 28 ED: 009,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Helal A. Sheikh,Michael G. Scala,skipped,skipped,skipped,1,7
AD: 28 ED: 009,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Shaeleigh Severino,Michael G. Scala,Bella A. Matias,Felicia Singh,Kaled A. Alamarie,1,7
AD: 28 ED: 009,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Felicia Singh,skipped,skipped,skipped,skipped,1,7
AD: 28 ED: 009,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Bella A. Matias,Felicia Singh,skipped,skipped,skipped,1,7
AD: 28 ED: 009,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Michael G. Scala,Felicia Singh,Bella A. Matias,Kaled A. Alamarie,Shaeleigh Severino,1,7
AD: 28 ED: 009,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Michael G. Scala,skipped,skipped,skipped,skipped,1,7
AD: 28 ED: 009,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Kaled A. Alamarie,skipped,skipped,skipped,skipped,1,7
AD: 28 ED: 001,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Michael G. Scala,Bella A. Matias,skipped,skipped,skipped,1,7
AD: 28 ED: 001,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Michael G. Scala,skipped,skipped,skipped,skipped,1,7
AD: 28 ED: 001,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Helal A. Sheikh,Felicia Singh,Bella A. Matias,Shaeleigh Severino,Kaled A. Alamarie,1,7
AD: 28 ED: 001,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Shaeleigh Severino,Bella A. Matias,Felicia Singh,skipped,skipped,1,7
AD: 28 ED: 001,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Michael G. Scala,skipped,skipped,skipped,skipped,1,7
AD: 28 ED: 001,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Kaled A. Alamarie,Felicia Singh,Helal A. Sheikh,Shaeleigh Severino,Michael G. Scala,1,7
AD: 28 ED: 001,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Felicia Singh,skipped,skipped,skipped,skipped,1,7
AD: 28 ED: 001,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Kaled A. Alamarie,Felicia Singh,Helal A. Sheikh,Shaeleigh Severino,Michael G. Scala,1,7
AD: 28 ED: 002,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Felicia Singh,skipped,skipped,skipped,skipped,1,7
AD: 28 ED: 002,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Kaled A. Alamarie,Felicia Singh,Michael G. Scala,skipped,skipped,1,7
AD: 28 ED: 002,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Michael G. Scala,Felicia Singh,Bella A. Matias,Shaeleigh Severino,Helal A. Sheikh,1,7
AD: 28 ED: 002,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Michael G. Scala,Felicia Singh,Kaled A. Alamarie,writein,Bella A. Matias,1,7
AD: 28 ED: 002,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Bella A. Matias,Shaeleigh Severino,Felicia Singh,Michael G. Scala,Kaled A. Alamarie,1,7
AD: 28 ED: 002,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Bella A. Matias,Michael G. Scala,Shaeleigh Severino,Kaled A. Alamarie,Felicia Singh,1,7
AD: 28 ED: 002,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Bella A. Matias,Michael G. Scala,Kaled A. Alamarie,Felicia Singh,Helal A. Sheikh,1,7
AD: 28 ED: 002,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Felicia Singh,Helal A. Sheikh,Bella A. Matias,Michael G. Scala,Kaled A. Alamarie,1,7
AD: 28 ED: 003,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Michael G. Scala,skipped,skipped,skipped,skipped,1,7
AD: 28 ED: 003,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Felicia Singh,Helal A. Sheikh,skipped,skipped,skipped,1,7
AD: 28 ED: 003,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Felicia Singh,Bella A. Matias,Shaeleigh Severino,Michael G. Scala,Kaled A. Alamarie,1,7
AD: 28 ED: 003,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Felicia Singh,skipped,skipped,skipped,skipped,1,7
AD: 28 ED: 003,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Bella A. Matias,Felicia Singh,skipped,skipped,skipped,1,7
AD: 28 ED: 003,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Felicia Singh,Kaled A. Alamarie,Michael G. Scala,Helal A. Sheikh,Bella A. Matias,1,7
AD: 28 ED: 003,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Shaeleigh Severino,Felicia Singh,Bella A. Matias,skipped,skipped,1,7
AD: 28 ED: 003,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Bella A. Matias,Felicia Singh,skipped,skipped,skipped,1,7
AD: 28 ED: 003,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Michael G. Scala,skipped,skipped,skipped,skipped,1,7
AD: 28 ED: 003,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Kaled A. Alamarie,Michael G. Scala,skipped,skipped,skipped,1,7
AD: 28 ED: 003,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Michael G. Scala,skipped,skipped,skipped,skipped,1,7
AD: 28 ED: 003,DEM ABS Ballot Style 38,2021P4V1_ABS_DEM,Felicia Singh,Helal A. Sheikh,Bella A. Matias,Michael G. Scala,Kaled A. Alamarie,1,7
AD: 28 ED: 004,DEM ABS Ballot Style 39,2021P4V1_ABS_DEM,Felicia Singh,Helal A. Sheikh,Shaeleigh Severino,Bella A. Matias,Michael G. Scala,1,7
AD: 28 ED: 004,DEM ABS Ballot Style 39,2021P4V1_ABS_DEM,Michael G. Scala,Felicia Singh,skipped,skipped,skipped,1,7
AD: 28 ED: 004,DEM ABS Ballot Style 39,2021P4V1_ABS_DEM,Felicia Singh,Michael G. Scala,Shaeleigh Severino,Bella A. Matias,Helal A. Sheikh,1,7
AD: 28 ED: 004,DEM ABS Ballot Style 39,2021P4V1_ABS_DEM,Felicia Singh,Helal A. Sheikh,Bella A. Matias,Shaeleigh Severino,Michael G. Scala,1,7
AD: 38 ED: 034,DEM ABS Ballot Style 2,2021P4V1_ABS_DEM,Felicia Singh,skipped,skipped,skipped,skipped,1,7
AD: 38 ED: 034,DEM ABS Ballot Style 2,2021P4V1_ABS_DEM,Felicia Singh,Bella A. Matias,Shaeleigh Severino,Kaled A. Alamarie,Michael G. Scala,1,7
AD: 38 ED: 034,DEM ABS Ballot Style 2,2021P4V1_ABS_DEM,Michael G. Scala,skipped,skipped,skipped,skipped,1,7
