Precinct,rank1,rank2,rank3,numSeats,numCands
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
MINNEAPOLIS W-4 P-05,LaTrisha Vetaw,skipped,skipped,1,4
